father	اب
interrogative	آیا
halal	حلال
jihad	جهاد
Hamas	حماس
imam	امام
muezzin	مؤذن
mullah	ملا
tongue	زبان
Islam	اسلام
temperament	مزاج
Serb	صرب
growth	رشد
lamp	چراغ
mosque	مسجد
hello	سلام
tradition	سنت
horde	اردو
name	نام
name	اسم
Persian	فارسی
couple	زوج
abolition	نسخ
system	سامانه
fruit	میوه
eye	چشم
daughter	بنت
باغ	باغ وحش
war-horn	کرنا
translator	مترجم
Italian	ایتالیایی
biology	زیست‌شناسی
world	جهان
protection	پاد
bread	نان
God	الله
stove	اجاق
carpenter	نجار
beauty	جمال
tree	شجر
Ramadan	رمضان
Volapük	ولاپوک
geology	زمین‌شناسی
dictionary	قاموس
glad	شاذ
dictionary	کتب لغت
animal	حیوان
Turkish	ترکی
moon	قمر
poetry	چامه‌سرایی
Iran	میرزا تقی خان امیرکبیر
plough	ال
winter	زمستان
to-	ام
adult	بالغ
step	قدم
sea	بحر
banana	موز
Persian	پارسی
کس	کس کردن
کس	کس دادن
cemetery	قبرستان
color	رنگ
olive	زیتون
olivaceous	زیتونی
voice	آواز
cemetery	گورستان
sound	صدا
ship	جهاز
dragon	اژدها
breast	پستان
firearm	اسلحه گرم
firearm	تفنگ
sultan	سلطان
begum	بیگم
hare	خرگوش
much	چندین
teeny	ذره
کون	کون کردن
wiki	ویکی
tent	چادر
umbrella	چتر
fuck	گائیدن
penis	کیر
egg	خایه
جلق	جلق زدن
book	کتاب
شق	شق کردن
clitoris	چوچوله
give	دادن
son of a bitch	مادر جنده
cuckold	جاکش
pimp	کس‌کش
prostitute	جنده
condom	کاپوت
how	چطور
کون	کون دادن
come	آمدن
do	کردن
this	این
lusty	شهوتی
urine	ادرار
urine	شاش
urine	پیشاب
آب	آب کیر
water	آب
prayer	نماز
treasure	گنجینه
necklace	گردنبند
neck	گردن
band	بند
falcon	شاهین
nostril	منخر
woman	زن
son	پسر
خوش	خوش آمدید
except	مگر
death	موت
cage	قفس
snow	برف
ice	یخ
mother	مادر
خانه	جنده‌خانه
sex	بکن‌بکن
guide	پروانه
etymology	ریشه‌شناسی
etymology	اشتقاق
translator	ترجمان
husband	شوهر
آب	آب منی
church	کلیسا
Greek	یونانی
کس	کس لیسیدن
blowjob	کیر مکیدن
Wikipedia	ویکی‌پدیا
Persia	ایران
apostasy	ارتداد
favor	منت
house	خانه
prostitute	فاحشه
9	۹
elephant	فیل
طهران	طهران
wave	موج
seeing	نظر
comma	،
semicolon	؛
question mark	؟
decimal	٫
vagina	سوراخ کس
ad hoc	روبه جلو
friend	یار
hole	سوراخ
seeker	طالب
claim	طلب
Wiktionary	ویکی‌واژه
مارچ	مارس
بلند	بلند کردن
market	بازار
tar	قطران
masturbation	استمنا
skewer	سیخ زدن
human	انسانی
land	شهر
condom	لاستیک
Greece	یونان
system	نظام
independent	آزاد
cause	سبب
genitals	عورت
thing	کالا
apple	سیب
car	موتر
chapati	چپاتی
meat	گوشت
balance	ترازو
balance	میزان
Chinese	چینی
alligator	تمساح
spacecraft	فضاپیما
5	۵
4	۴
6	۶
7	۷
8	۸
0	۰
1	۱
2	۲
3	۳
10	۱۰
navel	ناف
clapper	جرس
church bell	ناقوس
different	مختلف
voice	صوت
north	شمال
necessary	واجب
time	وقت
easy	سهل
translator	ترگمان
pilgrim	زائر
shelf	رف
war	حرب
comprehensive	جامع
crazy	مجنون
reed	قلم
factor	عامل
house	منزل
special	خاص
red	سوری
dawn	فجر
geometer	مهندس
Muhammad	محمد
-tion	ش
prefix	ن
rial	ریال
opposite	ضد
hell	جهنم
school	مکتب
website	وب نوشت
kind	جنس
boyfriend	دوست پسر
human	مردم
promise	نوید
world	دنیا
accountant	حسابدار
scorpion	عقرب
cancer	سرطان
bridge	پل
yes	بلی
desire	کام
service	نوکری
servant	نوکر
property	مال
petrol	بنزین
thing	چیز
France	فرانسه
immortal	انوشه
in	اندر
اکتوبر	اکتوبر
most	اکثر
if	اگر
pickle	آچار
strange	اجنبی
strange	عجیب
pomegranate	انار
اپریل	اپریل
alas	افسوس
commander	امیر
trace	اثر
last	آخر
freedom	آزادی
greetings	آداب
ease	آسانی
uncountable	بی‌شمار
wait	انتظار
human	انسان
hero	بیر
history	تاریخ
denial	انکار
gratuity	انعام
building	عمارت
examination	امتحان
enmity	دشمنی
ether	اتر
tea	چای
tea	چا
love	عشق
heart	دل
day	روز
bangle	چوری
visage	چهره
testicle	گند
Georgia	گرج
kismet	قسمت
stranger	غریب
grief	گرم
warmth	گرمی
wrong	غلط
world	گیتا
spoon	قاشق
Iraq	عراق
epilepsy	صرع
steel	فولاد
salt	نمک
cheese	پنیر
اوج	اوج لذت جنسی
friend	دوست
metre	متر
умед	امید
newspaper	روزنامه
handwriting	خط
permission	اجازه
tandoor	تنور
