abjad	𐤀
earth	𐤀𐤓𐤑
house	𐤁𐤕
lord	𐤁𐤏𐤋
milk	𐤇𐤋𐤁
name	𐤔𐤌
peace	𐤔𐤋𐤌
sun	𐤔𐤌𐤔
water	𐤌𐤌
blood	𐤃𐤌
man	𐤀𐤃𐤌
heart	𐤋𐤁
tongue	𐤋𐤔𐤍
dog	𐤊𐤋𐤁
son	𐤁𐤍
brother	𐤀𐤇
co-wife	𐤑𐤓𐤕
priest	𐤊𐤌𐤓
sister	𐤀𐤇𐤕
beth	𐤁
gimel	𐤂
daleth	𐤃
that	𐤄
waw	𐤅
this	𐤆
heth	𐤇
teth	𐤈
yodh	𐤉
kaph	𐤊
lamed	𐤋
mem	𐤌
nun	𐤍
samekh	𐤎
ayin	𐤏
tsade	𐤑
qoph	𐤒
resh	𐤓
shin	𐤔
taw	𐤕
eye	𐤏𐤉𐤍
I	𐤀𐤍𐤊
anything	𐤌𐤍𐤌
mouth	𐤐𐤉
son	𐤁𐤉𐤍
star	𐤊𐤊𐤁
place	𐤌𐤒𐤌
kingdom	𐤌𐤌𐤋𐤊𐤕
band	𐤀𐤂𐤃𐤃
window	𐤀𐤋𐤌𐤕
year	𐤔𐤕
priestess	𐤊𐤄𐤍𐤕
fatherhood	𐤀𐤁𐤕
god	𐤀𐤋𐤌
holy	𐤒𐤃𐤔𐤍
stone	𐤀𐤁𐤍
white	𐤋𐤁𐤍
three	𐤔𐤋𐤔
eat	𐤀𐤊𐤋
moon	𐤉𐤓𐤇
plow	𐤇𐤓𐤔
head	𐤓𐤀𐤔
face	𐤐𐤍
night	𐤋𐤋
fire	𐤀𐤎
new	𐤒𐤓𐤕𐤇𐤃𐤔𐤕
Sidon	𐤑𐤉𐤃𐤅𐤍
Byblos	𐤂𐤁𐤋
wall	𐤂𐤃𐤓
horse	𐤎𐤎
bull	𐤔𐤓
ark	𐤀𐤓𐤍
Jerusalem	𐤉𐤓𐤔𐤋𐤌
Canaan	𐤊𐤍𐤏𐤍
Sidon	𐤑𐤃𐤍𐤌
eternity	𐤏𐤋𐤌
voice	𐤒𐤋
wasp	𐤃𐤁𐤓𐤕
wine	𐤉𐤍
tree	𐤏𐤑
god	𐤀𐤋
daughter	𐤁𐤍𐤕
call	𐤒𐤓𐤀
decay	𐤔𐤇𐤕
king	𐤀𐤇𐤓𐤌
come	𐤁𐤀
disturb	𐤓𐤂𐤆
𐤏𐤋𐤕	𐤏𐤋𐤕𐤉
𐤏𐤋𐤕	𐤀𐤉𐤕
meat	𐤁𐤔𐤓
shield	𐤌𐤂𐤍
bone	𐤏𐤑𐤌
do	𐤐𐤏𐤋
architect	𐤐𐤋𐤔
iron	𐤁𐤓𐤆𐤋
field	𐤔𐤃
cumin	𐤊𐤌𐤍
almond	𐤔𐤒𐤃
sesame	𐤔𐤔𐤌𐤍
olive	𐤆𐤉𐤕
cup	𐤒𐤁𐤏
you	𐤀𐤕𐤌
gold	𐤇𐤓𐤑
gate	𐤔𐤏𐤓
camel	𐤂𐤌𐤋
Mediterranean Sea	𐤀𐤋𐤔𐤉
