mouth	ten
water	at
plantain	pula
fire	tit
one	se
fig tree	amat
tomorrow	musta
eye	ish
you	an-
what	tay
give	maka
land	tal
happy	paki
not	inte
blood	esti
maize	sinti
it	ki-
you	ti-
good	yek
two	ume
know	mati
want	neki
say	ina
weed	mewa
house	kal
fish	michin
you	taja
tortilla	tamal
dog	pelu
frog	kalat
scorpion	kulut
spider	tukat
pot	kumit
man	takat
bird	tutut
be	nemi
tomato	tumat
quail	sulin
river	apan
three	yey
start	pewa
arrive	ajsi
I	naja
eat	kwa
pepper	chil
hand	mey
die	miki
pass	panu
you	shi-
flower	shuchit
woman	siwat
it	yaja
we	tejemet
you	anmejemet
they	yejemet
you	metz-
us	tech-
you	metzin-
them	kin-
I	ni-
can	weli
skunk	epat
near	-tan
iguana	kuke
end	tami
see	itta
five	makwil
work	tekiti
four	nawi
take	kwi
tell	ilwia
go	yawi
child	kunet
come	witz
tree	kwawit
rabbit	tuchti
moon	metzti
sun	tunal
now	ashan
six	chikwasen
seven	chikume
eight	chikwey
nine	chiknawi
ten	majtakti
fifteen	kashtul
twenty	senpual
first	achtu
up	ajku
tasty	ajwiak
red	chiltik
wind	ejekat
star	sital
rigua	tashkal
open	pelua
open	tapua
close	tzakwa
half	tajku
yesterday	yalua
forty	unpual
sixty	yeshpual
eighty	nawpual
once	seujti
twice	ukpa
snake	kuat
butterfly	papalut
cat	mistun
chicken	tijlan
cow	wakash
horse	kawayu
turtle	ayutzin
squirrel	mututzin
deer	masat
raccoon	mapachin
pig	kuyamet
owl	tekulut
hummingbird	witzitzil
duck	kanawti
hawk	kwishti
hawk	tujti
iguana	kuketzpal
coyote	kuyut
ant	tzikat
worm	kwilin
grackle	tzanat
opossum	takwatzin
mouse	kimichin
jaguar	tekwani
pocket gopher	taltusan
armadillo	ayutuch
armadillo	napitz
porcupine	witztakwatzin
otter	akuyut
donkey	ashnuj
fly	muyut
cockroach	kaltapach
avocado	awakat
dung beetle	kwitaululujtzin
pigeon	wilut
crocodile	sipakti
rattlesnake	kwechwaj
turkey	tutulin
bat	tzinakan
monkey	usumati
coati	petzut
door	tenkal
food	takwal
cloud	mishti
banana	kinia
vine	mekat
raise	ketza
speak	taketza
kill	miktia
teach	machtia
me	nech-
work	tekit
corn	elut
maize	tawial
corn	shilut
corn	mulkit
corncob	ulut
salamander	kakawani
eagle	kwawti
ocelot	uselut
have	piya
elephant	yakaweyak
peacock	pafil
jirafe	kechweyak
bear	tekwani metzkujkutu
camel	kawash teputzkoko
crocodile	lanwach
hippo	kuyamet tiltik
flamingo	metzwejweyak
worm	tepekuat
boa constrictor	masakuat
eel	akuat
complete	ajshitia
wet	ajwi
open	tapuwi
wet	ajwilia
weeding	tamewal
leave	kajkawa
