now	nu
Israel	Israel
open	open
pious	from
expensive	dia
shy	bleed
blond	blond
walk	gone
sorry	leet
guess	rode
deep	deep
clean	rein
very	sea
two	twee
my	mien
gall	Gaul
out of order	kaputt
sort	sort
island	Insel
canyon	Schlucht
thank	danke
thin	denn
snow	Schnee
new	nie
adultery	Ehebruch
red	root
ripe	riep
then	dan
young	junk
we	wie
ready	reed
too bad	schod
long	lank
wine	Wien
mad	doll
offensive	prost
brave	brow
yes	jo
bathe	bode
motley	bunt
tired	meed
nudge	Bucks
shallow	flak
Australia	Australien
brown	brun
shiny	blank
golden	golden
oath	Eid
Spain	Spanien
oven	Owen
burner	Brenna
long	lang
fruit	Frucht
round	runt
then	donn
horizon	Horizont
big	groot
respect	Acht
fear	Angst
automobile	Auto
stream	Bach
bed	Bad
bank	Bank
beer	Bea
beet	Beet
flower	Bloom
tree	Boom
boat	Boot
hurry	Bos
building	Bu
bow	Bug
thank	Dank
thunder	Donna
dome	Doom
honour	Ea
egg	Ei
cattle	Fee
gun	Flint
foot	Foot
form	Form
frost	Frost
spark	Funk
hell	Hal
hen	Han
cave	Heel
notebook	Heft
sky	Himmel
wood	Holt
hotel	Hotel
dog	Hunt
skin	Hut
Italy	Italien
hunt	Jacht
jacket	Jak
July	Juli
June	Juni
hut	Kot
ladder	Lada
hole	Loch
human	Mensch
mine	Mien
moon	Mon
murder	Mort
mumps	Mumps
mouse	Mus
blood vessel	Oda
piano	Piano
pole	Pol
pump	Pomp
pope	Pop
mail	Post
Protestant	Protestant
psalm	Psalm
radio	Radio
watermelon	Rebus
journey	Reis
skirt	Rock
windowpane	Rut
sandwich	Sandwich
sole	Sol
pinfeather	Spiel
blackbird	Spree
toe	Tee
test	Test
animal	Tia
wave	Wal
well-being	Wool
cog	Zak
me	mie
cooked	goa
Anabaptist	Anabaptist
branch	Aust
day	Dach
flight	Flucht
India	Indien
tub	Bett
rough	schroff
ocean	Ozean
pronoun	Pronomen
home	Heim
bride	Brut
rooster	Hon
scorpion	Skorpion
tent	Zelt
pressure	Druck
dot	Punkt
peel	Schal
woodpecker	Specht
dark	dunkel
river	Fluss
Bible	Bibel
uncle	Onkel
many	väl
pelt	Pelz
down	rauf
mild	lind
dove	Duw
honour	eare
goat	Kos
here	hia
still	doch
kiss	Kuss
god	Gott
evil	bees
foul	ful
Satan	Soton
lame	lom
lazy	fül
block	Klotz
head	Haupt
rupture	Bruch
mushroom	Pilz
deaf	doof
yoke	Joch
cook	Koch
cupboard	Schrank
loud	lud
three	dree
ill	krank
thistle	Distel
barely	kaum
roast	brode
white	witt
sour	sua
otherwise	sonst
cost	Kost
freight	Fracht
might	Macht
sigh	sefte
protection	Schutz
apostle	Apostel
cove	Bucht
marriage	Ehe
flame	Flaum
curse	Fluch
malice	Groll
cheek	Bak
ravine	Kluft
corn	Korn
crash	Krach
sabre	Säbel
rent	Pacht
suitor	Fria
tire	Reif
pulpit	Pult
skull	Schädel
slender	schlank
sly	schlau
layer	Schicht
shingle	Schindel
battle	Schlacht
hose	Schlauch
scoundrel	Schuft
swindle	Schwindel
meeting	Sitz
mockery	Spott
purse	Tausch
linoleum	Teppich
fashion	Tracht
guard	Wacht
wet	naut
blind	blint
nice	fein
smart	farn
pious	fromm
health	Heil
bitter	betta
disease	Krankheit
sunlight	Sonnenlicht
dear	leef
at least	weens
slow down	torne
satisfied	saut
he	hee
varnish	Lak
beautiful	scheen
age	Ella
barber	Barba
good	goot
police	Polizei
center	Zentrum
captain	Kapitän
Pope	Papst
cactus	Kaktus
Asia	Asien
bold	driest
bankrupt	bankrott
fool	Noa
Internet	Internet
fanatic	fanatisch
tuberculosis	Schwindsucht
plastic	Plastik
temple	Tempel
pantry	Koma
modest	bescheiden
steep	steil
creek	Rie
barren	eed
army	Armee
cleanness	Reinheit
nab	fange
four	fea
fast	faste
there	doa
baptize	deepe
sweet	seet
plain	schlicht
stout	forsch
fuel	Brennstoff
borrow	borje
come	kome
shovel	Scheffel
rough	ruch
crop	Arnt
burn	brenne
seasickness	Seekrankheit
crypt	Gruft
seasick	seekrank
will	Wellen
worldly	weltlich
anchor	Anka
quickly	fluks
aslant	scheef
annoyed	gaule
sow	seie
always	emma
May	Mei
spear	Spiess
pair	Poa
loved	beleeft
bubble	buddle
bush	Bosch
habit	Sitten
fall	joppe
gape	gaupe
car	Koa
necktie	Schlips
rummage	krome
rot	füle
squint-eyed	scheel
drill	boare
protection	Hutt
yard	Hoff
dead	doot
cheap	billich
faith	Gloowe
wolf	Wulf
finger	Finja
platter	Tala
ripen	riepe
uneasy	beklommen
quarrel	jachte
rap	kloppe
kiss	kusse
aspire	trachte
buzz	bromme
rip	trane
also	uk
weighty	wichtich
load	Lod
farmer	Bua
leading	fierent
revenge	Rach
fence	Tün
hurry	bose
saw	soage
acre	Aka
knife	Massa
dig	growe
again	wada
fleet	flott
free	frie
curse	fluche
purple	purpur
quiet	stell
aunt	Mumm
irked	grolle
moron	Dusel
Jew	Jüd
hurry	Eil
portion	Deel
leg	Been
dam	Daum
bubble	Blos
meat	Fleesch
package	Pak
bull	Boll
fur	Fal
shit	Schiet
gizzard	Kropp
sun	Sonn
aum	breet
wool	Woll
worm	Worm
feel	feele
creeper	Rank
pain	Wee
scolding	Schell
string	Seid
air	Loft
doll	Popp
examination	Examen
hame	Heem
rat	Raut
commotion	Krom
crooked	kromm
meadow	Weid
soup	Supp
ferry	Promm
mile	Miel
hearth	Rea
sandal	Sandal
bareness	Eed
fleet	Flott
fence	Tun
purr	burre
arrow	Feil
rope	Strank
eighth	Achtel
tolerate	dulde
sparkle	funkle
crack	knacke
crumple	knutsche
wise	weis
cold	kolt
pail	Ama
support	feede
no	nä
wick	Dacht
blood	Bloot
be	sennen
fall	faule
busy	drock
track	Bon
bread	Broot
group	Grupp
tongue	Tung
cross	Kjriez
ape	Op
forest	Woolt
Advent	Adwent
adverb	Adwerb
adverb	Omstauntswuat
ingratitude	Ondank
anniversary	Joaresdach
stomach	Buck
felt	Burr
fox	Foss
brittle	brosch
Wednesday	Medwäakj
dill	Dell
spot	Tips
wire	Drot
bead	Krall
head	Kopp
lump	Knubbel
rotten	morsch
trombone	Posaun
cottage cheese	Gloms
crazy	domm
enquire	forsche
fine	fien
butter	Botta
pillowcase	Bia
weld	breese
scab	Roof
house	Hus
salt	Solt
sack	Sak
flank	Flank
hallway	Gank
outside	buten
need	Muss
ladle	Schleef
slow	sacht
gum	Gumm
greeting	Gruss
onion	Zippel
moth	Mott
slow	langsom
syllable	Silb
bath	Bod
clear	kloa
spite	Trots
breath	Odem
old	oolt
coarse	groff
drunk	bedrunken
machine	Maschien
turn	dreie
chisel	Beitel
bottle	Buddel
rose	Roos
weight	Wicht
hair	Hoa
spatter	Klacks
hamburger	Klops
board	Brat
tooth	Tän
soot	Room
do	doone
field	Stap
grease	Fat
tax	Taks
boar	Kujel
inherit	oawe
axe	Biel
fish	Fesch
south	Siede
rent	Rent
dream	Droom
hate	Hot
seam	Soom
quarrel	Zank
school	School
weather	Wada
dung	Mest
furious	fuchtich
bosom	Bossem
tear	Tron
woman	Fru
soap	Seep
grasp	fote
giant	Ries
roast	Broden
yellow	jäl
solace	Troost
cup	Kross
service	Deenst
drink	Drunk
candy	Kend
water	Wota
duty	Flicht
sock	Sock
ban	Baun
side	Sied
sin	Sind
steam	Donst
servant	Deena
throne	Troon
tap	Tucks
tulip	Tulp
dance	Dauns
last	diare
glad	froo
fist	Füst
bleed	bleede
bean	Boon
class	Klauss
button	Knoop
canoe	Kon
cow	Koo
jug	Kruck
weed	Krüt
choir	Kua
cure	Küa
client	Kund
favour	Gonst
belt	Gort
gift	Gow
degree	Grod
raven	Rowen
kidney	Nia
girl	Mejal
man	Maun
buggy	Bogge
horse	Pieet
barn	Staul
way	Wajch
soil	Ieed
parents	Elren
son	Sän
child	Kjint
mother	Mutta
father	Voda
daughter	Dochta
Friday	Friedach
Monday	Mondach
Sunday	Sindach
wife	Wief
scoundrel	Bädel
lad	Benjel
month	Moonat
week	Wäakj
year	Joa
kettle	Grope
foundation	Grunt
roof	Dak
room	Stow
door	Däa
church	Kjoakj
cemetery	Kjoakjhoff
garden	Goaden
assembly	Vesaumlunk
time	Tiet
winter	Winta
summer	Somma
weekend	Wäakjenenj
meeting	Vesaumlungshus
often	foaken
I	ekj
sheep	Schop
poison	Jeft
owl	Ul
sacrament	Sakrament
homesickness	Bang
sod	Sood
blue jay	Heista
street	Gauss
up	nopp
thick	dikj
curl	Kroll
lung	Lung
whore	Hua
camera	Kamara
cockroach	Schaub
game	Spell
pill	Pell
caterpillar	Krupa
heathen	Heid
bead	Kral
holy	heilich
hump	Hempel
plum	Plum
hero	Helt
breadth	Breed
clock	Klock
faucet	Kron
stage	Bien
song	Leet
wind	Wint
peach	Pietsch
breast	Brost
orphan	Weis
unfortunately	leida
hammer	Homa
crown	Kroon
exaggeration	Becht
bumblebee	Hommel
deer	Ree
guilt	Schult
loose	looss
cent	Zent
tress	Schleif
lip	Lepp
basket	Korf
hat	Hoot
foam	Schum
glue	Liem
voice	Stemm
saying	Saj
careless	schloff
punishment	Strof
seed	Sot
letter	Breef
mountain	Boajch
leaf	Blaut
thing	Sach
snake	Schlang
only	blooss
table	Desch
wisp	Wesch
corpse	Leich
bridge	Brigj
tin	Blajch
hairbrush	Barscht
mask	Frauz
army	Häa
herd	Häad
shirt	Hamd
harp	Hoap
horn	Huarn
lamp	Laump
love	Leew
lie	Lieej
land	Launt
lake	Läacht
paint	Foaw
fire	Fia
fisherman	Fescha
window	Fensta
pocket	Fupp
fear	Forcht
fly	Flieej
ash	Ausch
drum	Dromm
thing	Dinkj
butcher	Fleescha
autumn	Hoafst
power	Krauft
cherry	Kjoasch
luck	Jlekj
greed	Jiez
calf	Kaulf
sword	Schwieet
swamp	Somp
coffin	Soakj
dandruff	Schenn
slave	Sklow
scissors	Schea
treasure	Schauz
terror	Schrakj
bacon	Spakj
milk	Malkj
rib	Rebb
sweat	Schweet
shame	Schaund
salve	Saulw
frog	Pogg
part	Poat
whip	Pitsch
nerve	Narf
plant	Plaunt
arm	Oarm
heir	Oaw
scar	Noaw
marrow	Moakj
market	Moakjt
stomach	Moag
cloud	Wolkj
rage	Wutt
word	Wuat
wart	Wraut
sausage	Worscht
worth	Wieet
wax	Wauss
corner	Akj
oil	Eelj
ant	Eemskje
eternity	Eewichkjeit
angel	Enjel
ginger	Enjwa
cupboard	Schaup
bar	Schenkj
lock	Schlott
apple	Aupel
kitchen	Kjäakj
bowling	Kjäajel
edge	Kaunt
goose	Gauns
guest	Gaust
grass	Grauss
cucumber	Gurkj
glass	Glauss
war	Kjrich
jaw	Kjeew
cheese	Kjees
battle	Kaumf
barley	Joascht
money	Jelt
ghost	Jeist
language	Sproak
pancreas	Pluz
bone	Knoaken
king	Kjennich
basement	Kjala
pumpkin	Kjarps
morning	Morjen
needle	Notel
wedding reception	Nokjast
judge	Rechta
courthouse	Rechthus
belch	Relps
rice	Riess
rye	Rogg
wheelchair	Rollstool
oar	Roodel
smoke	Ruak
incense	Ruakstoff
cabbage	Komst
cork	Korkj
vomit	Kolkj
saliva	Kjwiel
rumormonger	Kjwint
chalk	Kjried
crutch	Kjrekj
wedge	Kjiel
bib	Schlaub
sleep	Schlop
sleeping bag	Schlopsak
bedroom	Schlopstow
cream	Schmaunt
blacksmith	Schmett
lard	Schmolt
buckle	Schnal
thirst	Darscht
blanket	Dakj
dough	Dieech
dew	Deiw
village	Darp
intestine	Doarm
witness	Zeij
cloth	Zeich
number	Zol
ink	Tint
spider	Spand
eyelash	Ziepa
tail	Zoagel
sugar	Zocka
cement	Zemment
tailor	Schnieda
snail	Schnigj
joy	Freid
enemy	Fient
friend	Frint
grave	Grauf
horror	Grul
brick	Tieejel
tiger	Tieja
gift	Jeschenkj
lawyer	Aunwault
heart	Hoat
pet	Hustia
wagon	Woagen
truth	Woarheit
soothsayer	Woasaja
sea	Mäa
nose	Näs
criticism	Jenoa
story	Jeschicht
violence	Jewault
danger	Jefoa
feeling	Jefeel
threat	Jedreiw
poem	Jedicht
dentures	Jebiss
disgust	Äakjel
citizen	Birja
louse	Lus
scallion	Luak
lighthouse	Lichttorm
crow	Krauj
cancer	Kjräft
chewing tobacco	Schnufkje
moustache	Schnurboat
rocking chair	Schockelstool
shoe	Schoo
lap	Shoot
boar	Borch
bathroom	Bodstow
bathtub	Bodwaun
beard	Boat
birch	Boakj
book	Buak
millet	Hieezh
heat	Hett
cough	Hoost
hip	Hoft
herdsman	Hoad
padlock	Henjschlott
ball	Baul
brat	Baulch
beam	Baulkjen
bandit	Baundiet
effort	Mieej
metal	Mettol
brass	Messinkj
vowel	Metlut
tape measure	Motbaunt
ice	Iees
polar bear	Ieesboa
iron	Iesa
hacksaw	Iesasoag
eye	Uag
ear	Ua
crowd	Menj
murderer	Merda
discouragement	Mesmoot
spleen	Miltz
poppy	Monbloom
warning	Woarnunk
goods	Woa
Christmas	Wienachten
grape	Wiendruw
vineyard	Wiengoaden
vitamin	Wietemin
gall bladder	Gaulblada
cartilage	Gnurpel
gold	Golt
property	Goot
gallows	Gaulj
eagle	Odla
monster	Ontia
spoon	Läpel
reader	Läsa
folk	Volkj
bird	Voagel
veterinarian	Veedokta
witch	Hakjs
hedge	Hakj
witchcraft	Hakjsarie
half	Halft
hall	Haul
slipper	Schlorr
screw	Schruw
shoulder	Schulla
belief	Gloowen
Peeping Tom	Glotzkopp
almond	Maundel
duckling	Piela
crack	Retz
navel	Nowel
wedding	Kjast
resin	Kjeen
prison	Kjarkja
brew	Brie
melody	Wies
iodine	Jood
broom	Bassem
battery	Batrie
band	Baunt
command	Befäl
greed	Bejia
funeral	Bejrafniss
talent	Bejriff
confession	Bekjantniss
pants	Bekjsen
bench	Benkj
fame	Beriemtheit
report	Berecht
occupation	Beroop
obsession	Besätenheit
contribution	Beschäarunk
scarf	Binj
blueberry	Heidelbäa
lead	Blie
cauliflower	Bloomenkomst
pilgrim	Pilja
penis	Pischat
spot	Plak
pliers	Pleia
tack	Pligj
gossip	Pludra
raft	Plut
partner	Poatna
paw	Poot
post office	Postaumt
postman	Postmaun
postcard	Postkoat
postmaster	Postmeista
money order	Postjelt
ear	Oa
work	Oabeit
inheritance	Oafgoot
poverty	Oamoot
physician	Oatst
heirloom	Oawstekj
nobility	Odel
nobleman	Odelmaun
scenery	Omsecht
dishonor	Oniea
impatience	Onjedult
pest	Onjenieech
misfortune	Onjlekj
untruth	Onwoarheit
disorder	Onzucht
sacrifice	Opfa
lesson	Oppgow
daisy	Gaunsebloom
itch	Gnauz
gardener	Goadna
sheaf	Goaw
ditch	Growen
baker	Bakja
ceiling	Bän
buffalo	Beffel
container	Behelta
outhouse	Bekjhus
education	Belia
bitterness	Bettaniss
bachelor	Betschla
bee	Bie
beaver	Bieba
pouch	Biedel
bookshelf	Bieekjaschaup
beehive	Bieeromp
bite	Biet
mattress	Madrauz
flour	Mäl
sailor	Matroos
penis	Maunsjlett
mud	Mautsch
noon	Meddach
midpoint	Meddpunkt
gull	Meew
sleeve	Meiw
misanthrope	Menschenfient
humanitarian	Menschenfrint
slug	Mestworm
sympathy	Metfeelen
pus	Padikj
parrot	Papajei
pearl	Parl
confused	werr
covetousness	Janka
adobe	Adobe
prince	Prins
mixed marriage	Mischehe
prophet	Profeet
Seventh-day Adventist	Sabata
hard	hoat
rodeo	Rodeo
mustard	Samp
pound	Punt
potter	Tapa
black	schwoat
second-hand	tweedahaunt
twofold	tweefach
juicy	sauftich
harmful	schätlich
bad	schlajcht
serious	schlemm
tasty	schmakhauft
tasteless	schmaklooss
narrow	schmaul
beautiful	schmock
alert	schneiw
snotty	schnodrich
congested	schnoppich
strange	schnoopich
sharp	schoap
shared	schoarich
shameless	schomplooss
shameful	schomphauft
frightful	schrakjlich
shocking	schudahauft
foamy	schumich
weak	schwak
strong	stoakj
pregnant	schwanga
sweaty	schweetich
curvy	schweifich
brash	schwiendriest
swift	schwind
heavy	schwoa
hard of hearing	schwoahierich
cumbersome	schwoafalich
muggy	schwool
visible	sechtboa
soapy	seepich
silver	selwrich
scorching	senjent
senseless	sennlooss
drippy	sieprich
sinless	sindlooss
sinful	sindhauft
virtuous	sitlich
salty	soltich
sum	Somm
salt shaker	Soltstreia
salt water	Soltwota
saltpetre	Soltpeeta
strange	sondaboa
sunny	sonnich
ninth	näajenda
next	näakjst
fussy	neiw
eager	bolsch
blue	bleiw
withered	walkj
soft	wieekj
crisp	reesch
right	rajcht
lazy	mooj
dispirited	mootlooss
steady	stendich
stiff	stiew
curious	nieshierich
modern	niemootsch
sober	nichta
low	läach
laughable	lachrich
unmarried	lädich
leaky	lakjsch
poor	oam
unwise	onweis
untrue	onwoa
unknowing	onweetent
imperfect	onvollkomen
unworthy	onwirdich
unclean	orrein
yeast	Häw
haste	Haust
help	Help
stallion	Hinjst
rake	Hoakj
rabbit	Hos
grate	Hieet
hitch	Hitsch
can	Kaun
cat	Kaut
trowel	Kjal
putty	Kjitt
chest	Kjist
splotch	Kjlakjs
clamp	Kjlam
bran	Kjlie
bell	Kjlinja
waist	Kjnäp
knee	Kjnee
scar	Kjoaw
nasturtium	Kjrass
manger	Kjrebb
crumb	Kjreemel
sphere	Kjreiss
