I	o
water	um
swell	at
eat	bam
lake	sung
mushroom	tit
wa san	san
wa ar	ar
market	yaw
cry	yam
bathe	sum
fruit	soh
cooked rice	ja
thousand	hajar
suck	bu
wa le	le
die	yap
hot	chit
hill	loom
nyngkong	wi
climb	ku
go	lai
live	im
person	bru
wa soo	soo
place	bri
see	yoo
river	wah
bird	sim
iron	nar
drink	dih
thigh	blu
good	bha
fly	hær
me	nga
child	khon
animal	mrad
school	skur
crab	tham
bee	ngap
cold	kyam
praying mantis	chyrtoh
sleep	thiah
fire	diñ
tree	deiñ
frog	khroh
eye	khmat
nose	khmut
word	kyntein
leg	kjat
tooth	lymmeiñ
hand	kti
flower	syntu
wa ynru	ynru
wa ynñiaw	ynñiaw
wa phra	phra
wa khynde	khynde
wa chiphaw	chiphaw
one hundred	chispah
pig	sniang
chicken	syiar
tiger	khla
rat	khne
tongue	thylleij
hear	sñiaw
understand	sñiawthooh
village	chnong
year	snæm
month	bnai
day	sngi
snake	pseiñ
seed	symbe
rice	kba
husked rice	khoo
blood	snam
bone	chyeiñ
cloud	lyoh
dog	ksaw
ash	tpai
grandchild	ksu
breast	ymbu
salt	blooh
all	waroh
spit	mynthu
hole	thlu
rot	pyut
wind	lyær
fish	dakha
head	khlieh
mosquito	mait
new	thymme
claw	tyrsim
forest	khloo
banana	ladaw
sing	rwai
horn	reñ
hair	sniooh
ear	chkur
navel	sapæt
