net	sect
salmon	las
such	tok
up to	dü
honey	med
swamp	poro
furnace	pic
all	vis
frog	zobo
grandmother	bobo
bank	brig
village	vas
master	vart
of	vit
turnip	repo
peasant	bör
meadow	laug
six	sist
snow	sneg
cow	korvo
and	ă
sword	varo
brother	brot
still	jist
hole	jomo
bowl	coso
second	draug
beard	brödă
goat	ťöză
mother	motai
woman	zenă
fish	råibo
blood	kråi
night	nüc
water	vådă
resin	smölă
earth	zim’ă
foot	nügă
path	stadză
scythe	ťösă
wasp	våsă
balk	midźă
darkness	ťåmă
flea	blåxă
bee	celă
yesterday	ceră
soul	dausă
head	glåvă
middle	sredă
winter	zaimă
hand	rǫkă
heel	p’ǫtă
beam	gŕǫdă
river	rekă
wall	sťonă
intestines	crevă
tongue	jǫzĕk
man	clåvăk
life	zaivăt
above	voisĕk
widely	sarĕk
deeply	glǫbĕk
far	dolĕk
spindle	vritenĕ
sieve	risetĕ
who	kåtü
hop	xėmil
nest	gńozdĕ
cloth	sauknĕ
kernel	jǫdrĕ
reward	moitĕ
wing	kraidlĕ
leather	vausnĕ
mouth	vaustă
door	vortă
eye	våťü
sister	sestră
milk	mlåkă
birch	breză
road	pǫt
earthworm	glaistă
candle	svećă
furrow	bordźă
food	xornă
moon	laună
child	detă
will	viľă
fox	laiskă
rib	rebrü
stalk	ståblü
oar	veslü
rake	greblü
loin	stegnü
window	våknü
truss	viklip
intestines	crevü
egg	joji
year	ľotü
work	ďolü
field	püli
grain	zaitü
holiday	sjǫtü
yoke	jaiďü
beer	paivü
sting	zǫdlü
heaven	nebü
wheel	ťölü
hay	śonü
millet	prösü
dough	ťostü
swingle	b’ordü
plough	rådlü
morning	jautrü
awl	saidlü
fat	sodlü
barley	jącmin
ash	josin
step	stǫpin
coal	vǫďėl
eel	vǫďör
church	carťai
bell	klåťöl
ash	püpel
evening	vicer
whirlwind	vaixår
knot	vǫzål
nail	nüďėt
elbow	lüťėt
son	våtrük
apple	jobťü
wedding	rådüst
apple	joblün
treadle	stipin
cross	krosån
kindly	ľaibü
wet	mükrü
clean	caistü
early	rånü
long	dåuďü
awry	kraivü
full	påunü
low	naisťü
heavily	tąsťü
late	püznü
cool	zaimnü
lightly	ľåťü
past	maimü
crow	vorno
clay	glaino
cloud	tǫco
mortar	stǫpo
whore	sauko
wool	våuno
measure	ḿoro
pike	sťauko
linden	laipo
god	büg
harrow	bornă
pigeon	ďölǫb
bark	sťöră
horn	rüg
seed	semą
you	tåi
eagle	viŕål
name	jaimă
name	jaimą
vixen	laisaićă
wolf	våuk
piglet	porsą
garlic	lauk
frying pan	šopo
create	šopăt
weaver	tåkăč
bee	čelă
willow	varbă
grow	rüst
louse	vås
time	taid
frost	morz
blindworm	snok
thorn	dren
hedgehog	jiz
shoulder blade	lüpotă
girl	devă
eyebrow	bråvoi
excrement	ďünă
salt	sül
what	cü
concrete verb	bezăt
Easter	jostråi
under	püd
one	jadån
two	dåvo
three	tåri
four	citĕr
five	pąt
seven	sidĕm
eight	visĕm
nine	divąt
ten	disąt
rear	axterskă
street	sroto
sickle	sarp
threshold	porg
pigeon	ďölǫbăk
prince	våvådă
lighter	vignenĕ tüďai
stuff	tüďai
fiery	vignenĕ
fire	viďėn
duck	pailă
pea	gorx
goose	gǫs
sun	vedrü
pussy	paizdă
pig	svainą
king	ťėnądz
white	b́olĕ
dog	ṕås
air	v́otĕr
grain	źornü
bad	x́örĕ
house	viză
pants	brükoză
shoe	criv
father	aită
wheat	pasinaićă
feather	perü
world	sjot
game	jågraićă
sheep	vićă
horse	ťün
boat	lüďă
turn	vortăt
sand	ṕosăk
wood	dråvă
stone	komoi
axe	seťaŕă
tear	slåză
gold	zlåtă
iron	ziľozü
rod	prǫt
grass	ziľă
hare	zojąc
flint	kremin
flower	kjot
elder	båz
spider	pojąk
in	vå
lantern	löxtår
barrel	klådă
donkey	asål
meat	mąsi
out-	voi-
nut	vrex
lizard	vistăraićă
cousin	tetă
Mary	Morajă
old	storĕ
perch	borš
word	slüvü
arm	råmą
straw	slåmă
fly	mauxo
smell	vińă
spark	jåskră
field	naivă
saliva	slaină
star	gjozdă
steam	m’åglă
magpie	svorko
path	stadźă
hank	trǫbă
flour	mǫkă
hole	dară
mountain	ďöră
dew	rösă
side	stornă
playhouse	jåzbă
roe	jåkră
needle	jåglă
firtree	jadlă
cheek	celü
ear	vaux’ü
ground	dånü
pepper	paṕår
good	dübrĕ
grandfather	ďodă
son-in-law	ząt
uncle	stråjă
uncle	vaujă
or	cĕ
where	ťėd
what	joťĕ
which	koťĕ
other	drauďĕ
Elbe	Låbü
Slavic	slüvensťĕ
knead	gnest
mushroom	graib
green	grönĕ
heath	ďüľă
sow	svaińă
tablecloth	ploxtă
rein	vauzdă
alder	vilsă
wound	råno
twig	rözgă
oak	dǫb
fresh	frišă
hunger	glåd
hawk	ofkă
luck	lük
rain	dåzd
valley	döl
guest	ďüst
Kingdom of Heaven	emerikă
color	farb’ă
red	carvenĕ
sheaf	snüp
nit	gnaidă
bake	pict
calf	tilą
hangman	badål
boat	cåun
gum	ďǫsnă
player	jaigroc
forest	ľos
weaver	tåkăc
young	jungĕ
cavalry	ťönnaićă
tallow	lüj
lüjenă svećă	lüjenă svećă
dübrĕ dan	dübrĕ dan
dübră nüc	dübră nüc
dübră jautrü	dübră jautrü
dübrĕ vicer	dübrĕ vicer
February	rüzăc
Monday	pĕnideľă
Tuesday	törĕ
Thursday	perĕndan
Friday	skǫpĕ
Saturday	sübötă
Sunday	nideľă
bull	jaunăc
brother	brotăc
finger	polăc
sand	ṕosåсnĕ
kettle	ťüťål
hook	ťütălnaićă
shit	sarăt
ox	vål
