perquisite	gratis
dog	pies
waiving	abandon
force quit	abort
he	on
quick	nu
absorbancja	absorber
to	aby
about	o
they	one
stroll	spacer
bardziej	be
luck	fart
ticket	mandat
harbour	port
dictionary	słownik
this	ten
bridge	most
country	country
radio station	radio
absorbent	absorbent
absurdalność	absurd
Uzbejka	Uzbekistan
cocktail	drink
gift	dar
desktop	pulpit
Bohemian	Czech
trapezium	trapezoid
symboli	symbol
humour	humor
zebra crossing	zebra
this	to
ace	as
czar	car
sorbet	sorbet
bum	pupa
female	minister
sepia toning	sepia
ohm	om
painting	marina
myriapod	wij
health resort	bad
barrack	barak
talc	talk
neat freak	pedant
in	we
talented	talent
galaxy	galaktyka
girl	dziewczynka
girl	dziewczyna
ant	mrówka
duck	kaczka
woman	kobieta
cow	krowa
length	długość
love	miłość
height	wysokość
sister	siostra
prostitute	kurwa
physics	fizyka
mathematics	matematyka
whore	dziwka
book	książka
booklet	książeczka
teaspoon	łyżeczka
spoon	łyżka
prostitute	prostytutka
glass	szklanka
chemistry	chemia
spring	wiosna
chocolate	czekolada
onion	cebula
printer	drukarka
bulb	cebulka
floppy disk	dyskietka
winter	zima
wieżowiec	wieża
keyboard	klawiatura
school	szkoła
floor	podłoga
higher-up	góra
mea culpa	mea culpa
boy	chłopak
boyfriend	chłopiec
building	budynek
table	stół
teacher	nauczycielka
teacher	nauczyciel
flower	kwiatek
flower	kwiat
device	lampa
condom	prezerwatywa
vodka	wódka
high	haj
to	do
bitch	suka
yes	tak
spacious place	luz
map	mapa
installment	rata
tail	kita
mum	mama
adherent	adherent
lead paragraph	lead
guy	facet
wholesale	hurt
pool	pula
rhodium	rod
et cetera	et cetera
slow	wolny
month	grudzień
month	miesiąc
bodysuit	body
out	won
black eye	limo
would	by
International Phonetic Alphabet	IPA
AKA	vel
uproar	rumor
run	bieg
step	krok
rivet	nit
house music	house
climate	klimat
wedge	klin
hey	e
baron	baron
political	organ
khan	chan
because	bo
en-	o-
at	u
in	w
yes	ano
top hat	cylinder
son	syn
eyebrow	brew
cigarette butt	pet
summit	agora
false start	start
sofa	sofa
mason	mason
drug	drag
possessive pronoun	ich
strength	hart
brother	brat
hyperlink	link
good day	dzień dobry
forest	las
post scriptum	PS
vortex	wir
Panthera onca	jaguar
sixty	sześćdziesiąt
dozen	tuzin
twelve	dwanaście
keynote	idea
ferry	prom
kilogram	kilo
prime minister	premier
phage	fag
neon sign	neon
aluminum	aluminium
orrery	tellurium
only	li
ouch	au
on	na
are	ar
what	co
oneself	se
sweat	pot
samurai	samuraj
transportation	terminal
after	po
bye	pa
noise	huk
here	tu
remote control	pilot
dock	dok
banner	transparent
week	tydzień
cliché	slogan
Protestant	protestant
awesome	mega
maté	mate
acetylacja	acetyl
machinist	operator
is	jest
stalemate	pat
peach fuzz	koper
paper	papier
field	pole
watt	wat
American	hamburger
display	lumen
Basque	Bask
fifteen	mendel
fifteen	piętnaście
fate	los
cheese	ser
video surveillance	monitoring
myth	mit
loft apartment	loft
countryside	land
trick	lewa
trigger	cyngiel
face	front
load	transport
million złotych	melon
tar paper	papa
peacock	paw
Poland	Polska
anthem	hymn
Netherlands	Drenthe
Netherlands	Flevoland
zenith	zenit
straight flush	poker
prowincja	Utrecht
tongue	język
harmony	harmonia
dew	rosa
Dari	dari
music	label
curry powder	curry
poet	poeta
beast	bestia
potato	pyra
evil	hydra
magnifying glass	lupa
heavy machinery	machina
coat of arms	herb
tone	ton
loon	nur
momentalny	moment
I	ja
you	ty
car	auto
Saint Petersburg	Leningrad
volume	tom
Monday	poniedziałek
nose	nos
steward	steward
planet	Saturn
stop	hola
moon	luna
coupon	bon
side	bok
quantity	lik
history	historia
