where	may
really	y
who	pi
shovel	lampa
neighboring	pata
furrow	suka
breath	sama
mother	mama
he	pay
not	mana
one	huk
weave	away
prickly pear	tuna
potato	papa
basin	arma
harvest	allay
first-person	-y
rain	para
red	puka
mister	tata
oneself	kiki
old	paya
third-person	-n
singular	-ni
qayna	-s
-ña	-na
accusative	-ta
p'ampa	pampa
llaqta	-si
this	kay
hand	maki
feces	aka
coca	kuka
equal	masi
spirit	nuna
flower	tuktu
maternal uncle	kaku
lightning	illa
farmland	chakra
eastern	anti
lead	titi
lady	palla
baby	uña
do	ama
under	uran
great horned owl	tuku
downfall	urma
female	china
louse	usa
bark	kina
replete	saksa
spicy	haya
hour	ura
fortune	sami
watery	unu
thuta	tuta
wrong	panta
punch	taka
ch'iri	chiri
achira	achira
any	ima
really	ari
three	kimsa
woman	warmi
solution	paska
speech	parlay
metal	lata
elevated	uma
baking	chaya
navel	pupu
lukewarm	pari
purple	kulli
added	yapa
again	yapay
Quechua	runa simi
man	runa
clothing	chiripa
mute	amu
shucking	tipi
land	marka
sister	pani
soft	api
worm	kuru
question	tapu
sample	malli
duck	pili
noble	tupa
happy	kusi
brother	turi
cane	siku
memory	yuya
poison	miyu
one	juk
year	wata
fire	nina
name	suti
girl	sipas
tomorrow	kaya
-hina	hina
four	tawa
song	taki
gourd	mati
stupid	upa
back	wasa
pair	pitu
sun	inti
rice	arus
navel	puti
earth	pacha
scarf	haku
measure	tupu
storehouse	raki
cloud	puyu
phuña	puna
mother	wawa
pants	wara
soul	aya
plant	yura
distinct	wak
maternal uncle	kaka
grape	uwa
tail	chupa
service	yanay
northern	chincha
yes	arí
niece	mulla
little	pisi
plant	yuri
minute	minutu
second	sikundu
day	p'unchaw
week	simana
month	killa pacha
moon	killa
two	iskay
-paq	-pa
cheese	kisu
allative	-man
eagle	anka
pot	manka
only	-lla
house	wasi
together	tanta
that	chay
snake	amaru
flea	piki
disgust	milla
lime	isku
diminutive	-cha
flour	kuta
rhea	suri
neck	kunka
cock-of-the-rock	tunki
salty	kachi
weak	sansa
roast	kanka
billion	lluna
able	kuti
every	sapa
wild	purun
also	-pas
big	hatun
Inca	Inka
become	-ya
cracked	sipi
descend	bahay
fat	wira
dried	sara
heap	qutu
tooth	kiru
goat	karwa
gruel	lawa
runasimi	-m
good	allin
-nku	-ku
owl	juku
flower	sisa
particular	waki
