moon	bulan
we	kami
mouth	baba
salt	asin
I	ako
nine	siyam
smoke	aso
land	lukta
eye	mata
rain	uran
name	aran
egg	itlog
head	ulo
lightning	kilat
heaven	langit
new	bago
stone	bato
tongue	dila
where	sadin
short	manaba
flower	bulaklak
smoke	tulos
skin	panit
water	tubi
he	tana
fish	isda
blood	dugo
wind	angin
you	kamo
spider	lawa
they	sanda
thin	manipis
liver	atay
house	balabag
leaf	dahon
path	dalan
lake	danaw
root	gamot
you	ikaw
shoulder	abaga
cold	maramig
spouse	asawa
dog	ayam
rotten	lubok
sand	baras
hair	buok
year	dagon
ear	talinga
when	inoro
mother	nanay
star	bituon
fire	kalayo
tail	ikog
rat	ambu
breast	suso
wing	pakpak
tooth	ipon
mosquito	namok
abdomen	tiyan
wide	malapad
back	likod
bone	banog
nose	irong
year	dagun
branch	salingsing
hand	alima
fear	atlok
pointed	malawis
straight	matadlong
mother	inang
louse	kayumad
snake	magkal
near	marapit
far	marayo
roof	bubungan
neck	ingkoy
dust	mabakod
