floor	cat
free of charge	gratis
free	gratuit
hill	deal
abandonment	abandon
abattoir	abator
belly	abdomen
abductive	abductor
extremely steep	abrupt
almanac	calendar
no	nu
graduate	absolvent
from	de
vain	van
you	te
flax	in
acidic	acid
meatus	meat
county	BC
baa	be
metrical	metric
how	cum
mandate	mandat
bone	os
color	ten
singular	singular
Cyprinus carpio	crap
hidden	secret
urbane	urban
thigh	but
Acacia	acacia
but	ci
index	indice
voi	vi
bitter	amar
accelerative	accelerator
emphasis	accent
joke	gag
pole	drug
giving	dare
purple	violet
chaste	cast
Latin	latin
ugh	of
might	or
animalistic	animal
he	el
forum	for
year	an
deputy	adjunct
fruit tree	pom
haunch	arm
diamond	adamant
doing	facere
photocopier	xerox
usual	habitual
previous	anterior
pin	bold
lobe	lob
kiss	pupa
choral	coral
computer	calculator
civilian	civil
ministry	minister
diesel	diesel
meat	carne
marinate	marina
replicate	replica
duct	duct
of	al
hello	alo
saying	proverb
apode	apod
trouble	bai
county	NT
ball	bal
county	MS
money	ban
drunk	beat
county	AB
county	AG
county	CL
county	CS
county	GR
county	TL
county	AR
county	CT
county	IL
verse	vers
graffiti	graffiti
slang	jargon
pedantic	pedant
important	capital
baa	me
do	face
flawless	perfect
hi	servus
Estonian	estonian
well	ia
good luck	bulan
miss	rata
united	unit
macadam	macadam
pine	pin
boat	vapor
dike	dig
Get	get
Goth	got
slow	lent
song	lied
fucking	pula
shore	mal
channel	canal
conductor	conductor
lawful	legal
felon	criminal
postman	factor
external	exterior
pivotal	central
comical	comic
dukedom	ducat
son	sin
torture	chin
bodysuit	body
blanket	pled
wrinkle	rid
rank	rang
monoplane	parasol
balance	sold
sailor	matelot
barren	arid
carpus	carp
picturesque landscape	sit
village	sat
thorn	spin
vrei	spun
lathe	strung
was	era
cementum	cement
deed	act
which	care
chub	clean
great	vel
vermouth	vermut
bowl	bol
пенис	penis
fox terrier	fox
branch	ram
poor	biet
tribute	bir
rivet	nit
te acasă	du
logical	logic
leap	salt
suckling	sugar
lighthouse	far
elevator	lift
increase	augment
whetstone	cute
blinded	orbit
analogue	analog
carburetor	carburator
Pinyin	pinyin
decorticator	decorticator
east	orient
et cetera	etcetera
substitute	substituent
corrigendum	corrigenda
Antarctic	antarctic
vociferating	vociferant
letter	locator
heme	hem
freemason	mason
dirt	jeg
dear	drag
caravanserai	han
Hun	hun
his	lui
wide-awake	alert
cornel grove	cornet
feces	excrement
eager	avid
splendour	fast
silicone	silicon
chapter	capitol
dagger	hanger
iron	fier
hard	tare
us	ni
a	un
septum	sept
mulberry	dud
heart	cord
your	ta
duet	duo
blond	flor
lamb	miel
beta	beta
invent	idea
cubical	cubic
consideration	respect
whip	bici
moo	mu
county	TM
county	SM
cowshed	dam
prime minister	premier
xenon	xenon
them	li
accusative	ne
reach	accede
mobile	mobil
bus	autobuz
reflexive pronoun	se
county	VL
weight	tar
what	ce
I	eu
whoa	ho
needle	ac
bye	pa
republican	republican
you	tu
county	MM
indebted	dator
on	pe
jet	jet
white	alb
credit	generic
infer	deduce
United Arab Emirates	Emiratele Arabe Unite
bravo	halal
fat	gras
axe	secure
home page	pagină principală
pop music	pop
unfermented	must
Protestant	protestant
she	ea
us	noi
they	ele
multicolored	multicolor
handle	mania
clear	net
harsh	acerb
dream	visa
ham	jambon
maths	mate
commonplace	banal
peer	pair
reflexive	sine
test	testa
wildebeest	gnu
venous	venal
operating	operator
United States	New York
pound	pisa
bed	pat
empty	vid
Paschal	pascal
island	insula
poor	pauper
weber	weber
tasteless	insipid
dull	bont
tower	turn
flow	flux
pianist	-ist
matte	tern
colonist	colonist
communion	altar
Cluj-Napoca	Cluj
Ido	ido
serum	ser
handbook	manual
bow	arc
thunder	tuna
axle	ax
chimney	horn
kind	sort
plane	plan
bowler hat	melon
edge	cant
petroleum	petrol
Pentagon	pentagon
dance	dans
DNA	ADN
antagonistic	antagonist
zenith	zenit
himself	sie
elbow	cot
east	est
corn flakes	cornflakes
computer scientist	informatician
hippodrome	turf
clitoris	clitoris
burnt	ars
father	pater
gnawed	ros
integument	integument
curry powder	curry
deceased	defunct
environmental	ecologist
Egypt	Egipt
scratch	juli
port wine	porto
quick	ager
backgammon	table
free	liber
brave	brav
correct	just
sex drive	libido
north	nord
sex appeal	nur
head-on	direct
cape	felon
slave	rob
fast	rapid
deaf	surd
moron	idiot
self-sufficient	independent
banish	fuga
horned	unicorn
Draco	dragon
rear	cabra
volume	tom
ovine	ovin
ghost	spirit
voice	voce
Saturn	Saturn
curdles	chegar
doorway	portal
let's	hai
long	lung
torus	tor
reindeer	ren
voucher	bon
paginate	pagina
kerosene stove	primus
major	maior
dome	dom
maniacal	maniac
confidant	confident
flock	stol
Mongolian	mongol
fiicele	tale
wart	neg
present-day	actual
Advent	advent
weight	oca
cassava	manioc
Vandal	vandal
godfather	nun
of	ale
face	chip
alienist	alienist
shallow	superficial
cowherd	boar
obese	obez
skin	beli
despicable	demon
new	nou
goat	capră
cow	vacă
screen	ecran
technology	tehnologie
barred	barat
movie	film
Russia	Rusia
angelic	angelic
England	Anglia
ancient	antic
-ship	-ie
lush	luxuriant
tap dance	step
glans penis	gland
fairy	fee
Bantu	bantu
therefore	deci
lessen	reduce
nautical	naval
his	sa
semilunar	semilunar
executory	executor
caviar	caviar
unite	uni
orchard	sad
turnip	nap
vibration	vibrare
minimum	minim
trigone	trigon
cocoa	cacao
back	dos
code	coda
status	stare
cloud	nor
Turkish	turcesc
fair	obor
blind	orb
boom	bum
tramp	vagabond
stainless steel	inox
marker	marcher
member	component
remote	distant
whiskey	whisky
beacon	baliza
zoom	zum
ait	ostrov
Slav	slav
pornographic	porno
strict	sever
snobbish	snob
complementum	complement
take	lua
summer	veri
peace	pace
toilet	closet
morale	moral
war	război
divine	divin
air	aer
mediate	media
there	colo
dense	dens
sharp	diez
employer	patron
under	sub
ass	asin
superb	super
chaos	caos
fixed	fix
food	aliment
palindrome	palindrom
stirrer	agitator
valley	vale
hall	hol
Fragaria vesca	frag
ready	gata
animate	anima
Hungarian	ungar
date	data
dawn	alba
frustrate	frustra
catapult	catapulta
college	student
list	lista
sorghum	sorg
money	para
composure	calm
bottom	fund
byte	octet
custard tart	flan
lime	tei
on	din
giant	gigantic
abacus	abac
tasteless	fad
