netherworld	ࠔࠉࠀࠅࠋ
prophet	ࠍࠁࠉ
Temple in Jerusalem	ࠁࠉࠕ࠰ࠌࠊࠕࠔ
plague	ࠌࠊࠕࠔ
praise	ࠔࠅࠁࠇࠍ
peace	ࠔࠋࠌ
heaven	ࠔࠅࠊࠉࠄ
beginning	ࠁࠓࠀࠔࠉࠕ
God	ࠀࠋࠄࠄ
Israel	ࠉࠔࠒࠅࠍ
Torah	ࠀࠓࠄࠅ
Tetragrammaton	ࠉࠄࠅࠄ
heavens	ࠔࠅࠌࠉࠌ
Shabbat	ࠔࠁࠄ
Pharaoh	ࠐࠓࠏࠄ
Messiah	ࠕࠄࠁ
Moses	ࠌࠔࠄ
Gihon	ࠏࠎࠓࠅࠐ
Kush	ࠊࠅࠐࠉࠍ
Tigris	ࠒࠐࠋࠅࠎࠄ
El	ࠀࠋ
one	ࠇࠃࠄ
two	ࠕࠓࠉࠌ
three	ࠕࠋࠕ
four	ࠀࠓࠁࠏ
five	ࠇࠌࠔ
three	ࠕࠋࠕࠄ
Samaritan	ࠀ
Samaritan	ࠁ
Samaritan	ࠂ
Samaritan	ࠃ
Samaritan	ࠄ
Samaritan	ࠅ
Samaritan	ࠆ
Samaritan	ࠇ
Samaritan	ࠈ
Samaritan	ࠉ
Samaritan	ࠊ
Samaritan	ࠋ
Samaritan	ࠌ
Samaritan	ࠍ
Samaritan	ࠎ
Samaritan	ࠏ
Samaritan	ࠐ
Samaritan	ࠑ
Samaritan	ࠒ
Samaritan	ࠓ
Samaritan	ࠔ
Samaritan	ࠕ
