white	balts
blood	kraus
color	spalva
port	ousts
dog	šou
good	gers
sea	jūra
language	kalba
eye	akis
hungry	alkana
man	vīrs
Samogitia	Žemaitėjė
pear	grūšos
book	kninga
anatomy	anatuomėjė
arm	ronka
virile	vīrėšks
history	istuorėjė
geography	geuograpėjė
squirrel	vuoverie
horse	arklīs
Samogitian	žemaitis
dictionary	žuodīns
information	infuormacėjė
day	dėina
be	būtė
Aukštaitija	Aukštaitėjė
star	žvaiždie
word	žuodis
know	žėnuotė
verb	vēksmažuodis
Lithuania	Lietova
Latvia	Latvėjė
orgasm	uorgazmos
masturbation	mastorbacėjė
oralėnės seksos	oralėnės seksos
analėnės seksos	analėnės seksos
oral	oralėnės
anal	analėnės
sex	seksos
wolf	vėlks
Estonia	Estėjė
ice	leds
Russia	Rosėjė
Bosnėjė ėr Hercuogovėna	Bosnėjė ėr Hercuogovėna
Bosnia	Bosnėjė
Hercegovina	Hercuogovėna
and	ėr
Croatia	Kroatėjė
Serbia	Serbėjė
France	Prancūzėjė
Montenegro	Joudkalnėjė
Portugal	Portugalėjė
Moldova	Moldavėjė
Poland	Lėnkėjė
Hungary	Vengrėjė
Slovenia	Slovienėjė
Slovakia	Slovakėjė
Spain	Ėspanėjė
Georgia	Grozėjė
Macedonian	Makeduonėjė
Iceland	Ėslandėjė
Greece	Graikėjė
Turkey	Torkėjė
Czech Republic	Čekėjė
Italy	Italėjė
Romania	Romonėjė
Finland	Soumėjė
state	valstībė
historic	istuorėšks
Samogitian	žemaitėšks
hungry	alkans
black	jouds
green	žals
Irish	airėšks
blind	akls
Albanian	albanėšks
satiated	suotos
Ohio	Ohajos
Germany	Vuokītėjė
Monday	panedielis
Tuesday	oterninks
Wednesday	sereda
Thursday	ketvergs
Friday	pernīčė
Saturday	sobata
Sunday	nedielės dėina
actor	aktuorios
actress	aktuorė
Africa	Afrėka
afternoon	popėitė
misanthropy	mėzantruopėjė
water	ondou
Tajikistan	Tadžikistans
