flower	ita
snake	coo
deer	isu
corral	cora
dog	ina
rain	savi
metal	caa
buddy	compa
cat	mistu
San Juan Cacahuatepec	Yucu Suhva
bobcat	mistu cuhu
milk	letsi
canoe	canuva
peach	durastun
soldier	jandaru
Chatino	sahan tsucui
net bag	yunu
Monday	loñi
water	ndutya
scissors	tixere
wind	tatyi
kingfisher	tasu tyaca
comal	tsiyo
pozole	pisole
knife	cutsilu
yesterday	icu
rattlesnake	coo caa
rainbow	coo cuiya
frog	sahva
toad	sahva ndɨhyɨ
Saturday	sávuru
whooping cough	sayu xaan
prickly pear cactus	vihnya
Saint Andrew's Day	vico Nandree
hail	yuu savi
