encyclopedia	encyclopaedia
free	frei
today	day
impediment	ab
behind	aback
impediment	abb
abbey	abbacy
ah	abit
well-to-do	able
springtime	spring
I	ik
daylight	sky
can	can
of	o
in	i
hatch	clock
sun	sun
as	is
grace	are
come	cum
pillow	cod
trick	queef
build	big
outer	but
him	um
you	thou
school	academy
small	ace
Faroe	Faroe Islands
mother	mither
often	after
stun	donner
at present	yet
saw	see
put	pit
sentient	person
before	or
memory	mind
back	again
coincidental	accident
child	son
night	nicht
teach	learn
mouse	moose
dexterous	handy
sea	haar
conceive	think
call	cry
grain	acre
dungfork	graip
he	he
alone	lane
woman	deem
rounded	law
vomit	boke
woman	wife
earthquake	earthquake
be	er
barrister	advocate
exhausted	wabbit
moor	bent
stand up to	dug
fly	flee
sneaky	fly
such	sic
proceed	rake
you	ye
your	thy
list	leet
person	body
sellt	sell
pout	tout
by	bi
so	sot
than	by
enact	act
door	door
pot	pig
bowl	plate
be	ir
frighten	fear
sky	lift
cut in	duke
run	rin
no	nut
that	yon
ago	abye
reproach	upcast
lake	loch
from	fri
look	luik
small	wee
Lease	tack
recovered	better
hit	dunch
be	em
na	ne
sandy	links
call	ca
to	ti
one	wan
enjoy	brook
dear	lief
land	laund
fate	weird
illness	brash
eye	ei
Christmas present	Christmas
ineffective	feckless
feat	fate
son	lad
self	sel
drunk	wat
warlock	witch
lively	cant
yawn	gaunt
coarse	great
put	putt
roll	row
dung	muck
glue	batter
flower	flour
sharp	aber
groomsman	best
make	gar
wanker	tube
woman	hen
knowledge	ken
Hawick	buil
tool	tuil
it	eet
hour	oor
Mongolia	Mongolie
admit	admeet
marvel	admire
consider	advise
informed	advised
before	afore
fetter	shackle
often	aft
dove	doo
one	yeh
idiot	numpty
stir	steer
one	ane
sprinkle	grime
grave	sad
Geordie	George
devil	warlock
issue	ish
hassle	hatter
oats	corn
chuck	yuck
like	like
die	dei
went	gaan
bad	baud
bone	bane
barley	bere
pause	hover
tea	tei
everything	aahing
unknown	unco
street	gate
far	fer
overturn	coup
Pate	Peter
ale	yill
intimate	pack
head	pow
my	ma
yes	ay
always	aye
tenure	feu
lore	lair
spindle	broach
child	bairn
naught	nowt
bad	ill
health	heal
sparrow	spur
line	anent
stupefy	dozen
truce	barley
bribe	bud
indeed	deed
-n't	-na
prophecy	spay
west	wast
flatter	flether
girl	lassie
six	sax
jobby	jobbie
bow	boo
rest	lave
bending	bandy
dwell	bide
hillside	brae
haycock	cole
ankle	coot
goat	gait
throw	hoy
exercise book	jotter
church	kirk
moustache	mouser
headland	mull
metal	preen
haggle	prig
cream	ream
show	shaw
slender	swank
two	twa
choice	wale
child	wean
lament	yammer
flag	banner
cannie	canny
mash	champ
Irish	Erse
go	gang
God	goad
dismiss	hoot
arch	pend
afterwards	syne
Christmas	Yule
little finger	pinkie
purchases	message
your	yer
proof	adduce
wave	waw
summer	simmer
strangle	worry
with	wi
man	mon
though	tho
maker	makar
breeches	breeks
four	fower
reivers	blackmail
grandchild	oy
tug	yank
effect	feck
ashamed	affront
control	wield
great	grit
aren't	arena
coarse	fishwife
cough	coch
youth	caddie
strike	scone
move house	flit
tongue	tung
caa	ca'
free	redd
fault	faut
knife	gully
disqualify	disable
officially	publicly
farmer	fermer
cut off	stow
would	wad
rinse	sind
long	lang
nicker	nicher
vagina	fud
jiner	joiner
alder	aller
flow	trot
stern	dour
am	amn't
bridge	brig
cow	coo
mountain	heft
before	affor
lullaby	baloo
jackdaw	ka
close	dit
Hughie	Hugh
woman	quean
reveal	kithe
ground	grund
mother	moder
tired	scunner
drab	bleg
Ander	Andra
February	Februar
France	Franse
January	Januar
Jock	John
Church of Scotland	Kirk
barn	bern
ewe	gimmer
much	mickle
shy	blate
click	sneck
hush	whisht
handsome	bonnie
armpit	oxter
he	hei
light	licht
tatty	tatty cake
morning	morn
strong	stalwart
tangle	fankle
house	hoose
premonition	fey
Stewart	Stuart
broth	bree
hedgehog	hurcheon
by-product	bing
word	wird
oigh	oigh
special needs	deej
strict	strack
head	heid
condition	-heid
smell	ming
go	gan
fist	nieve
do	kenna
after	efter
squall	drow
flutter	flaughter
own	ain
grub	mathe
reef	skerry
topside	rump
comparison	abies
persistent	dreich
him	im
boy	loon
Baltic	Baltic Sea
twisted	thrawn
away	awa
Monday	Monanday
Tuesday	Tysday
grandchild	oe
blow	blaw
vomit	boak
Scottish	Armstrong
halfpenny	bawbee
table	brod
very	gey
mare	meir
delay	mora
scald	scad
staff	cromack
shirt	sark
beat	ding
aught	owt
one	ae
look	visie
gallows	woodie
slice	collop
piss	pish
naughty	gett
sooty	sootie
hook	cleek
bother	fash
schore	chieftain
haunt	howff
she	shi
floor	flair
nothing	noot
daughter	dochter
star	ster
heart	hert
loud	lood
push	stap
shit	tollie
astonishment	ferly
daring	gallus
water	witter
mucus	gleet
agree	gree
stretch	streek
dappled	lyart
juice	wuss
Scottish	Inversneckie
shebeen	bothan
belch	rift
cottage	fermtoun
chubby	bawheid
energetic	birkie
voice	steven
out	oot
packman	chapman
home	hame
you	yow
wall	wa
shopping	messages
Byreman	byre
bless	sain
outside	furth
ploughman	hind
loyalty	lealty
salter	sauter
great	ojis
shrill	skirl
slick	sleekit
sheaf	stook
don't	deh
made	mak
moor	muir
pope	pape
bad	wan-
blame	wyte
shale	blaes
Aberdeenshire	div
muster	wappenschawing
maternal uncle	eme
robbery	reif
alone	alane
me	mei
leap	loup
Glasgow	Weegie
bright	bricht
pea	pei
dree	dree one's weird
endure	dree
bour	bour tree
stab	stog
at all	ava
greedy	gare
yerd	yerd-hunger
south	sooth
ewe	crock
tree	trei
key	kei
holy	hilly
full	waulk
snow	snaw
violent	radgie
gonnae	gonnae no
going	gonnae
farm	ferm
who	wha
war	wis
indecisive	swither
very	verra
weel	weel
love	luve
irritable	carnaptious
ferret	futret
daisy	gowan
wipe	dicht
July	Julie
Eithne	Edna
how	hoo
grandchild	grandbairn
brown	broon
spring	voar
fool	glaik
silly	glaikit
arse	erse
unfair	shan
over	ower
vomit	bowk
Claire	Sorcha
woman	carline
old	auld
community	commonty
Hawick	wett
stinking	reekin
drunk	pished
good	guid
went	gaed
meadow	haugh
Haut-Rhin	Mulhouse
tatty	tatty scones
tatty	tatty scone
advice	advisement
misfortune	traik
abstract	ootwi
lowlands	lawlands
Scots	Lallans
apple	aipple
chimney	lum
nou	noo
stone	stane
cliff	heuch
raven	corbie
corbie	corbie messinger
catch	guddle
crab	partan
messenger	messinger
stick	theevil
tear-stained	begrutten
father	faither
brother	brither
most	maist
hundred	hunner
marry	mairry
from	fae
shoe	shae
scarf	gravat
seabird	dooker
melancholy	dowie
off	aff
stotte	stot
gooseberry	groser
onion	ingan
extraordinary	byordinar
lose	tyne
windpipe	thrapple
loath	sweirt
user	uiser
country	kintra
thousand	thousant
Zambia	Zambie
fill in	colf
dirty	muckit
prophesy	spae
library	leebrary
Isle of Man	Isle o Man
Russia	Roushie
literature	leiteratur
o	Unitit Kinrick o Greet Britain an Norlin Airlann
northern	norlin
united	unitit
golf	gowf
have	hae
edition	edeetion
leisure	leisur
world	warld
football	fitbaw
ball	baw
awfu	awfu
article	airticle
parliament	pairlament
never	nivver
Catalan	Catalanais
spinning top	peerie
ready	boun
turbid	drublie
sad	dule
neck	swire
dwyne	dwine
stealing	stouth
deafen	deave
buttocks	doup
strip	tirl
dwarf	droich
guess	jalouse
rabble	clanjamphry
uproar	stramash
changeable	immis
loyal	leal
jovial	gawsie
golden	gowden
roister	splore
neat	snod
test	pree
intend	ettle
mitigate	mease
disgust	gads
ale	swats
spot	pluke
spot	plook
avoid	evite
westward	westlins
salt	saut
lucky	weirdly
building	biggin
when	whan
knoll	knowe
folk	fowk
both	baith
cryne	crine
angry	fasht
poor	puir
rock	craig
to	tew
arse	ers
rump	rumple
Highlander	teuchter
gied	gie
blessing	saining
fall	fa'
gate	yett
bread	breid
nothing	nocht
tight	ticht
crazy	gyte
exhausted	cuntit
talk	taak
awful	bowkin
lies	leis
angry	bealin
fine	braw
senile	doitit
old woman	cailleach
shit	kich
filthy	kichie
book	buik
English	Auld Enemy
convenor	convener
spider	speeder
beast	baist
awkward	hobbledehoy
plum	ploom
snout	snoot
dictionary	dictionar
threat	gie ye the message
footless	hushion
worry	kauch
home	hyim
naught	nowts
you	yow yins
have	hev
biology	biologie
use	brouk
piece	steik
bluish	blae
low	laigh
-ful	-fu
blather	blether
easily	eith
beam	trest
shot	wee dram
join	souder
whit	haet
restrained	mim
none	nane
spring	brade
enclose	hain
swift	teet
awfi	awfi
awfi	awfih
these	ther
two	twae
eight	eit
soaked	platchin
do	dae
nothing	nihin
nothing	nithin
nothing	nuhin
who	whae
open	apen
is	is't
wuz	wus't
twelve	twal
twal	twol
twenty	toonty
must	maun
psychology	psychologie
threi	shrei
third	thrid
delivery	sasine
alley	wynd
burgh	broch
frog	puddock
game	gemme
soul	releegion
intercourse	intercoorse
sensation	soond
don't	divvent
from	frae
from	thrae
from	thri
something	sowt
through	throwe
spoonful	spinfi
spoon	spuin
onti	onti'd
wi	wi'd
them	thaim
doesn't	dizzent
fire	feier
hundred	hunder
onto	onti
o	o'd
himself	umsel
himself	imsel
jump	lowp
fire	fyre
wood	wud
call	caa
bramble	brammel
eighteen	eiteen
eighty	eity
gan	ga'i
hev	heh'i
thousand	thoosand
thousand	thoosind
want	wa'i
here	hyeh
culture	cultur
horse	cuddie
wuddent	wadnae
wouldn't	wuddent
wouldn't	wudden
truth	truith
truth	trith
try	tra'i
tomato	tomati
justify	justifee
power	pouer
himself	himsel
education	eddication
many	mony
term	tairm
example	ensaumple
don't	dinnae
together	thegither
window	windae
vowel	vouel
cart	cairt
book	teetle
very	gye
attendance	sederunt
rain	smirr
sparrow	sparra
ditch	sheuch
worth	wirth
thought	thocht
willow	sauch
ill-tempered	crabbit
duck	deuk
faint	dwam
fighting	fechtin
beaten	fechtit
dirty	clarty
beehive	byke
last	laist
wholesome	hailsome
blood	bluid
city	ceity
all over	athort
ship	gailey
high	heich
should	shoudna
above	abuin
lark	laverock
plum	ploum
traditional	tradeetional
meaningless	meaninless
drainpipe	rone pipe
gutter	rone
dead	deid
won't	wunnae
those	thae
spiders	speeders
fly	flei
stappeet	stapt
carry	cairry
whae	whae's
awful	howfin
no	nae
village	veelage
constituency	consteetuency
national	naitional
century	centurie
however	houaniver
consist	conseest
pea	pey
caa	caa'd
once	yince
spoons	spuins
truths	triths
yellow	yelli
red	reid
black	bleck
dark	derk
ritual	reetual
holy	halie
spirit	speerit
harmony	hairmony
dark	daurk
bank	baunk
movement	muvement
parishioner	pareeshioner
trinity	treenity
symbol	seembol
winter	wunter
mistletoe	messeldeu
tumor	clyre
supernatural	supernaitural
expound	expoond
start	stert
window	wundae
voice	vyce
nearby	naurby
dynasty	deenasty
down	doon the stair
great skua	bonxie
crikey	help ma boab
women	kirkit
Jedburgh	Jethart
real	real MacKay
bull	bul
topped	tappit
tappit	tappit-hen
tappit	tappit-hens
flute	fluit
moon	muin
down	doon
archeology	airchaeologie
yourself	yersel
recognize	kenspeckle
catch	kep
India	Indie
childbearing	houghmagandie
man	gome
short	cutty
vain	vauntie
agriculture	agricultur
animal	ainimal
wall	dyke
tiring	faggy
outside	aboot
threi	hrei
onythin	onyhin
onyhin	onythin
onyhin	onyhing
afternoon	efternin
themselves	thersel
find	finnd
wish	wush
rather	rither
boiling	aboil
cottage cheese	crowdie
drunk	peshed
rector	Pesh
hold	haud
as well	an aa
tower	toor
tower	toorie
tam o'shanter	toorie bunnet
speirt	speir
never	niver
asquint	agley
singlet	semmit
stock	hirsel
work	wark
police	busies
feud	feid
cosy	cozie
beneath	aneath
fairly	gay
tate	tait
hymn	hime
cheeky	coorse
aboard	aboord
subject-matter	evin
twill	tweel
loving	luvin
board	buird
bury	bery
tattie	tattie cake
tattie	tattie scone
photo	phoatie
scar	blain
schoolmaster	dominie
smitham	smeddum
anoint	unct
mill	waulk-mill
halse	hawse
climb	clim
halfpenny	maik
inquire	cognosce
slowly	dreichly
slow	dreich in the draw
dead level	deid dreich
crush	smush
choke	chowk
dog	doag
anywhere	onywhere
part	pairt
parish	pairiesch
Kelso	Kelsae
gleg	gleg-lugged
smart	gleg
gleg	gleg-gabbit
red kite	gled
squint	gley
under	ablow
visual	glamer
hinny	hiney
drip	dreep
plaster	plaister
mouth	mooth
stretch	streetch
rubbish	ribbish
glass	gless
bullet	bullit
autumn	back-end
matter	mitter
cherry	chirry
plaster of Paris	stookie
soon	sune
under	unner
wash	agg
limp	hirple
wark	wirk
doing	duin
pant	pech
gossip	claver
slut	duddroun
all	a'
twilight	mirk
march	mairch
family	faimlie
entertainment	enterteenment
ground	groond
neighbourhood	neibourheid
right	richt
between	atween
talk	collogue
poison	pushion
canny	ca canny
cannot	cannae
disgusting	mingin
coax	tice
nit	neet
swallow	swalla
cloudy	drumlie
toothless	tuithless
tooth	tuith
gulp	tuithfu
twilight	gloamin
often	aften
earth	yird
sound	soun
stroke	straik
guid	guid brither
mercury	mercur
soaked	droukit
Scottish Gaelic	Hieland
wheeze	wheezle
adverb	-lins
crumb	crum
prentin	prentin press
loathe	laith
move	flittin
munelicht	munelicht flittin
yellow	yella
print	prent
jeer	afftak
annoying	fashious
trickily	fashiously
ill-tempered	girnie
