father	ai
mallard	feel
collared peccary	poo
spouse	aal
rock	hast
deer	hap
horse	ziquiz
squirrel	xpist
sheep	caar
ziix	ziix yacö caixaj
wolf	xeecoj
monkey	moona
Saturday	izaayo
American	maricaana
orange	sahmees
ccapxl	sahmees ccapxl
Scorpius	Azoj Cmiique
coyote	oot
sanderling	cöihiin
horse	caay
swim	cacat
domestic cat	miist
gold	hooro
coffee	cafée
sword	haspaaya
yaawḻoj	yaawḻo
bull	tooro
cheese	quiiz
truck	trooqui
lion	tonom
tacj	tacj queemtax
whale	aasj
live	ccam
goby	canaaajöa
hácataj	hacat
Seri	cmiique
regal horned lizard	hant coáaxoj
wife	alxcmaam
xtoozp	xtoozp hapec
January	azoj imal cmizj
black-tailed jackrabbit	teepol
peacock	xazaap
brown pelican	tosni
boat	canoaa
bat	senelcset
raccoon	xeen
bobcat	nop
American oystercatcher	nojcaasjc
turkey vulture	naapxa
najc	najc
mourning dove	noosi
gold	eenim cmasol
osprey	siipoj
red-tailed hawk	siipoj cquihjö
prairie falcon	simeniil
obsidian	pajii
Gila monster	paaza
Apache	hapats
pig	poo caacoj
San Juan	cof
one	tazo
woman	cmaam
woman	ziix quipnáail
thing	ziix
one	toojom
man	ctam
two	cajcom
three	pxaahom
four	zoxcom
five	xöaitom
six	napzoj
seven	cajcöi
eight	pxajcöi
nine	csooxhanl
ten	xohnal
number	icóosx
dolphin	tacj
star	azoj canoj
shirt	caamiz
fish	zixcám
seahorse	heeesam
Punta Chueca	Socaaix
El Desemboque	Haxöl Iihom
Isla Tiburón	Tahejöc
Isla San Esteban	Cofteecöl
big	caacoj
small	quisil
child	zixquisiil
go	catax
skirt	ipnaail
octopus	hapaj
