milk	ಹಾಲು
tooth	ಹಲ್ಲು
become	ಆ
sailboat	ಹಡಗು
elder sister	ಅಕ್ಕಁ
smoke	ಅಗ
palm	ಅಂಗೆಯ್
attic	ಅಟ್ಟ
soapnut tree	ಅಂಟವಾಳ
elder brother	ಅತ್ತಿಗ
ten	ಅತ್ತು
is	ಅದ
pig	ಅಂಱಿ
food	ಅನ್ನ
eleven	ಅನ್ನೊಂಡು
father	ಅಪ್ಪ
maternal grandmother	ಅಮ್ಮ
five	ಅಯಿದು
five	ಅಯಿದೊ
daughter	ಅಯ್ಯ
earthen pitcher	ಅರವೆ
yellow	ಅರ್ಸ್ಣ
catjang	ಅಲಸಂದೆ
bee larva	ಅಲಿಮೆರಿ
there	ಅಲ್ಲಿ
tooth	ಅಲ್ಲು
rite	ಅಲ್ಲುಸಾಸ್ತ್ರ
lablab	ಅವರೆ
mother	ಅವ್ವೆ
son-in-law	ಅಳಿಯ
old	ಅಳ
Indian giant squirrel	ಅಳಿಮ
river	ಅಳ್ಳ
hunger	ಅಸಿ
green	ಅಸುರು
bamboo pit viper	ಅಸುರಾವು
foot	ಅಸ್ತ
become	ಆಯ್
forehead	ಆಣ
afterwards	ಆಮೆಲೆ
snake	ಆವು
man	ಆಳು
six	ಆಱು
six	ಆಱೊ
hereafter	ಇನಿಮೇ
large water vessel	ಹಂಡೆ
festival	ಹಬ್ಬ
crowbar	ಹಾರೆ
