that	nu
I	wi
woman	nua
shrunken	tsantsa
tribal	uwishín
arrow	tséntsak
Banisteriopsis caapi	natem
tobacco	sawin
ginger	ajej
beeswax	míkia
heart	anentái
this	ju
tree	remu
harpoon	archa
house	jea
water	entsa
ten	nawe
frog	puach
sexual orientation	pampatai nekámuri
disability	tunamarmari
religion	Arutmari
lawyer	chichámrin
sex	pampatairi
asexual reproduction	pampaichu tutainti
intersex	pampatai takaku
reproduction	pampatai
man	aishmank
gender identity	núa aishmanjai
of	Shuar Chichaman Tsawantri
day	tsawantri
ovule	pampatai nuánu
constitutional court	amitiainiu umpuarma
ovary	pampatai esekeaku
science	nekatainiu
culture	najántairi
birth	tsapamuri
growth	tsakamuri
rights	niniuri
and	nuyá
boa	panki
armadillo	shushui
warrior	kakáram
owl	ampush
flourishing	kukújramuri
maturation	turuamu
medicine	tsuakri
seed	jinkiai
one	chikichik
chicha	nihiamanch
two	jímiar
six	ujuk
eight	yarush
vowel	chicháu
consonant	chichachu
pistil	pampatai enkemtutai
petal	kukúji
language	chicham
God	Arútam
sloth	uyushi
anteater	wishíshi
Andean condor	churúwia
toucan	ikiák
person	aents
vampire bat	jéencham
cobweb	akuku
sunset	aankuamu
horse-fly	aanchi
party animal	aakratin
blackboard	akakmatai
nine	usumtai
seven	tsenken
four	aintiuk
five	uwej
three	menaint
hundred	washim
bowl	amamuk
