house	mine
milk	ado
paternal aunt	ada
I	ani
face	alba
father	anna
fruit	guma
tell	kula
sky	gordo
his	-si
ripe	lea
eye	ille
day	barra
pillow	barko
dust	buko
mother	ama
thou	ati
branch	sina
post	posta
hyena	goto
color	dana
people	manna
coffee	buna
wound	mada
head	umo
limp	dina
dry	moola
liver	salto
person	mancho
separate	bada
tank	tanke
at that time	tenne
wind	bubbe
their	-nsa
onion	tuma
sibling	rodo
cow	saa
camel	gaala
place	gobba
hand	anga
mud	sabba
tail	farro
spear	urde
false banana	weese
her	-se
leaves	daro
ice	kaade
long	seeda
darkness	tunso
grain	gide
maize	badala
poor	buxa
foot	lekka
donkey	harre
thy	-kki
lottery	lotore
leaf	darcho
false banana	hoga
dung	obba
water	waa
pill	kinine
great	jawa
branch	sincho
ear	macca
mountain	tullo
slow	dunka
traditional	fengo
forest	dubbo
place	darga
horse	farado
bad	busha
absence	boono
neighbour	ollaa
drive away	gargara
politics	poletika
banana	muuze
oil	saitella
woman	meaa
mirror	hincilallo
tobacco	araddo
name	suʼma
ostrich	balguda
maternal aunt	laʼlama
spirit	ayyaana
mill	daamma
great white pelican	shaallo
earth	uulla
coin	saante
enemy	diina
orange	burtukaane
blessing	maasso
rope	siiwo
gun	qawwe
sistrum	bilbila
road	doogo
university	yuniversite
bramble	goʼra
table	xarapheezza
shave	meeda
neglect	deʼa
diarrhea	deeʼa
lack	hooga
reply	qola
wing	qoola
hyena	ambooma
bamboo	gimboola
ox	hando
teeth	hinko
roll	gongoʼma
hug	hanqafa
hair	danancho
singulative	-ichcho
Janjama	janjama
yell	canca
squeeze	huunca
attack	jinfa
quarrel	giwansho
Amhara	amaartichcha
support	irko
chew	corqa
gold	worqe
elderly	geercho
eucalyptus	barzaafe
traditional	farsho
melt	bulbula
bedroom	holge
choke	qalxa
fish	qilximme
strength	wolqa
key	qulfe
grasshopper	koroʼmiisa
worm	daʼmulcho
mistake	soʼro
err	soʼra
doctor	doktorichcha
doctor	xagisaancho
teacher	astamaartichcha
teacher	rosisaancho
nail	mismaare
bamboo	girbaabbe
egg	quuphphe
child	beetto
cotton	fuutta
wish	hexxo
make	huxxa
comb	fixxa
seed	wixa
clothes	uddano
star	beeddakko
bald	badda
put on	wodhdha
market	dikko
sugar	sukkaare
spine	dugugguro
law	higge
baby	qaaqqo
tree	haqqe
hiccup	heqqo
rise	kaʼa
balloon	afuffa
illness	xisso
call	woshsha
evening	hashsha
grandmother	ahaahe
New Year	fichchee
village	qachcha
advice	seejjo
possession	jajja
chin	gacco
prayer	huuccatto
time	yanna
appointment	dinynye
judge	daanynya
tongue	arrawo
descend	dirra
smell	suʼnille
leopard	daguncho
sheep	gerechcho
thunder	banqo
axe	meesane
bird	ceʼa
drum	dibbe
grass	hayisso
life	heeshsho
family	ayidde
supper	hurbaate
word	qaale
difficulty	qarra
honey	malawo
butter	buuro
shadow	caale
grave	moogo
door	cufana
cabbage	shaana
maternal uncle	abbo
paternal uncle	wosiila
king	nugusa
professional	ogeette
professional	ogeessa
female	lakkitte
male	lakkichcha
female	hakimitte
male	hakimichcha
guest	wosincho
student	rosaancho
horse	farashsho
collective nouns	-ashsho
dog	woshichcho
cat	adurichcho
chicken	lukkichcho
town	qarqara
tree	haqqichcho
bird	ceʼichcho
beast	moyichcho
clay	midaano
pass	saʼa
goat	meʼichcho
false banana	weeshsho
traditional	waasa
barley	hayxe
grain	badalcho
owl	awulcho
stick	siqqo
stick	siqqichcho
guardian	agaraancho
guard	agara
agentive	-aancho
mule	gaango
mule	gaangichcho
arbiter	cimeessa
arbitress	cimeette
arbiter	cimeeyye
trader	daddalaancho
robber	mooraancho
guitar	giitare
farmer	gaware
shirt	shamize
video	viidio
wine	viino
tin	qorqorro
bread	daabbo
food	sagale
girl	seemo
fingernail	culunqa
fingernail	culunqichcho
hyena	gotiichcho
pig	manchaame
grandfather	ahaaho
hair	danana
my	-ʼya
our	-nke
your	-ʼne
small	shiima
smart	busule
beautiful	xuʼma
pretty	faayya
silly	gowwa
strong	jawaata
heavy	ayirrado
pimp	murmuraancho
cup	siine
fly	teennichcho
thin	jaawa
leaf	hogichcho
poor	buxichcho
sweat	hunkee
stone	kincho
Sidama	sidaama
rich	dureessa
