he	son
bus	buss
and	da
you	ton
night	inn
fire	toll
I	mon
Tuesday	mââibargg
five	vitt
letter	a
Monday	vuõssargg
Wednesday	seärad
Thursday	nelljdpeiʹvv
Friday	piâtnâc
Saturday	sueʹvet
Sunday	pâʹsspeiʹvv
we	mij
you	tij
translator	ǩiõlljåårǥlõʹtti
peace	rääuh
index finger	čuõjjiǩ
nail	kõʒʒ
language	ǩiõll
touch	kuõskkâd
trip	väärr
rainbow	teärmmazjohss
name	nõmm
palatalization	´
education	mätt
not	ij
ptarmigan	ǩeâram
willow grouse	repp
rough-legged buzzard	piõkkânj
cuckoo	ǩiõkk
six	kutt
they	sij
letter	bukva
cloudberry	lueʹm
primer	aabbâs
people	aalmi
swan	njuhčč
crow	käärnõs
magpie	soorkõs
angel	aʹŋǧǧel
car	autt
September	čõhččmään
cow	kuss
count	lookkâd
January	ođđeeʹjjmään
one	õhtt
August	påʹrǧǧmään
child	päärnaž
May	vueʹssmään
November	vuʹvrrmään
February	täʹlvvmään
March	pâʹzzlâšttammään
April	pââʹzzmään
June	ǩieʹssmään
summer	ǩieʹss
July	sueiʹnnmään
October	kålggmään
November	skamm-mään
December	rosttovmään
Christmas	rosttov
woman	neezzan
train	poojâs
love	räʹǩsted
be	leeʹd
three	koumm
twenty	kuâhttlo
book	ǩeʹrjj
onion	luukk
girl	nijdd
marrow	õõđ
howl	ålvvad
male	ååʹres
axe	ähšš
grandfather	äʹjj
oar	äirr
shark	akkli
cock	ååʹreskääʹnn
man	åålm
porridge	hutt
Santa Claus	rosttovkääʹlles
monk	manah
city	gåårad
hole	kååʹpp
blood	võrr
food	porrmõš
reader	lookki
intruder	čäŋŋõõtti
owl	hõʹppi
pupil	škooulneʹǩǩ
mother-in-law	vueʹn
potato	pååttaǩ
wheel	kååʹlez
red-throated diver	kaaʹǩǩi
eye	čâʹlmm
wolf	čõrmm
heart	čââʹđ
king	koonǥõs
fish	kueʹll
urine	koǯǯ
hair	vuõptt
newspaper	gaʹzaat
chimney sweep	truubšeǩ
Ivalo	Âʹvvel
teacher	uʹčteeʹl
year	eeʹǩǩ
church	ceerkav
bread	leiʹbb
lead	lââjj
Neiden	Njauddâm
Finland	Lääʹddjânnam
bird	låʹdd
language	sääʹmǩiõll
brother	villj
knife	neiʹbb
place	päiʹǩǩ
needle	neuʹll
new	oođâs
death	jäämmʼmõš
teach	mättʼted
linguistic	ǩiõll'laž
hand	ǩiõtt
many	mäŋgg
a few	occanj
aunt	sieʹss
river	jokk
oystercatcher	cââǥǥan
milk	mieʹlǩǩ
bridge	mostt
grasshopper	aacciǩ
salmon	luõss
Utsjoki	Uccjokk
street	uuʹlec
soldier	sääldat
nine	åʹhcc
accordion	garmaan
grandmother	äkk
black guillemot	čiõlliǩ
yeast	jäʹstt
priest	papp
goldfish	kåʹllkueʹll
gold	kåʹll
high	õlli
height	õllivuõtt
laughter	smiâhh
deaf	kluuǥǥai
bear	kuõbǯǯ
meat	vueʹǯǯ
school	škooul
tongue	njuuč
we	muäna
you	tuäna
they	suäna
good	šiõǥǥ
win	vueiʹtted
father	eʹčč
live	jieʹlled
answer	vaʹstteed
bed	siâŋgg
glass	ståkkan
glass	steehl
finger	suõrmm
war	väinn
seven	čiččâm
Helsinki	Heʹlssen
cheese	vuâstt
dragonfly	čuõškkvuâppai
chickadee	ceeʒʒaž
tea	čee
apple	jabll
butter	vuõjj
sausage	määʹrf
white-tailed eagle	miârrkuäʹcǩǩem
mother	jeäʹnn
at home	dååma
fireweed	ǩiõǥǥnjuõll
snow	muõtt
dog	piânnai
four	nellj
overhang	kuõbll
Russia	Ruõššjânnam
water	čääʹcc
moon	mään
day	peiʹvv
tree	muõrr
thanks	späʹsseb
ermine	puõiddi
waterfall	kuõškk
young	nuõrr
Lapland	Sääʹmjânnam
winter	täʹlvv
silver	silbb
salt	säʹltt
sheep	sauʒʒ
czar	caarr
maternal	jäänn
holy	pââʹss
hay	sueiʹnn
moult	påʹrǧǧ
autumn	čõhčč
polar night	skamm
see	vueiʹnned
head	vueiʹvv
drive	vueʹjjed
thief	suõl
island	suâl
sea	miârr
eagle	kuäʹcǩǩem
lift	kaggâd
fold	mäccad
stay	pääʹcced
consider	juurdčed
smile	mååjjmed
write	ǩeeʹrjted
brake	vaulleed
hug	âskkeed
push	oiʹǧǧeed
loosen	čåuddjed
jump	võʹllʼjed
hear	kuullâd
think	juʹrdded
whistle	njorggad
rotten	čuäcc
shallow	cueʹǩǩ
goldeneye	čuäʹdǧǧ
intestine	čueʹll
strait	čuäʹlmm
horn	čuäʹrvv
stomach	čåuʹjj
wrinkle	juäʹrmm
terrace	ceäʹǩǩ
snow	cieʹvv
father	čieʹcc
omasum	čiâhss
hock	čeuʹǯǯ
border	raajj
hear	kollʼjed
improve	pueʹreed
clarify	čuõvted
shine	čuõvvâd
flee	čõʹǩǩeed
hold	tueʹllʼjed
rub	ruʹvvjed
help	vieʹǩǩted
choke	pahččned
laugh	påǥsted
plait	paʹrǧǧeed
tremble	tuäʹrjsted
slide	čiõrsted
report	ââlmted
stick	nââʹǩǩted
dawdle	äjjned
steal	suâleed
evening	jeäʹǩǩääž
dream	niõǥǥeed
shear	peäʹcǩǩeed
listen	kuvddled
watery	čäccai
foot	jueʹlǧǧ
guest	kueʹss
snake	kuʹvdd
board	luʹvdd
berry	mueʹrjj
fat	pueiʹdd
scab	rueʹbb
iron	ruʹvdd
fog	sueʹlnn
branch	sueʹrr
gill	suʹvdd
animal	tueʹllj
tinder	tuʹvll
custom	vueʹǩǩ
dense	vueʹmm
span	vueʹpss
lot	vueʹrbb
reason	jeäʹrmm
kettle	ǩieʹmnn
field	ǩeʹdd
sandy	mieʹll
tassel	tieʹpp
slope	vieʹltt
wall	seiʹnn
tail	seiʹbb
dusk	veiʹǧǧ
slush	såuʹll
fox	rieʹmnnj
devil	bieʹss
side	jieʹrtt
time	äiʹǧǧ
storehouse	äiʹtt
old	äʹǩǩ
cambium	ääʹll
open	ääʹpp
inheritance	äʹrbb
thing	äʹšš
hook	äuʹll
grave	äuʹdd
woodpecker	čeäʹšnn
spleen	täʹbdd
lake	jäuʹrr
chin	käiʹbb
companion	käʹʒʒ
strap	läʹbǯǯ
step	läuʹǩǩ
soup	määʹll
bowl	näʹpp
hide	näuʹdd
