man	yugo
mat	debe
water	jí
go	daga
hand	kitte
rock	gide
banana	namasa
dog	wulle
learn	seera
buffalo	xiye
elephant	tuure
jackal	tuune
lion	jarinte
lake	xaare
termite	xaase
potash	xaata
manioc	bantara
clay	taxame
womb	furaase
teach	toŋo
fonio	fuɲanŋe
jackal	gundunwulle
warthog	gundunfare
bull	gunbo
red lynx	yatakane
marriage	falleye
bone	xotte
sea	geeji
weaver	geesimiraana
circumcision	sunnande
finger	doronme
farmer	soxaana
shepherd	nagaana
sugarcane	xeela
tooth	kanbe
one	bàanè
two	fíllò
three	síkkò
