belt	the
work	la
water	tu
trout	samba
sky	ya
bear	sah
man	dene
tentpole	tha
frying pan	libé
together with	hé
clothes	yú
rabbit	gah
scab	łu
winter	xay
smoke	łe
for	gha
lard	tleh
knife	mbeh
rain	chǫ
tea	lidí
star	thę́
island	ndu
rope	tl’uh
net	mį́h
gum	dzéh
carrot	tthah
girl	ts’élįa
boy	cheekua
lorry	mehchiné
house	kǫ́é
towards	gots’ę́
with	t’áh
dog	tlį
very	dúyé
there	ɂekǫ́
hat	tsʼah
two	ɂǫki
dad	ɂabá
moose	golǫ
tomorrow	sachǫ
who	ɂamíi
sugar	súhga
what	ɂayíi
boat	ɂelá
how many	dánéht’é
hour	sadzéé
what time is it	dánéht’é sadzéé
barrel	líbarí
stick	dechį
horse	tlįcho
hide	ɂedhéh
night	tedhe
stone	tthe
beaver	tsá
rotten wood	ɂepǫjire
mosquito	tth’ih
fish	łue
cane	téh
house	kų́é
sandpiper	dųa
spruce	ts’u
blanket	ts’édé
bread	łéht’éh
money	sámbaa
skin	sahdhéh
puppy	tlįa
day	dzene
berry	jíye
