and	jah
they	dah
what	mij
January	tsïengele
Monday	måanta
Tuesday	dæjsta
Southern Sami	åarjelsaemiengïele
Norway	Nöörje
Sweden	Sveerje
krona	kråvnoe
Wednesday	gaskevåhkoe
Thursday	duarsta
Friday	bearjadahke
Saturday	laavvardahke
Sunday	aejlege
February	goevte
swan	njoktje
crow	voerhtje
May	suehpede
who	gie
child	maana
yonder	dohte
not	ij
I	manne
small	onne
axe	aaksjoe
male	urries
red-throated diver	gurhtie
water	tjaetsie
night	jïjje
eye	tjelmie
fish	guelie
hair	voepte
coffee	kaaffe
day	biejjie
bread	laejpie
urine	gadtje
be	årrodh
reindeer bull	sarva
you	datne
he himself	satne
we	månnoeh
you	dåtnoeh
they themselves	såtnoeh
we	mijjieh
you	dijjieh
they themselves	sijjieh
he	dïhte
this	daate
that	doete
row	sovkedh
name	nïmme
girl	nïejte
person	almetje
pulk	gierehtse
daughter	daktere
shoe	gaamege
squirrel	åeruve
mother-in-law	vuanove
grandchild	aajjove
seamster	gåaroje
spring	gaaltije
come	båetedh
bathe	laavkodh
understand	guarkedh
lay	bïejedh
ask	gihtjedh
shall	galkedh
seam	budtedh
feel	dobtedh
feel	dabtedh
lift	luptedh
save	beerkedh
rule	reeredh
aspen	suvhpie
six	govhte
drink	jovkedh
puddle	lovhtje
five	vïjhte
appear	jijhtedh
wish	sïjhtedh
at night	jæjhka
small bird	tsyjhtsehke
hoar frost	sijhtjie
kidney fat	njïjhte
seven	tjïjhtje
shoe	novhtehke
dowry	rovhte
must	luvhtedh
lye	luvhte
grunt	jovhtsedh
bell	dovhke
red fox	riepie
arctic fox	svaale
kettle	giebnie
way	geajnoe
food	beapmoe
pelt blanket	råavkoe
rake	ræjvoe
frog	tsååbpe
writing	tjaalege
otter	tjeavra
hard sinew	tjahkere
reticulum	tjalmese
back	tjivvelge
nit	tjovrese
shoulder	tjåamohts
reindeer doe	tjåaptja
pole	tjoelge
heather	hïngse
evening	iehkede
Earth	eatneme
maternal uncle	jyöne
marrow	jïrreme
tongue	altese
tawny owl	jïhpege
whale	faala
morning	jirrede
tree stump	jalnga
twin	jöömmetje
soot	gohtje
dawn	gååkse
fallen tree	gåådte
tent cloth	låavtege
stem	maadtege
nyjsenæjja	nyjsene
hare	njåemele
sister	åerpene
orphaned	åerpie
dog	bïenje
lip	bangseme
thrush	traasta
vent	riehpene
stream pool	sovvene
splinter	såara
thief	soelege
island	sååle
well	sjåavonje
trout	dååpmehke
thing	daevere
loon	daktege
tall mountain	doedtere
hammer	vietjere
still	vealma
steep riverbank	vïedtere
wasp	veapsa
pole	voektenje
two	voenjele
green	kruana
easy	gåvva
dry	gejhkie
few	vaenie
good	buerie
depressed	njåajjah
crooked	vælnjah
side	vealah
dirty	sleagrah
pretty	faavroes
different	ovmessie
holy	bissie
poor	giefies
peace	raeffie
back	rudtje
quiet	aajteles
enter	tjaangedh
brake	gåahtsedh
walk	tjoejkedh
speak Sami	saemiestidh
speak Scandinavian	daaroestidh
catch	gööledh
fear	bïlledh
herd reindeer	ryöjnesjidh
serve	dïenesjidh
return	deavhkedh
become stiff	gåalnedh
boil over	båavsedh
understand	båajhkedh
rest	aajanidh
build	tseegkedh
shatter	tsoepkenidh
err	tjaajanidh
ski downhill	gïerestidh
lie stretch	jalhkasjidh
turn around	jarkelidh
share	joekedidh
divide	juekedh
pine marten	maarhte
municipality	tjïelte
church	gærhkoe
month	maanoe
word	baakoe
book	gærja
dictionary	baakoegærja
library	baakoegåetie
goahti	gåetie
Siberian jay	goeksege
Christmas	jåvlh
læhkoe jåvlh	læhkoe jåvlh
luck	læhkoe
river	johke
