I	as
he	es
you	tu
leg	kaj
only	tik
old	sens
rain	lets
earth	zem
small	maz
river	upa
mushrooms	sini
eyes	augi
deer	brid
give	dodi
nose	nasis
burn	degt
father	tews
nature reserve	gyr
mountain	kauni
storm	wiis
want	wułd
tooth	dontis
head	kałfa
hand	hantus
belly	wendoris
live	giwatti
axe	tirtis
beard	smakra
village	aucima
fish	żuwo
gentleman	wiros
woman	wirba
knife	sworstis
young	iaunis
wolf	wułks
wind	winta
bear	łukas
grow	augd
forest	miszta
little feather	spiła
boat	ławe
water	auu
end	ajga
end	ajgd
stone	akmi
fox	łaps
large	łełs
horse	zirgo
sun	sała
night	nakt
dad	paders
family	gimna
apple	ałm
long	iłg
language	wałda
say	taurit
