August	august
dig	kali
moon	bulan
forest	alas
older	aa
duck	meri
cloud	mega
sew	kaput
here	dieu
Japan	Jepang
needle	dom
horse	kuda
land	tanah
animal	binatang
jequirity	saga
grass	jukut
grandfather	aki
path	jalan
eye	soca
island	pulo
and	tur
name	nami
skin	kulit
bird	manuk
island	nusa
professor	profesor
small	alit
deceive	daya
uncle	mang
tree	puhun
pestle	halu
woman	istri
wind	angin
penis	titit
burglar	bangsat
white	bodas
knee	teku
lawsuit	dawa
swidden	huma
knee	tuur
bridesmaid	ᮕᮌᮛᮚᮥ
mouth	ᮘᮠᮙ᮪
money	artos
plant	ᮕᮨᮕᮨᮜᮊᮔ᮪
divide	duum
thief	maling
uncle	amang
human	manusa
mangosteen	ᮙᮀᮌᮥ
shark	cucut
father	abah
bamboo shoot	kuyuk
field	sawah
rattan	dawĕuh
snipe	ᮓᮓᮝᮥᮠᮔ᮪
period	ᮓᮠᮥ
moment	ᮓᮝᮥᮂ ᮊᮤᮝᮛᮤ
period	ᮓᮝᮥᮂ
damsel	ᮓᮚᮀ
green	ᮠᮦᮏᮧ
goods	ᮃᮘᮂ-ᮃᮘᮂ
crocodile	ᮘᮥᮠᮚ
iron	ᮘᮩᮞᮤ
eat	dahar
crocodile	buhaya
sulfur	ᮝᮜᮤᮛᮀ
wind	ᮃᮍᮤᮔ᮪
some	ᮞᮘᮘᮛᮠ
thick	kandel
tree	tangkal
blood	getih
egg	endog
head	mastaka
bite	gogot
know	ᮅᮔᮤᮍ
die	pupus
cut	ᮒᮩᮊ᮪ᮒᮩᮊ᮪
sun	ᮕᮔᮧᮔ᮪ᮕᮧᮆ
fragrant	ᮓᮜᮤᮀᮓᮤᮀ
dusty	ᮘᮨᮜᮨᮝᮥᮊ᮪
scissors	ᮌᮥᮔ᮪ᮒᮤᮀ
tidal wave	ᮃᮜᮥᮔᮺᮌᮥᮀ
species	ᮞ᮪ᮕᮦᮞᮤᮆᮞ᮪
insect	ᮞᮨᮛᮀᮌ
mantis	ᮎᮧᮀᮎᮧᮛᮀ
prince	ᮕᮍᮦᮛᮔ᮪
mountain	ᮌᮥᮔᮥᮀ
