green	ꠇꠌꠥꠀ
fruit	ꠚꠟ
flower	ꠚꠥꠟ
shoe	ꠎꠥꠔꠣ
I	ꠝꠥꠁ
mango	ꠀꠝ
snail	ꠢꠣꠝꠥꠇ
fox	ꠢꠤꠀꠟ
cat	ꠝꠦꠇꠥꠞ
bed	ꠛꠤꠍꠘꠣ
bed	ꠙꠣꠟꠋ
cow	ꠉꠞꠥ
house	ꠊꠞ
fish	ꠝꠣꠍ
pig	ꠉꠣꠠꠤꠀ
papaya	ꠇꠚꠟ
bamboo	ꠛꠣ
dark	ꠀꠘ꠆ꠗꠣꠁꠞ
sweet	ꠝꠤꠑꠣ
pangolin	ꠛꠘꠞꠃ
light	ꠙꠅꠞ
feather	ꠙꠣꠈ
fire	ꠀꠉꠥꠁꠘ
key	ꠌꠣꠛꠤ
bedsheet	ꠛꠤꠍ꠆ꠘꠣ ꠌꠣꠖꠞ
what	ꠇꠤꠔꠣ
village	ꠉꠣꠅ
egg	ꠛꠂꠖꠣ
seven	ꠢꠣꠔ
seven	ꠡꠣꠔ
boat	ꠘꠣꠅ
soil	ꠝꠣꠐꠤ
taro	ꠇꠌꠥ
mud	ꠙꠦꠇ
butterfly	ꠌꠇꠞ
snake	ꠢꠣꠙ
rain	ꠝꠦꠊ
white	ꠗꠟꠣ
null	ꠡꠥꠁꠘ꠆ꠘ꠩
one	ꠄꠇ
two	ꠖꠥꠁ
three	ꠔꠤꠘ
four	ꠌꠣꠁꠞ
five	ꠙꠣꠌ
six	ꠍꠄ
eight	ꠀꠐ
nine	ꠘꠄ
finger	ꠀꠋꠉꠥꠁꠟ
hand fan	ꠛꠤꠌꠂꠘ
haor	ꠀꠅꠞ
toss and turn	ꠌꠣꠐꠤꠀꠘꠤ
stand	ꠃꠜꠣꠘꠤ
lie down	ꠢꠥꠔꠣ
cobweb	ꠊꠣꠘꠥꠀ
hand fan	ꠙꠣꠈꠣ
baby	ꠢꠥꠞꠥꠔꠣ
love	ꠜꠣꠟꠣꠙꠣꠅꠀ
sister	ꠜꠂꠘ
dried fish	ꠢꠥꠐꠇꠤ
morning	ꠛꠤꠀꠘ
midday	ꠝꠣꠗꠣꠘ
evening	ꠛꠤꠀꠟ
dawn	ꠙꠔꠣ
broom	ꠢꠥꠞꠂꠘ
painter	ꠀꠇꠞꠣ
writer	ꠟꠦꠈꠞꠣ
viewer	ꠖꠦꠈꠞꠣ
gossip	ꠉꠙ
I	ꠀꠝꠤ
egg	ꠄꠘ꠆ꠒꠣ
stove	ꠃꠘ꠆ꠗꠣꠟ
kitchen	ꠃꠘ꠆ꠗꠣꠟꠙꠥꠟꠤ
plate	ꠛꠞꠔꠘ
water	ꠙꠣꠘꠤ
stone	ꠙꠣꠔ꠆ꠕꠞ
stone	ꠢꠤꠟ
spittle	ꠍꠦꠙ
suddenly	ꠀꠇꠔꠣ
