tree	kayu
wound	kamu
pencil	lapis
five	lima
day	allo
father	amma
lightning	kilat
sky	langit
fly	lango
egg	lisa
penis	lasu
bullfrog	bakbak
spoon	kutsara
lacking	kulang
slave	allang
edge	ligad
six	annam
blanket	kisi
however	kantad
pig	babuy
star	karani
pestle	allu
tear	luha
wheel	ligid
mosquito net	kulambu
death	kamatayan
skin	kindal
fart	attut
broom	donnak
famine	ballus
sand	baklayan
piglet	bakattin
molar	baggang
fish	annir
flesh	akkud
now	aknganni
kind	lipanda
earthquake	linug
leech	limatak
small	lidang
mud	libuta
grave	labbang
weapon	laniban
kind	kuwil
owl	kulagu
thick	makappal
ninety	kasiyawan
wind	karamag
seventy	kapittuwan
sixty	kannamman
pillow	kamasiyo
wart	kalugu
fifty	kaliman
giant	kalamkalam
