water	ꪙꪾ꫁
come	ꪣꪱ
have	ꪣꪲ
child	ꪩꪴꪀ
heaven	ꪹꪣꪉꪡ꫁ꪱ
city	ꪹꪣꪉ
sky	ꪡ꫁ꪱ
fire	ꪼꪡ
heart	ꪻꪊ
lie down	ꪙꪮꪙ
chicken	ꪼꪀ꪿
deer	ꪀꪫꪱꪉ
snake	ꪉꪴ
repetition mark	ꫝ
beginning	꫞
end	꫟
person	ꫛ
one	ꫜ
fish	ꪜꪱ
elephant	ꪋ꫁ꪱꪉ
go	ꪼꪜ
duck	ꪹꪜꪸꪒ
crab	ꪜꪴ
one	ꪙꪳ꪿ꪉ
eight	ꪵꪜꪒ
dog	ꪢꪱ
water buffalo	ꪁꪫꪱꪥ
axe	ꪄꪫꪱꪙ
tadpole	ꪅꪺꪀ
green	ꪵꪄꪫ
sew	ꪑꪲꪚ
bird	ꪶꪙꪀ
know	ꪭꪴ꫁
see	ꪹꪬꪸꪙ
understand	ꪹꪄ꫁ꪱꪻꪊ
say	ꪹꪫ꫁ꪱ
pliers	ꪁꪲꪣ
hoe	ꪊꪮꪚ
three	ꪎꪱꪣ
gong	ꪁ꫁ꪮꪉ
hair	ꪶꪄꪙ
two	ꪎꪮꪉ
back	ꪨꪰꪉ
five	ꪬ꫁ꪱ
four	ꪎꪲ꪿
six	ꪶꪬꪀ
ꪢꪱꪀ	ꪄꪱꪣ
abdomen	ꪕ꫁ꪮꪉ
mother	ꪵꪣ꪿
not	ꪹꪚ꪿ꪱ
I	ꪄ꫁ꪮꪥ
ten	ꪎꪲꪚ
squirrel	ꪭꪮꪀ
extinguish	ꪒꪚꪾ
nine	ꪹꪀ꫁ꪱ
moon	ꪹꪚꪙ
breast	ꪶꪙꪣ
son	ꪩꪴꪀꪋꪱꪥ
daughter	ꪩꪴꪀꪑꪲꪉ
teach	ꪎꪮꪙ
sit	ꪙꪰ꪿ꪉ
cry	ꪼꪬ꫁
infant	ꪮ꪿ꪮꪙꪙ꫁ꪮꪥ
think	ꪁꪳꪒ
shirt	ꪹꪎ꫁
cut	ꪔꪰꪒ
so	ꪊꪰ꪿ꪉ
earth	ꪒꪲꪙ
grass	ꪐ꫁ꪱ
hole	ꪭꪴ
be	ꪹꪜꪸꪙ
mouth	ꪜꪱꪀ
shout	ꪭ꫁ꪮꪉ
descend	ꪶꪩꪉ
wood	ꪼꪣ꫁
leaf	ꪻꪚꪼꪣ꫁
die	ꪔꪱꪥ
kill	ꪄ꫁ꪱ
rain	ꪶꪠꪙ
with	ꪀꪚꪾ
sprout	ꪉꪮꪀ
hard	ꪵꪄꪉ
big	ꪻꪐ꪿
tall	ꪎꪴꪉ
rise	ꪄꪳ꫁ꪙ
hundred	ꪭ꫁ꪮꪥ
work	ꪫꪸꪀ
discard	ꪖꪲ꫁ꪣ
forget	ꪩꪳꪣ
seven	ꪹꪊꪸꪒ
electricity	ꪼꪡꪡ꫁ꪱ
cat	ꪵꪣꪫ
sell	ꪄꪱꪥ
buy	ꪏꪳ꫁
trade	ꪁ꫁ꪱ
fart	ꪶꪔꪒ
hoe	ꪶꪊꪚ
king	ꪜꪺ
queen	ꪛꪱꪜꪺ
time	ꪑꪱꪣ
word	ꪁꪫꪱꪣ
learn	ꪵꪮꪚ
time	ꪹꪋꪷ
want	ꪵꪮ
to	ꪭꪮꪒ
hand	ꪣꪳ
use	ꪻꪋ꫁
skin	ꪘꪰꪉ
pig	ꪢꪴ
soap	ꪎꪱꪡ꫁ꪮꪉ
ꪢꪱꪀ	ꪝ꪿ꪮꪣ
Tai Dam	ꪼꪕꪒꪾ
Tai	ꪼꪕ
