person	doh
blood	kiro
water	naino
egg	andik
sun	ingkong
hand	taintu
stone	ilah
foot	maimpo
hair	búlu
head	kokóre
fish	karáyi
father	homóri
mother	yelai
three	nih
star	kingkong
one	seena
two	kálae
four	kude-in
five	kutélin
six	báta-in
seven	kúmba
eight	koného
nine	láli
ten	saróne
twenty	sisaróne
one hundred	simári
man	sia-in
woman	óna-yit
eye	saing'óre
nose	saing kóme
teeth	sóntong
belly	sumóre
day	kóngkong
night	tádung
sleep	kidjum
dead	sílam
white	si-yang
black	naido
good	sámar
bad	gonóre
fire	maing'aing
earth	gónong
pig	kíwu
bird	kilaíngkong
moon	mang'ong
eat	mákan
sit	hok-hok
God	moríhoh
