enemy	pais
five	lima
rice	beras
mother	bubu
hand	baga
ball	boru
window	bais
grease	daruk
pig	babuy
number	bango
sweat	mering
water	qsiya
woman	mqedin
crab	karang
sun	hido
pangolin	arung
doctor	ising
breast	nunuh
pucing	yayu
hoe	ahuc
peach	aring
lung	baraq
forest	bbuyu
testicle	begax
cave	beling
wind	bgihur
chin	bkeluy
banana	blebun
shrimp	bolung
thunder	bruwa
bamboo	btakan
female prostitute	cbuking
friend	dangi
horse	dmai
seesaw	dodah
dew	dremus
chair	gakac
resin	geluq
wheel	gukuc
belt	habik
grave	habung
dining table	handay
loofah	hecima
heart	hengac
dog	huling
rib	hwiras
vole	ibuy
bowl	jawang
cicada	kdiye
fingernail	kukuh
child	laqi
incisor	lulung
nose	muhing
qsurux	qcurux
qcurux	qsurux
pucing	hlmadac
puting	pucing
spear	hrngudux
yayu	hocyo
Formosa	Taroko
forest	lmiqu
hair	snuunux
pestle	sru
