he	yu
Saturday	saru
donkey	huru
church	laa
tree	yaca
wood	xaca
nopal	yaa
bean	ndaa
canal	yata
metate	quichi
soldier	stadu
schoolteacher	mstru
hat	smalyu
panela	parelya
rebozo	payu̱
squash	tyojo
paint	tintya
dry	btyi
opossum	corelya
skunk	cuiji
sweet potato	cu̱u̱
peso	paxu
salt	tejeꞌ
rain	tyoo
coyote	boꞌo
Chatino	chaꞌcña̱
cat	chumi̱
ant	cuityeeꞌ
frog	cuityiꞌ
river	staꞌa̱
mouse	tiña̱ꞌ
sweet	tyixi
petate	jaaꞌ
turtle	ncu̱
sand	yusi̱i̱
shirt	camxa
puppy	miñiꞌ
agave	tyooꞌ
vine	lti
water	hitya
corn	nscuaꞌ
atole	ycua
armadillo	cui̱ꞌ
crab	cueeꞌ
basket	chcubi
meat	cuaña̱ꞌ
comal	ña̱
coyote	bo'o
day	tsa̱a̱
corn	ndaꞌa̱
thorn	quicheꞌ
spirit	cuiꞌi̱
hen	suꞌu̱
macaw	cuꞌma̱
hammock	catyá̱
egg	xcube
bone	tyijya̱
iguana	cuatsiꞌ
tongue	ltseꞌ
moon	cooꞌ
word	chaꞌ
net	quixu
man	quiꞌyu
spider	ngüiyuꞌ
flea	cuiꞌyu
tortilla	tyija
topil	xca̱a̱
tomato	nguxi
owl	cocu̱
zopilote	culexu
corncob	ltya
peach	nglaa
seed	nguata
avocado	quixú
feather	quityi̱
adobe	tyuu
she	choꞌ
thorn	quiche'
