language	bahasa
payment	bayad
moon	bulan
person	tau
six	unum
time	waktu
pineapple	pisang
knowledge	ingat
child	anak
harvest	ani
salt	asin
harp	alpa
paint	pinta
hand	lima
Jew	Yahudi
rain	ulan
fruit	bunga
nine	siyam
day	adlaw
cow	baka
eye	mata
flute	suling
pole	tuku
king	raja
mosque	masjid
boil	aman
smoke	asu
what	unu
era	masa
carabao	kabaw
ivory	garing
sun	suga
gambling	apus
guard	jaga
Sulu	Tausug
fire	api
oil	lana
three	tū
ax	kapa
cigarette	siga
pillowcase	punda
dampness	lakat
mango	mangga
louse	kutu
chicken	manuk
year	tahun
sky	langit
orphan	yatim
prophet	nabi
kindred	kampung
crocodile	buaya
bowl	pinggan
water	tubig
tongue	dila
moss	lumut
wrapper	putus
birthmark	ila
bucket	baldi
coarseness	ural
coconut milk	putti
saliva	laway
tea	tī
yes	huun
coffee	kahawa
jinn	jīn
shield	taming
sesame	lunga
complaint	puhun
opium	marat
enemy	atu
acridness	harat
milk	gatas
belly	babat
heart	jantung
fluid	sug
era	jaman
and	iban
left hand	lawa
gossip	limut
wind	hangin
bitterness	pait
Friday	Jumaat
song	kalangan
season	musim
flag	panji
colugo	kabal
bitter	mapait
quickness	sapat
coral	kalang
flower	sumping
piggy bank	alkansiya
liver	atay
corpse	bangkay
black	itum
gold	bulawan
tusk	taling
branch	sanga
sweat	hulas
pinworm	sassing
hammer	tukul
covering	tampan
tamarind	asam
bowl	undam
scale	timbangan
deadline	idda
wife	asawa
shape	bantuk
room	bilik
stove	abuhan
ruby	yakut
wire	kawat
bamboo	patung
cane	bastun
congregation	jamaa
debt	utang
coarseness	kasap
memory	indan
lantern	tanglung
chick	impis
pancake	apam
ant	sanam
coffin	kaban
head	ū
famine	gutum
guide	malim
foot	siki
breakfast	inuman
sugar apple	atis
owl	lukluk
umbrella	payung
soul	nyawa
coagulated blood	apul
medicine	ubat
Sunday	Ahad
tiredness	laul
machine	makina
pig	babuy
explosion	timbak
door	lawang
four	upat
Monday	Isnin
David	Daud
gray hair	uban
yell	ulang
snake	hās
woman	babai
taste	nanam
dawn	subu
sin	dusa
tribute	buwis
sand	buhangin
small pestle	babayu
right hand	tuu
weakness	lamma
breath	napas
cockroach	kuuk
thirst	uhaw
obligatory	wajib
grief	dukka
mud	pisak
lipstick	atal
brazen gong	agung
brass	tumbaga
curtain	purda
fare	sukay
Java	Jawa
kendhang	gandang
silver	pilak
vermin	kagaw
eyebrow	kilay
Tuesday	Salasa
octopus	kugita
number	taud
plow	araru
Mecca	Makka
parrot	agap
judgement	hukuman
dipper	gayung
help	tabang
cough	ubu
bait	umpan
lame	pilay
thread	tanud
penis	utin
albino	ugis
curse	ajab
taste	lanab
pole	usuk
fishhook	bingit
corpse	mayat
sauté	guling
open	ukab
shuttle	ulakan
shrine	tampat
gill	asang
hole	lungag
nest	pugad
rattan	uway
courage	umagad
ladder	hagdan
shark	kaytan
game	panayam
watery	matubig
salty	maasin
light	ilaw
saucer	tapak
knife	laring
signature	pirma
roof	atup
front	alupan
puddle	lanaw
dryness	hapak
prayer	pangarap
cry	tumangis
help	tulung
gall	apdu
stroke	lisag
bamboo	kayawan
armpit	kilikili
last night	kabii
gill	hasang
palate	dulangdulang
mouse	ambaw
flood	dunuk
floor	lantay
scent	hamut
grave	kubul
green	gaddung
activity	lasig
tightness	sigpit
cargo	luwan
mosquito	hilam
hunger	gutas
turmeric	dulaw
pour	tuwang
roast	tapahan
crab	kagang
thickness	labung
broil	dangdang
anvil	landasan
flower garden	jambangan
sulfur	maylang
cloud	gabun
rib	gusuk
city	daira
companion	unung
count	itung
manners	adab
origin	awwal
tooth	ipun
falsehood	puting
costume	pakayan
sandy	mabuhangin
rice flour	tapung
armpit	iluk
cheap	maluhay
tartness	pukat
gong	buwa'
cemetery	kandang
dumb	umaw
tribe	pihak
leaf	dahun
market	parian
mountain	būd
sugar	sukal
earthquake	linug
health	sambu
tobacco	tabaku'
Egypt	Misil
ten	hangpu'
Noah	Nū
namesake	isay
tail	ikug
leprosy	ipul
hour	jām
needle	jawm
narrowness	kiput
bracelet	gallang
blade	sulab
bone	bukug
neck	liug
nape	pugay
smile	uyum
brain	utuk
manhood	pagkausug
man	usug
club	kakal
durian	dūyan
toy	panayaman
grinder	gilingan
clothesline	buwaran
dry	tahay
dusty	mabagunbun
dust	bagunbun
thirsty	malanggang
fineness	nyuknyuk
typhoon	hunus
marble	hūlin
strength	kawasa
thorn	tunuk
divorcee	bituanan
cave	sungab
mountainous	mabūd
weakness	ukuy
seducement	sasat
possession	ukuman
movie	sīni
cloudy	magabun
vegetable	sayul
star	bituun
fry	ligang
chocolate	sakulati
match	bagid
underbrush	kūmu
thread	salban
lawful	tarrang
fireplace	pilang
treestump	tunggul
residence	hulaan
whetstone	hasaan
relative	anak-kampung
buffoon	andukang
dye	anjibi
dark cloud	andum
granary	antib
smelly pus	antil
thickness	aslag
pigeon	assang
honesty	buntul atay
calmness	haggut atay
treachery	atay-itum
Jerusalem	Awrusalam
foolish	babbal
pith	isuk
tired	malaul
closed	tambul
dog	iru'
greedy	dahal
sign language	isārat
lace	ingkahi
drinkable	mainum
gloss	inig
eel	indung
hawk	sambulaan
beard	pungut
muddy	mapisak
