1	౧
curry	కర్రీ
taxi	టాక్సీ
shampoo	షాంపూ
Telugu	తెలుగు
when the cat's away the mice will play	రౌతు మెత్తనైతే గుర్రం మూడు కాళ్ళ మీద పరిగెత్తుతుంది
bandicoot	పందికొక్కు
mother	అమ్మ
January	జనవరి
day	రోజు
2	౨
3	౩
4	౪
5	౫
6	౬
7	౭
8	౮
9	౯
extend	విస్తరించు
February	ఫిబ్రవరి
about	గురించి
agreement	ఒప్పందం
consent	అంగీకారం
argue	వాదించు
translator	అనువాదకుడు
strength	బలము
coition	సంభోగము
language	భాష
sexual	లైంగిక
Brihaspati	బృహస్పతి
Sunday	ఆదివారము
often	తరచూ
often	తరచుగా
Mars	అంగారకుడు
pronunciation	ఉచ్ఛారణ
google	గుగుల్ చేయ్యి
honorable	గౌరవనీయ
airplane	విమానము
moonlight	వెన్నెల
translation	అనువాదము
crossword	గళ్ళ నుడికట్టు
in	-లో
4	నాలుగు
salvation	ముక్తి
curd	పెరుగు
foreskin	పురుషాంగము
flower	పువ్వు
flower	పుష్పము
house	ఇల్లు
cloud	మేఘము
garden	తోట
sunflower	పొద్దుతిరుగుడు
nose	ముక్కు
shadow	నీడ
butterfly	సీతాకోకచిలుక
well	నుయ్యి
well	బావి
river	నది
snow	మంచు
nest	గూడు
frog	కప్ప
tree	చెట్టు
horse	గుర్రం
pig	పంది
నీటి	నీటి ఆవిరి
smoke	పొగ
fowl	కోడి
table	బల్ల
bow	విల్లు
rice	వరి
wheel	చక్రము
sheep	గొర్రె
forearm	ముంజేయి
Andhra Pradesh	హైదరాబాదు
knife	కత్తి
back	వెనుక
attempt	ఉద్యోగము
lung	ఊపిరితిత్తి
flute	వంశి
7	ఏడు
8	ఎనిమిది
9	తొమ్మిది
10	పది
10	౧౦
11	౧౧
11	పదునొకండు
twelve	పన్నెండు
12	పండ్రెండు
12	౧౨
6	ఆరు
5	ఐదు
east	తూర్పు
rat	ఎలుక
head	తల
3	మూడు
13	౧౩
13	పదమూడు
2	రెండు
Leo	సింహము
thunder	ఉఋము
hawk	ఓరణము
lizard	గవుళి
fox	గుంటనక్క
fist	ముష్టి
mouse	మూషికము
boat	పొడవ
gold	పొన్ను
thigh	కురువు
baby	కూన
brahman	పాఋడు
pillow	తక్యా
pony	తట్టువ
carpet	జంఖానా
monkey	కోతి
root	వేరు
flower	విరి
wax	మయినము
island	దీవి
honey	తేనె
cheek	దవడ
antelope	జింక
conjunct	జడ్డ
chin	గద్దువ
plow	హలము
diamond	హీరము
cow	ఆవు
love	ఆశ
Armenian	అఱిమిని
Tamil	అఱవము
bare	అంగమొల
banana	అంటిచెట్టు
reach	అందు
anus	అపానము
perjury	అప్రమాణము
urine	ఉచ్చ
tall	ఉఠ్ఠాణి
red	ఎఱ్ఱ
go	ఏగు
a	ఏడాది
I	ఏను
I	నేను
elephant	ఏనుగు
eyebrow	కనుబొమ
eyelid	కనుఱెప్ప
Kannada	కన్నడము
husband	కాంతుడు
crow	కాకి
yoke	కాడి
poem	కావ్యము
window	కిటికీ
music	బాజా
almond	బాదంకాయ
atom	నలుసు
salt	నమ్మకు
drum	నరగ
bug	నల్లి
snake	నాగను
country	నాటు
air	నింగి
thirst	నిట్టు
fire	నిప్పు
cook	పాచకుడు
dice	పాచిక
cobweb	పాదట్టు
little	చిడిపి
shell	చిప్ప
moth	చిమట
parrot	చిలుక
white	తెల్ల
scorpion	తేలు
honeybee	తేనెటీగ
oil	తైలము
waterlily	తొగ
cradle	తొట్ల
day	దివసము
shop	దుకాణము
comb	దువ్వెన
God	దేవుడు
peacock	మయూరము
screw	మరమేకు
mountain	చట్టు
chess	చతురంగము
whip	చబుకు
Venus	కవి
butcher	కసాయి
civet	కస్తూరిపిల్లి
bitter melon	కాకర
body	ఒడలు
slowly	ఒయ్యన
salt	ఉప్పు
asthma	ఉబ్బసము
six	ఆఱు
so	ఆలా
woman	ఆలు
yawn	ఆవలించు
able	అలవి
idiot	ముద్దుడు
language	మునిషీ
trident	ముమ్మొనవాలు
porcupine	ముండ్లపంది
buttermilk	మజ్జిగ
dregs	మడ్డి
hatchet	మడ్డుకత్తి
fish	మత్స్యము
grandson	మనమడు
granddaughter	మనమరాలు
gold	పొం
book	పొత్తము
play	నాటకము
sound	నాదము
father	తండ్రి
string	తంతి
atomic number	తగరము
packsaddle	గంత
sulfur	గంధకము
wasp	గంధోళి
opium	అభిని
cascade	సొన
sibling	సైదోడు
tall	సోగ
crystal	స్ఫటికము
mammal	హయము
owl	గూబ
lakh	లక్ష
ink	సిరా
milk	పాలు
moon	చంద్రుడు
elder sister	అక్క
Iran	ఇరాన్
tree	మ్రాను
avatar	అవతారము
publisher	ప్రచురణకర్త
bodyguard	అంగరక్షకుడు
egg	గుడ్డు
stream	వాగు
fish	చేప
lizard	బల్లి
Sanskrit	సంస్కృతము
Karnataka	కర్ణాటక
again	మళ్లీ
again	మరలా
brinjal	వంకాయ
foreskin	శిశ్నము
eggplant	వంగ
testicle	వృషణాలు
