maybe	ach
axolotl	axolotl
little	achi
first	achto
water	atl
bird	tototl
butterfly	papalotl
mosquito	moyotl
skunk	epatl
animal	yolkatl
prickly pear	nochtli
well	amelli
agave	metl
rebozo	payo
house	kalli
armadillo	ayotochtli
briefs	maxtli
heart	yolotl
sour	xuku
rabbit	tochi
short	achik
reed	akatl
coyote	koyotl
deer	masatl
salt	istatl
puma	mistli
cat	miston
snake	koatl
pig	pitsotl
ant	askatl
seed	achtli
bixa	achiotl
bear	uxu
zapote	tsapotl
dog	itskuintli
bat	tsinakan
epazote	epasotl
tortilla	tlaxkalli
shoulder	ajkolli
wing	ajastli
canoe	akalli
white fish	amilotl
bug	okuili
Mexican	mexikatl
jar	kontli
leak	achapantli
diesel	chiatletl
egg	teksistli
plant	toktli
Montezuma cypress	aueuetl
soul	eluayotl
fir	akxoyatl
fan	pipitski
lug	sasanaktli
balloon	popolochtli
mist	amixtli
reduction	achikayotl
acquarium	ajatl
nose	jakatl
turkey cock	kuaxolotl
flute	akapitstli
time	ajsilli
Mexican beaded lizard	akaltetepon
acamaya	akamaya
orange tree	lalaxkouitl
sea lion	amistli
Mazahua	masauatl
frog	kosatl
