root	abut
we	ami
turn	see
Tetun-Terik	bee
tree	ai
country	rain
forest	alas
pull	dada
chew	mama
big	boot
rice	hare
excrement	teen
eat	han
bottom	hun
bone	ruin
bamboo	au
not	la
narrow	kloot
dead	mate
put	tau
eel	tuna
man	mane
fish	ikan
stink	foo
mango	haas
spleen	ook
bird	manu
rope	tali
horse	kuda
defecate	tee
iron	besi
scoop	suru
bite	tata
pencil	lapis
scale	kiki
he	nia
five	lima
descend	tun
we	ita
sun	loro
letter	surat
lipstick	baton
come	mai
nine	sia
fault	sala
boat	ró
go	bá
do	halo
chop	taa
leaf	roo
bee	bani
oil	mina
English	inglés
body	aan
who	sé
two	rua
cut	tesi
butter	manteiga
seed	fini
hour	tuku
shark	uu
English	Inglés
old	tuan
they	sira
count	sura
fire	ahi
father	aman
kill	oho
louse	utu
rice	etu
tribe	suku
dog	asu
aroid	talas
urine	mii
turn	fila
kitchen	dapur
banyan	hali
again	fali
leg	ain
scratch	koi
burn	sunu
male	manen
you	imi
tea	xá
woman	feto
market	basar
penis	uti
cook	nasu
sharp	kroat
sick	moras
forbid	bandu
enter	tama
hunt	kasa
hot	manas
orange	sabraka
Tetum	Tetun
person	ema
crocodile	lafaek
house	uma
street	lurón
field	to'os
field	kampu
milk	susubeen
rural	Tetun-Terik
coffee	kafé
beer	serveja
indigenous arrack	tua
bread	paun
meat	na'an
salt	masin
sugar	masin-midar
sweet	midar
sweet potato	fehuk-midar
fruit	ai-fuan
rice	foos
yawn	maas
chocolate	xoklate
money	osan
paper	surat-tahan
car	karreta
school	eskola
market	merkadu
hospital	uma-moras
hospital	ospitál
shop	loja
shop	toko
you	ó
I	ha'u
high	aas
church	kreda
wind	anin
split	fera
wool	lan
vomit	muta
cat	busa
mind	noin
buy	sosa
one	ida
sweet potato	uhi
four	haat
deer	rusa
ashamed	moe
pound	fai
square	prasa
coal	anar
bury	taman
black	metan
white	mutin
pestle	alu
skin	kulit
bake	tunu
firearm	kilat
suck	susu
wide	luak
needle	daun
top	tutun
can	bele
swell	bubu
fry	sona
sail	laan
arrow	hana
live	moris
tie	kesi
hide	subar
what	sá
word	lia
cockroach	barata
smoke	fuma
hand	liman
eye	matan
pot	sanan
blow	huun
son	oan
throw	soe
give	fó
liver	aten
be	iha
mouse	laho
voice	lian
hill	foho
straight	loos
fruit	fuan
banana	hudi
coconut	nuu
pineapple	ananás
pineapple	ai-nanás
width	luan
Estonia	Estónia
wash	fase
navel	husar
fat	boran
breadfruit	kulu
sea	tasi
night	kalan
measure	sukat
tear	luun
sneeze	fani
foreign	malae
dry	maran
flow	suli
year	tinan
window	janela
sour	siin
butterfly	borboleta
serpent	saa
tie	futu
tree	-hun
flame	lakan
wart	futi
language	dalen
worm	ular
hide	heli
hear	rona
cheese	keiju
hurl	tuda
as	komu
fart	hosu
run	halai
forget	haluha
old	ferik
layer	taan
bottom	kidun
swallow	tolan
lake	rebu
red	mean
ripe	tasak
lap	hitin
open	loke
pigeon	falur
