breast	tutu
vole	sisar
father	ama
type	athan
wind	fari
who	tima
god	aki
you	ihu
turtle	hara
hand	rima
sweet potato	buna
fingernail	kuku
mother	ina
foot	kuskus
liver	rishi
distiller	bulbul
cloud	urum
wing	pali
fever	shiz
dog	atu
house	taun
we	mitan
baby	a'a
guava	lapat
chin	bibi
goat	sisi
eel	tuza
telephone	lingwa
rice	afu
tongue	zama
pumpkin	bahat
cry	canit
I	yaku
person	thau
wild	kunai
fire	apuy
pus	nazaq
wound	siang
daughter-in-law	apiq
rice	pazay
all	lhthkizin
read	lhupish
water	sazum
pepper	makamun
eye	matha
corner	putut
shadow	bahi
rust	dilan
cicada	lalay
chicken	ranaw
police	maranash
roof	tafuq
rib	falhaan
saliva	lhilhaq
heart	shnaw
body	buut
mouth	ruzith
head	punuq
ear	lharina
tooth	nipin
betel	shawiki
hair	fukish
blood	talhum
back	rikus
shoulder	qalhafa
lung	faaq
gall bladder	qazpu
new	faqlhu
throat	lahulahu
waist	qtiip
flying squirrel	rawaz
snake	qlhuran
insect	kukulay
pangolin	qalhum
owl	shmadia
mandarin duck	dakray
flower	bukay
spider	kakatu
squirrel	taqitaqi
mosquito	rikish
dragonfly	tambalawan
head louse	kuthu
shrimp	kuthun
louse	riknish
bee	fulhia
horse	tishmamraw
crab	kalhan
bat	baprak
earthworm	qatidauluq
horn	waqa
crow	aaq
flea	katitira
wasp	lhalhkaz
nest	zifu
goose	wuu
ant	kakulhum
snail	pakalhuri
bamboo	qaulh
pineapple	unglai
grass	lhmir
shiitake	qalisqisan
bamboo shoot	qati
wood ear	kulkulaz
branch	bangqir
bridge	farukuz
longan	lingkii
Asian	maqmin
plum	lhuzush
peach	qalup
water spinach	sangriz
mandarin orange	rithkuy
computer	tiannau
chair	pangka
above	ifafaw
ball	qarimusuz
money	tuali
pen	patatash
wall	pinazim
carrying pole	patataqaz
sand	bunaz
fish	shi'a'ayl
scissors	qaqpit
bowl	baruku
axe	paqit
soap	dauqan
you	maniun
we	yamin
younger	shashuazi
grandfather	apura'in
grandmother	apuki'ay
child	azazak
friend	huruy
face	shaqish
nose	muzin
cat	qaruta
pig	fafuy
cow	qnuan
monkey	ruthun
mouse	mashmash
bird	rumfaz
fish	rusaw
tree	ribush
leaf	filhaq
maple	lhalha
twin	lhpiaq
corn	tipur
banana	fizfiz
sugarcane	tufuish
book	patashan
umbrella	pasikan
eraser	tatitish
sky	qali
rainbow	qariwazwaz
star	kilhpuz
moon	furaz
sun	tilhaz
mountain	hudun
garbage	bzu
wooden	bakia
approximately	alha
spinning top	alushun
thing	aniamin
container	antutuan
hoe	aqur
grave	minathay
temple	awaq
young	babahu
bean	bailu
frog	bakbaki
zongzi	baksaan
very	bakuung
iron	balis
louse	banhilan
leg	bantath
car	barimbin
cataract	baruz
woman	binanau'az
beard	bizu
heavy	mabrith
flower	pashbukayan
floor	bukhaz
sweet potato	pubunaan
meat	bunlhaz
neck	buqtur
arm	butrizin
leader	daduu
sweet	dahun
quality	dilhkay
bracelet	dimra
gold	dimrath
mud	diplhaq
blue	dishlum
weave	tnun
vein	ulhac
pestle	qashuru
