Sherpa	ཤར་བ
eye	མིག
eye	སྤྱན
animal	སེམས་ཅན
Tibetan	བོད་སྐད
Tibetan	ཀ
Tibetan	་
horse	རྟ
fish	ཉ
king	རྒྱལ་པོ
Tibet	བོད
momo	མོག་མོག
lama	བླ་མ
གཅིག	༡
གཉིས	༢
གསུམ	༣
ཀླད་ཀོར	༠
one	གཅིག
བཞི	༤
Hong Kong	ཞང་ཀང
hedonist	ཕྱལ་པ
merit field	ཐོགས་ཞིང
heretic	མུ་སྟེགས་པ
tiger	སྟག
lion	སེང
garuda	ཁྱུང
dragon	འབྲུག
mouse	བྱི་བ
ox	གླང
rabbit	ཡོས
snake	སྦྲུལ
monkey	སྤྲེལ
dog	ཁྱི
pig	ཕག
wind horse	རླུང་རྟ
wind	རླུང
I	བདག
happiness	བདེ་བ
thread	མདོ
live	གནས
awakening	བྱང་ཆུབ
bodhisattva	བྱང་ཆུབ་སེམས་དཔའ
kindness	བྱམས་པ
moon	ཟླ་བ
light	འོད
path	ལམ
clear	གསལ་བ
zebu	མཛོ་ཕོ
male	ཕོ
present	ལྟ་ད
past	འདས་པ
future	མ་འོངས་པ
imperative	སྐུལ་ཚིག
voluntary	ཐ་དད་པ
involuntary	ཐ་མི་དད་པ
wear	ཀླུབ
China	རྒྱ་ནག
drop	ཟིལ་བ
demon	བདུད
give	སྦྱིན
virtue	དགེ་བ
small	ཆུང་བ
two	གཉིས
three	གསུམ
four	བཞི
ལྔ	༥
དྲུག	༦
7	༧
8	༨
9	༩
five	ལྔ
six	དྲུག
endless knot	དཔལ་བེའུ
རིན་ཆེན	རིན་ཆེན་གདུགས
vase	བུམ་པ
wheel	ཁོར་ལོ
dharmachakra	ཆོས་ཀྱི་འཁོར་ལོ
mandala	དཀྱིལ་འཁོར
scorpion	སྡིག་པ
action	ལས
God	དཀོན་མཆོག
parable	གབ་ཚིག
love	དགའ་བ
altar	མཆོད་སྟེགས
dhwaja	རྒྱལ་མཚན
heart	སྙིང
indicating	སྟོན་པ
mindstream	དགོངས་རྒྱུད
spider	སྡོམ
secret mantra	གསང་སྔགས
eight	བརྒྱད
om	ཨོཾ
ཨ	ཨ་ཆུང
a chung	གཏེར་ཡིག་མགོ་ཨ་ཆུང
༂	གཏེར་ཡིག་མགོ་ཨུམ་རྣམ་བཅད་མ
༃	གཏེར་ཡིག་མགོ་ཨུམ་གཏེར་ཚེག་མ
༄	ཡིག་མགོ་མདུན་མ
head mark	༄
a chung	༁
༃	༃
གཏེར་ཡིག་མགོ་ཨུམ་རྣམ་བཅད་མ	༂
'	འ
༅	ཡིག་མགོ་སྒབ་མ
འཆམས	ཨ་ཙ་ར
།	ཡིག་མགོ་ཕུར་ཤད་མ
༇	ཡིག་མགོ་ཚེག་ཤད་མ
ཡིག་མགོ་ཚེག་ཤད་མ	༇
༔	གཏེར་ཚེག
apple	ཀུ་ཤུ
fruit	ཤིང་ཏོག
apricot	མངའ་རིས་ཁམ་བུ
cherry	སེའུ
ཆུ	ཆུ་རྒུན་འབྲུམ
lemon	ལིམ་བུ
mango	ཤིང་ཏོག་ཨམ
orange	ཚ་ལུ་མ
cardamom	སྲུངས་སྨན
caraway	གོ་སྙོད
pepper	གཡེར་མ
cinnamon	ཤིང་ཚ
drink	འཐུང
Lhasa	ལྷ་ས
