Ethiopia	ኢትዮጵያ
Wednesday	ረቡዕ
Tigrinya	ትግርኛ
Swahili	ሰዋሂሊኛ
house	ቤት
father	ኣቦ
be	ምህላው
five	ኃሙሽተ
six	ሽዱሽተ
nine	ትሸዓተ
twenty	ዒስራ
forty	ኣርባዓ
fifty	ኃምሳ
sixty	ስሳ
seventy	ሰብኣ
eighty	ሰማንያ
ninety	ተስዓ
hundred	ሚእቲ
Monday	ሰኑይ
Tuesday	ሰሉስ
Wednesday	ረብዓ
Thursday	ኃሙስ
Friday	ዓርቢ
Saturday	ቀዳም
Sunday	ሰንበት
January	ትሪ
February	ለካቲት
March	መጋቢት
April	ሚያዝያ
May	ግንቦት
June	ሰነ
July	ሓምለ
August	ነሓሰ
September	መስከረም
October	ጥቅምቲ
November	ኅዳር
December	ታኅሣሥ
parent	ወላዲ
news	ወረ
paper	ወረቐት
son	ወዲ
bird	ዑፍ
donkey	ዒሉ
cloth	ዓለባ
bed	ዓራት
fish	ዓሳ
big	ዓቢ
eye	ዓይኒ
country	ዓዲ
chicken	ደርሆ
sulphur	ዲን
pail	ዳሉ
tent	ዳስ
calf	ዳንጋ
cat	ድሙ
shade	ድነ
virgin	ድንግል
ram	ድዑል
border	ዶብ
kid	ጃዲ
camel	ገመል
money	ገንዘብ
house	ገዛ
face	ገጽ
bush	ጊፍ
owl	ጋን
team	ጋንታ
cistern	ጋው
baboon	ጋውና
gift	ጌጽ
robust	ጐልማሳ
master	ጐይታ
girl	ጓል
strong	ጕልሙስ
thief	ጕሒላ
table	ጠራጴዛ
nipple	ጡብ
cotton	ጡጥ
goat	ጤል
raw	ጥረ
bottle	ጥርሙዝ
beggar	ጨርቃማ
beggar	ጨርቃም
salt	ጨው
chick	ጫጩት
summit	ጬፍ
hurricane	ሃቦብላ
lazy	ሃካይ
greed	ህርፊ
leprosy	ለምጺ
leprous	ለምጻም
talkative	ለፍላፋ
pearl	ሉል
plank	ሉሕ
educated	ሊቅ
slime	ሊን
filter	ሊፍ
kerosene	ላምባ
sand	ሑጻ
revenge	ሒነ
farmer	ሓረስታይ
elephant	ሓርማዝ
crocodile	ሓርገሽ
brother	ሓው
sister	ሓውቲ
new	ሓዳስ
sick	ሕሙም
infant	ሕፃን
angel	መልኣኽ
poison	መርዚ
poisonous	መርዛም
sage	መሰጕፍ
preposition	መስተዋድድ
scissors	መቕጠፊ
who	መን
chair	መንበር
chin	መንከስ
road	መንገዲ
cover	መኽደኒ
day	መዓልቲ
intestine	መዓንጣ
wheel	መዘወር
grindstone	መዲድ
warthog	መፍለስ
banana	ሙዝ
herd	ማል
door	ማዕጾ
water	ማይ
rug	ምሔ
eastern	ምብራቓዊ
east	ምብራቕ
earth	ምድሪ
thin	ረቃቕ
stream	ሩባ
rice	ሩዝ
corpse	ሬሳ
drunk	ሰኽራም
root	ሱር
silence	ሱቕታ
suit	ሱፍ
lung	ሳንቡእ
grass	ሳዕሪ
nickname	ሳጓ
sword	ሴፍ
trousers	ስሬ
tooth	ስኒ
pad	ሶል
tea	ሻሂ
suddenly	ብሃንደበት
thousand	ሽሕ
name	ሽም
ring	ሽቦ
torch	ሽግ
eyelash	ቀርነብ
thin	ቀጣን
word	ቃል
gnat	ቃርማ
pain	ቃንዛ
merchant	ቃፍላይ
forearm	ቅልጽም
porcupine	ቅንፍዝ
strength	ቆር
malicious	ቈለ
child	ቈልዓ
bag	ቈርባቦ
language	ቋንቋ
cake	ቕጫ
spotted	በሮክቶ
sheep	በግዕ
coffee	ቡን
cork	ባሊቃ
bean	ባልደንጓ
slave	ባርያ
silver	ብሩር
parchment	ብራና
knee	ብርኪ
ox	ብዕራይ
place	ቦታ
snake	ተመን
object	ተሰሓቢ
inferior	ታሕታዋይ
history	ታሪኽ
greed	ትህርፍቲ
laziness	ትህኪት
yesterday	ትማሊ
prophecy	ትንቢት
patience	ትዕግሥቲ
wolf	ቶክላ
prophet	ነቢይ
long	ነዊሕ
bee	ንሕቢ
he	ንሱ
she	ንሳ
small	ንእሽቶ
queen	ንግሥቲ
curse	ኢንቶ
hand	ኢድ
I	ኣነ
aid	ኣገልጋሊ
mouth	ኣፍ
finger	ኣጽባዕቲ
mountain	እምባ
yes	እወ
ear	እዝኒ
tree	ኦም
dog	ከልቢ
heavy	ከባድ
lip	ከንፈር
peach	ኩክ
merciful	ኬር
clothing	ክዳን
bad	ሕማቕ
pigeon	ኳትራ
crow	ኳክ
chair	ኵርሲ
ant	ጻጸ
fine	ጽቡቕ
fruit	ፍረ
axe	ፋስ
horse	ፈረስ
article	ፅሑፍ
sun	ፀሓይ
black	ፀሊም
peace	ሰላም
stone	እምኒ
grain	እኽሊ
master	በዓል
name	ስም
month	ወርሒ
head	ርእሲ
blood	ደም
bull	ኣርሓ
cow	ላም
goat	ሶር
on	ኣብ
heart	ልቢ
language	ልሳን
mouth	አፍ
wolf	ተኹላ
hyena	ዝብኢ
evening	ምሸት
night	ለይቲ
age	ዘመን
eagle	ንስሪ
rain	ዝናብ
yellow	ቢጫ
blue	ሰማያዊ
heaven	ሰማይ
Afrikaans	አፍሪቃንሰኛ
bus	ኣውቶቡስ
woman	ሰበይቲ
bear	ድቢ
book	መጽሓፍ
mother	ኣደ
amulet	ክታብ
Ge'ez	ግዕዝ
Eritrea	ኤርትራ
stiff porridge	ጋኣት
shadow	ጽላሎት
three	ሰለስተ
six	ሽድሽተ
city	ከተማ
you	ንስኻ
Allah	አላህ
national	ሃገራዊ
Thursday	ሓሙስ
thirty	ሰላሳ
seventy	ሰብዓ
forty	ኣርብዓ
fifty	ሓምሳ
sun	ጸሓይ
apple	ቱፋሕ
warm	ምዉቕ
dry	ንቑስ
bone	ዓጽሚ
