die	fa
mouth	nomo
leave	suka
come	ta
want	lava
call	vita
build	aka
to	ku
I	mina
drive	chaya
fall	wa
book	buka
we	hina
water	mati
drum	ngoma
village	muti
word	rito
breast	vele
there	laho
forbid	alela
sleep	lala
boil	vila
pour out	halata
tooth	tino
name	vito
meat	nyama
chalk	choko
four	mune
snake	nyoka
blanket	nguvu
drink	nwa
coat	jazi
milk	senga
spider	pume
nine	kaye
dove	tuva
blow	hunga
cripple	lamata
wind	moya
you	wena
he	yena
thousand	gidi
scatter	cambalala
hand	voko
goat	mbuti
impala	mhala
river	nambu
person	munhu
January	Sunguti
February	Nyenyenyani
March	Nyenyankulu
April	Dzivamusoko
May	Mudyaxihi
June	Khovatuxika
July	Mawuwani
August	Mhawuri
September	Ndzhati
October	Nhlangula
November	Hukuri
December	N'wenzamhala
Sunday	Sonto
fear	chava
penis	mbolo
wear	gqoka
cry	rila
give	nyika
borrow	lomba
kneel	guqa
remember	khumbula
here	laha
return	vuya
compose	qamba
eat	dya
cook	mbita
maternal uncle	malume
salt	munyu
marriage	vukati
society	vaaki
law	nawu
sex	rimbewu
hunger	ndlala
love	rhandza
lion	nghala
beer	byalwa
leader	murhangeri
boy	mufana
arrow	nseve
leg	nenge
country	tiko
god	xikwembu
thing	xilo
chair	xitulu
house	yindlu
dog	mbyana
cow	homu
life	vutomi
humanness	vumunhu
righteousness	vululami
trust	tshembha
enter	nghena
you	n'wina
jaw	rihlaya
rib	rivambu
finger	rintiho
phone	riqingo
earring	qiqi
mind	ngqondo
one	n'we
two	mbirhi
three	nharhu
five	ntlhanu
ten	khume
six	tsevu
seven	nkombo
eight	nhungu
hundred	dzana
elephant	ndlopfu
hippopotamus	mpfuvu
buffalo	nyarhi
crocodile	ngwenya
rain	mpfula
flash	hatima
burn	tshwa
wake up	pfuka
chin	xilebvu
tortoise	mfutsu
liver	xivindzi
zero	tandza
shirt	hembe
armpit	khwapa
twin	hahlwa
boat	xikepe
rejoice	tsaka
pineapple	xihenge
chieftain	hosi
send	rhuma
hand	xandla
baboon	mfenhe
winter	vuxika
leopard	yingwe
flower	xiluva
giraffe	nhutlwa
blood	ngati
lion	ndzawo
season	nguva
greater kudu	nhongo
night	vusiku
fountain	xihlovo
music	vuyimbeleri
lake	tiva
sea	lwandle
roof	lwangu
guinea fowl	mhangele
head	nhloko
fat	mafurha
walk	famba
kidney	yinso
sew	rhunga
swell	pfimba
bear	tswala
down	hansi
cook	sweka
ear	ndleve
child	n'wana
leaf	tluka
tree	murhi
bread	xinkwa
mountain	ntshava
foam	khuvi
branch	rhavi
lash	nkhavi
pig	nguluve
rope	ntambu
intestine	rhumbu
pumpkin	kwembe
pillar	phuphu
horn	rimhondzo
neck	nkolo
castle	khokholo
locust	xitsotso
yoke	dzoko
larynx	kholokholo
clock	tliloko
monkey	ntoho
lung	hahu
shelf	xelufu
golf	golufu
sheep	nyimpfu
feast	nkhuvo
lawyer	gqweta
bee	nyoxi
carry	rhwala
buttock	rhaku
bead	rihlalo
childhood	vuhlangi
disease	vuvabyi
suspect	anakanyela
aid	pfuna
box	bokisi
clothes	swiambalo
swing	chinganya
deny	kaneta
discussion	njhekanjhekisano
carcass	ntsumbu
breakfast	xifihlulo
conclusion	xiheri
cheek	rhama
cheat	cengula
frighten	chavisa
curse	ndzhukano
massage	chikicha
disorder	mpfilumpfilu
competition	mphikisano
reconsider	anakanyisisa
define	hlamusela
student	mudyondzi
work	ntirho
burn	pfurha
fire	ndzilo
school	xikolo
do	endla
porridge	vuswa
stab	tlhava
teacher	mudyondzisi
shoe	ntanghu
axe	xihloka
answer	nhlamulo
dress	rhoko
Zulu	Xizulu
read	dyondza
summer	ximumu
wine	wayini
understand	twisisa
speak	vulavula
yonder	lahaya
today	namuntlha
close	pfala
wagon	golonyi
forget	rivala
hail	xihangu
lightning	rihati
cold	xirhami
drop	nthona
fog	hunguva
sun	dyambu
wind	mheho
swirl	mbuluka
remind	khumbuxa
warm	kufumela
warm up	kufumeta
delay	hlwela
fall down	hirimuka
proceed	longoloka
expose	pepula
raise	pewula
split	phamula
break off	phatlula
open	phurumula
nausea	pitsuka
break	pfotlosa
pay	lovola
suffice	eneta
twist	gombonyoxa
hook	khweketa
unstick	namula
wean	lumula
tear	handzula
open	kwamula
open	kendlusa
scorch	bavula
chip	petluxa
sway	ninginika
enemy	xirha
