pupil	tutu
father	amo
owl	puku
cheek	pino
rice	pai
tongue	umo
wine	emi
rope	teesi
mango	suai
wild boar	fuzu
bullet	pania
sleeve	suyu
watermelon	suika
stone	fatu
semen	nan'i
corn	pohe
ear	koyu
water	chumu
tooth	hisi
snow	yuho
bitter gourd	pa'ici
spider	kakatu
table	pangka
bear	cmoi
rib	faengʉ
bone	cʉehʉ
hand	emucu
shoulder	ei'si
waist	cpʉh'o
blood	hmuyu
liver	h'onʉ
armpit	h'ih'i
sweat	haengi
hair	f'ʉsʉ
head	fnguu
body	feango
eye	mcoo
ankle	yoski
chin	yasngʉ
heart	t'uhu
chest	t'oenga
breast	tfuyu
foot	t'ango
neck	sʉnʉ
skin	snʉfʉ
hoof	su'ku
face	sapci
navel	pucku
caudal	poesosuhngu
eyebrow	pe'pi'i
buttocks	pcoo
milk	nun'u
nasal	ngʉcʉ
white	ngtosʉ
upper	ngo'ngu
joint	ma'vo'vokʉ
guava	kamae
bamboo	kaapana
grass	kukuzo
sesame	nalaya
moss	knomʉ
shell ginger	kitposa
longan	ingkina
mandarin orange	huv'o
cassava	f'ueevi
sweet potato	f'ue
betel	fi'i
plum	bʉnʉvhʉ
sugarcane	tʉfsʉ
coffee	teofahea
strawberry	taumu
papaya	saitungu
pumpkin	pusiahʉ
maple	lauya
azalea	laksu
egg	fcuyu
cooked rice	naveu
tea	'ocea
candy	kamcia
glutinous rice	hohʉ'eʉca
salt	sieu
sorghum	batayʉ
congee	cohma
chicken	teo'ua
bee	teongo
monkey	nghou
shrimp	kos'oza
female	inhe
pangolin	hiaemoza
snake	fkoi
pig	feʉ'ʉ
frog	fo'kunge
Syrmaticus mikado	ftʉftʉ
snail	kokeu te'e
lizard	kokongʉ
star	congeoha
moon	feohʉ
mountain	fuengu
rainbow	hioyu
landslide	eʉskʉ
shoe	sapiei
female	taf'u
pants	pooyoyo
hat	ceopngu
shell	kuipacu
needle	feezo
chopstick	husu
chair	ca'hʉ
boat	'apangʉ
glass	ngalasu
axe	peʉcngʉ
bullet	peotpu'a
cotton	paceofʉ
trap	h'oepona
soap	savungu
paper	saiptuku
firepit	pupuzu
basket	skayʉ
grindstone	teonʉta
arrow	tʉ'sʉ
bicycle	zitensa
basket	yungku
towel	taolu
bowl	takubingi
sky	engʉca
rainwater	tnʉyʉ
ash	fuu
new	faeva
