father	dada
mother	mama
nshima	sima
Monday	Mande
June	Juni
I	ine
donkey	bulu
maize	ngoma
head	mutu
possession	katundu
breast	bele
goat	mbuzi
laugh	seka
I love you	nkhukutemwa
sun	dazi
sleep	tulo
dance	vina
water	maji
house	nyumba
hand	woko
name	zina
we	ise
famine	njala
moon	mwezi
cow	ng'ombe
hoe	jembe
hill	phiri
child	mwana
they	iwo
no	yayi
elephant	zovu
year	caka
you	iwe
flower	luwa
egg	sumbi
person	munthu
lake	nyanja
money	ndalama
snake	njoka
buffalo	njati
chicken	nkhuku
tam-tam	ng'oma
where	nkhuni
heart	mtima
January	Janyuwale
bridge	ulalo
village	muzi
February	Febuluwale
March	Malichi
April	Epulo
May	Meyi
August	Ogasiti
October	Okutobala
November	Novembala
December	Disembala
tongue	lulimi
what	njani
tree	khuni
stone	liwe
July	Julayi
September	Seputembala
maternal uncle	sibweni
man	mwanalume
lip	mlomo
bamboo	msyombe
bird	ciyuni
island	cilwa
thing	cinthu
eye	jiso
whip	cikoti
rainy season	cifuku
crocodile	ng'wina
brick	njelwa
fish	somba
word	lizgo
lion	nkhalamu
food	cakulya
you	imwe
Tumbuka	Citumbuka
Tuesday	Ciŵiri
Wednesday	Citatu
Thursday	Cinayi
Friday	Cikhonde
Saturday	Cisulo
Sunday	Sabata
bee	njuci
cowpea	nkhunde
