ten	on
louse	bit
dog	it
oath	ant
I	men
honey	bal
chapter	bap
shovel	bel
keyboard	klawiatura
garden	bag
one	bir
flour	un
mountain	dag
she	ol
letter	harp
snow	gar
apple	alma
sand	gum
letter	hat
whale	kit
Friday	anna
skin	jilt
you	sen
slave	gul
custom	adat
Africa	Afrika
male	ner
Cambodia	Kamboja
almond	badam
letter	a
two	iki
four	dört
nine	dokuz
three	üç
eight	sekiz
dog	köpek
barley	arpa
ice	buz
Lithuania	Litwa
blood	gan
lock	gulp
Qatar	Katar
name	isim
mother	eje
eye	göz
coal	kömür
we	biz
adrenaline	adrenalin
blue	gök
many	köp
white	ak
look	bakmak
know	bilmek
fifty	elli
ox	öküz
tooth	diş
come	gelmek
Russian	rus
peacefulness	aram
death	ölüm
time	zaman
lake	köl
dot	nokat
sun	gün
black	gara
book	kitap
banana	banan
rope	tanap
thirty	otuz
union	birlik
two	ikki
fox	tilki
you	siz
foe	duşman
champion	çempion
April	aprel
give	bermek
clinic	klinika
elbow	tirsek
furniture	mebel
silver	kümüş
work	iş
tobacco pipe	trubka
nose	burun
duck	ördek
beer	piwo
Turkmenistan	Türkmenistan
flower	gül
desert	çöl
donkey	eşek
December	dekabr
journalist	žurnalist
president	prezident
steel	polat
cloud	bulut
kill	öldürmek
salient	ilginç
drink	içmek
news	habar
adjective	sypat
cantata	kantata
sulfur	kükürt
throat	bogaz
paradox	paradoks
factory	fabrik
male	نر
genre	žanr
cigar	sigara
coat of arms	gerb
perennial	selin
word	söz
science	bilim
February	fewral
south	günorta
palace	köşk
time	vagt
star	ýyldyz
van	furgon
yoghurt	gatyk
animal	haýwan
sword	gylyç
cucumber	hyýar
pillow	ýassyk
river	derýa
egg	ýumurtga
winter	gyş
city	şäher
spoon	çemçe
triangle	üçburçluk
week	hepde
account	hasap
color	reňk
health	saglyk
garlic	sarymsak
page	sahypa
heart	ýürek
library	kitaphana
snake	ýylan
needle	iňňe
poison	zäher
nail	dyrnak
state	döwlet
life	durmuş
world	dünýä
ear	gulak
box	guty
bird	guş
autumn	güýz
belt	guşak
sheep	goýun
fear	gorky
neighbor	goňşy
tail	guýruk
lamb	guzy
tiger	gaplaň
door	gapy
independence	garaşsyzlyk
night	gije
liver	bagyr
flag	baýdak
wealth	baýlyk
fish	balyk
freedom	azatlyk
song	aýdym
bus	awtobus
mouth	agyz
desire	arzuw
evening	agşam
mind	akyl
year	ýyl
light	yşyk
belief	ynanç
leaf	ýaprak
help	ýardam
half	ýarym
writer	ýazyjy
flame	ýalyn
fate	ykbal
literature	edebiýat
son	ogul
capital	paýtagt
petroleum	nebit
wind	ýel
silk	ýüpek
society	jemgyýet
olive	zeýtun
pig	doňuz
Sunday	ýekşenbe
yesterday	düýn
Monday	duşenbe
swan	guw
history	taryh
philosophy	pelsepe
politics	syýasat
wheat	bugdaý
Wednesday	çarşenbe
dust	çaň
tree	agaç
fruit	miwe
knee	dyz
wing	ganat
belly	garyn
water	suw
stone	daş
salt	duz
century	asyr
gold	altyn
leg	aýak
frost	aýaz
knife	pyçak
wolf	böri
dough	hamyr
story	hekaýa
window	penjire
chair	oturgyç
street	köçe
forest	tokaý
north	demirgazyk
east	gündogar
west	günbatar
house	öý
war	uruş
translation	terjime
game	oýun
energy	energiýa
mosque	metjit
example	mysal
cow	sygyr
hen	towuk
carrot	käşir
watermelon	garpyz
melon	gawun
wine	şerap
bone	süňk
cotton	pagta
juice	şire
mouse	syçan
lion	ýolbars
jackal	şagal
monkey	maýmyn
bunny	ýagly
onion	sogan
berry	iýmiş
turnip	şalgam
when	haçan
when	näwagt
what	näme
where	nirede
how	nähili
how many	näçe
which	haýsy
five	bäş
six	alty
seven	ýedi
twenty	ýigrimi
forty	kyrk
sixty	altmyş
seventy	ýetmiş
eighty	segsen
ninety	togsan
thousand	müň
gowy	iň
loneliness	ýalňyzlyk
short	gysga
green	ýaşyl
red	gyzyl
small	kiçi
long	uzyn
thick	galyň
fear	gorkmak
fear	eýmenmek
dig	gazmak
dig	köwlemek
sleep	uklamak
sing	saýramak
play	oýnamak
wash	ýuwmak
hunt	awlamak
live	ýaşamak
hear	eşitmek
breathe	dem almak
eat	iýmek
bite	dişlemek
suppose	saýmak
suppose	öýtmek
think	pikir etmek
bridge	köpri
family	maşgala
culture	medeniýet
Christmas	milad
museum	muzeý
guest	myhman
millennium	müňýyllyk
boy	oglan
thought	oý
learn	öwrenmek
teach	öwretmek
new	täze
prophet	pygamber
soap	sabyn
beard	sakgal
love	söýgi
milk	süýt
god	taňry
student	talyp
fatherland	watan
patriotism	watançylyk
world	jahan
answer	jogap
Greek	ýunan
soldier	esger
camel	düýe
dream	düýş
shepherd	çopan
bread	çörek
fisherman	balykçy
error	ýalňyş
peninsula	ýarymada
write	ýazmak
country	ýurt
chain	zynjyr
paper	kagyz
Russia	Russiýa
Kazakhstan	Gazagystan
Uzbekistan	Özbegistan
Kyrgyzstan	Gyrgyzystan
Caspian Sea	Hazar deňzi
Iran	Eýran
Turkey	Türkiýe
Egypt	Müsür
Israel	Ysraýyl
Iraq	Yrak
Asia	Aziýa
Europe	Ýewropa
gara	Gara deňiz
Mediterranean Sea	Ýerorta deňzi
Amu Darya	Amyderýa
Syr Darya	Syrderýa
Greece	Ýunanystan
Tajikistan	Täjigistan
nature	tebigat
science	ylym
economy	ykdysadyýet
Karakum	Garagum
academy	akademiýa
law	kanun
Tabriz	Töwriz
Urgench	Ürgenç
here	bu ýerde
here	bäri
here	şu taýda
here	şu ýerde
there	ol ýerde
be	bolmak
month	aý
rest	dynç almak
train	otly
orange	narynç
prison	türme
giraffe	žiraf
agave	agawa
steering wheel	rul
king	şa
situation	ýagdaý
expert	ussat
bearded	sakgally
bee	ary
hare	towşan
cheese	peýnir
drop	damja
smoke	tüsse
finger	barmak
rain	ýagyş
Khwarazm	Horezm
myth	mif
summer	tomus
or	ýa
Slovakia	Slowakiýa
Greece	Gresiýa
diskette	disket
ring	ýüzük
booty	olca
ant	garynja
Finland	Finlýandiýa
shark	akula
king	korol
mallard	ýaşylbaş
free	azat
mythology	mifologiýa
cry	aglamak
heavy	agyr
beet	şugundyr
bitter	ajy
blackberry	böwürslen
good	ýagşy
police	polisiýa
wound	ýara
Icelander	islandiýaly
Farer	Farer adalary
Slovenia	Sloweniýa
car	maşyn
shoe	aýakgap
room	otag
Hungary	Wengriýa
sin	günä
pencil	galam
Britaniýa	Beýik Britaniýa
United Arab Emirates	Birleşen Arap Emirlikleri
Brunei	Bruneý
Philippines	Filippinler
East Timor	Gündogar Timor
South Korea	Günorta Koreýa
North Korea	Demirgazyk Koreýa
Indonesia	Indoneziýa
Jordan	Iordaniýa
Lebanon	Liwan
Malaysia	Malaýziýa
Maldives	Maldiwler
Mongolia	Mongoliýa
Myanmar	Mýanma
Pakistan	Päkistan
Saudi Arabia	Saud Arabystany
Syria	Siriýa
Sri Lanka	Şri-Lanka
Thailand	Taýland
Vietnam	Wýetnam
Japan	Ýaponiýa
Yemen	Ýemen
Zelandiýa	Täze Zelandiýa
doglan	doglan günüň gutly bolsun
chess	küşt
Thursday	penşenbe
Saturday	şenbe
Tuesday	sişenbe
Spanish	ispança
helicopter	wertolýot
wool	ýüň
June	iýun
July	iýul
May	maý
August	awgust
October	oktýabr
November	noýabr
no	ýok
eagle	bürgüt
activate	işjeňleşdirmek
spy	içaly
floppy disk	çeýe disk
elastic	çeýe
provision	üpjünçilik
programma	programma üpjünçiligi
harmful	zyýanly
harmless	zyýansyz
beardless	sakgalsyz
harmless	zelelsiz
harmful	zelelli
damage	zelel
damage	zyýan
first	birinji
active	işjeň
male	iner
tyre	şin
video	wideo
melon	قاون
thin	inçe
spring	ýaz
colonel	polkovnik
hospital	keselhana
surname	familiýa
dünýä	dünýäni
Christmas	roždestwo
juniper	арча
Turkmen	türkmen
Gurbanguly	Gurbangulx
all	bütin
green	یاشیل
fragrant	reýhan
Тәжигистан	Teajikistan
Тeajikistan	Тәжигистан
city	şäherler
poet	şahyr
beam	şöhle
war	söweş
yours	siziň
bring	äbermek
earth	ýer
yurt	ak öý
yurt	gara öý
altьn asьr	altьn
forest	ormon
халклармызың	halklarmyzyň
Turkmen	نگ
World War 2	Ikinji Jahan urşy
international	halkara
workers of the world, unite	برلەشڭز بوتين دونيا يوقسيلارى
revolution	ynkylap
comb	daramak
feeling	duýgy
devour	sümürmek
constitution	konstitusiýa
husband	baldyz
patch	ýama
scorpion	içýan
patriot	watançy
allergy	allergiýa
aluminium	alýuminiý
eggplant	badamjan
dinosaur	dinozawr
ostrich	düýeguş
alphabet	elipbiý
hero	gahryman
like	ýaly
badger	torsuk
brown	goňur
purple	benewşe
