road	be
learn	chan
month	u
house	na
kot	kot
steam bath	pus
climb	muy
return	sut
lik	tal
ti	-e
good	lek
flute	ama
deep	nat
me	cham
early	sob
tortilla	vaj
woman	ants
bird	mut
fly	vil
give	akʼ
mountain	vits
common raven	joj
ʼeal	eal
know	na'
book	vun
calabash tree	boch
pets	te'
flower	nichim
balamil	balumil
balumil	balamil
talk	kʼopoj
eat	ve'
food	ve'el
girl	tseb
balumil	vinajel
money	tak'in
rabbit	t'ul
pig	chitom
sheep	chij
round	p'ej
who	buchʼu
batsʼi	batsʼi kʼop
ʼixim	ixim
k'obil	k'obol
nose	ni'il
name	biil
bread	kaxlan vaj
human being	krixchano
foot	okol
life	kuxlejal
water	vo'
blood	chʼichʼelil
father	totil
mother	me'il
fire	kʼokʼ
bolom chon	xinich
inclusive	voʼotik
exclusive	voʼotikotik
what	kʼusi
k'u	k'ucha'al
batzʼi	batsʼi
green	yox
similar	ko'ol
tek-lumal	teklumal
town	teklum
word	kʼop
companion	chiʼilil
walk	xanav
flesh	bekʼtal
only	kʼajomal
dream	vayichil
work	abtej
belly	tsukut
again	xtok
stomach	chʼutil
ta	ta jlikel
gradually	kʼunkʼun
naked	t'anal
horse	kaʼ
ta	ta ts'akal
cattle	vakax
fear	xiʼ
devil	pukuj
fruit	loʼbol
pineapple	paxakʼ
emaciated	mochol
lord	ajvalil
move	bakʼ
small	bikʼit
large	mukʼta
rope	chʼojon
pom	chanul pom
skirt	tsekil
knee	jol akan
write	ts'ibaj
write	ts'iba
bastard	kavron
when	kʼalal
leg	akanil
Zinacantán	voʼox
annatto	joʼox
howler monkey	batzʼ
lowland paca	jolov
thunder	chauk
firefly	kukay
cornfield	chob
jug	xalu
adobe	xamit
