fire	kut
fat	wipt
sinew	tapt
water	pa·l
thigh	hapšil
house	hani·l
nuts	wohont
metate	mana·l
Monday	lu·naš
fish	kuyu·l
eye	punz̨il
ear	naŋhal
month	mɨ·yal
ponderosa pine	wohombo·l
acorns	yu·mukt
pine nut	tɨbat
bear	ʔu·nal
brown bear	moʔolohy
raccoon	kata·l
mountain lion	tu·gu·kwɨt
bat	paca·wal
golden eagle	ʔa·šawɨt
great horned owl	muhumbišt
mountain quail	tu·kt
valley quail	taka·h
bird	čiki·t
juniper	wa·ʔat
willow	ha·l
jimsonweed	mo·mo·ht
day	ta·l
gray fox	ʔiklo·bal
skunk	ponihw
mule deer	tohi·l
bighorn sheep	pa·ʔat
California ground squirrel	cawanɨnt
golden-mantled ground squirrel	pičili·t
Wednesday	pa·iʔiŋ
deer mouse	cɨmil
woodrat	ha·wal
Patagioenas fasciata	mokowišt
Colaptes	če·ul
Buteo jamaicensis	wa·ʔal
yerba mansa	čahpani·l
