old	mapa
tree	moo
water	muu
pike	kori
limb	gara
duck	gasa
head	dili
dish	aluu
I	би
bear	buyu
far	goro
one	üm
we	бу
fragment	bukta
they	нат
aspen	пули
eagle	гуси
twenty	хори
water	муэ
mist	tamna
fish	холто
beaver	тарга
rust	сэптучэ
partridge	пэла
medicine	окто
craw	поко
tail	худю
master	эде
wind	хэду
lip	пэму
maple	моно
big	эгди
dog	и̇ӈда
word	хэсэ
100	таӈгу
sun	сиу
thousand	миӈга
black birch	дивэгдэ
meadow	awda
willow	tuŋgdä
tree	mugdä
two	дюэл
horse	mürï
barn	taktü
rabbit	tüksa
year	aňa
hero	мэргэ
gold	айси̇н
skirt	хоси̇н
frog	xäräkä
pour	хӯлу-
shuffle	су̇йли̇-
cook	унюрэдю-
sing	яя-
read	таун-
house	xagdü
big	да̄и̇
war	соро
prick	žogbolowü
long	wolmï
regret	kooročüwü
raise	koowülawü
mother	äňä
little	ňuuči
young	ňawža
hole	saŋgal
table	därä
forest	purän
leather	sugbum
child	piktä
hail	boono
straight	toŋdo
multi-coloured	totoŋgo
leggings	oyïlawü
pack	baapü
bag	sïlčü
lamp	buuli
meat	ulsä
fir	waŋta
thigh	tarpï
scar	kalxï
food	sargadï
dirt	yaŋsa
star	xosta
spruce	xasta
brain	ižä
five	tüňža
do	anžu-
other	žää
walk	duärä-
dragon	muduli
wild	uňiktä
inner	xurakta
winter	tuä
earwax	xoromsa
sawdust	püümsa
vegetable	solži
cornel	omakta
blood-red	sägžä
family	sääŋgi
boat	ügda
feather	upultä
hat	aapün
hand	ŋaala
mountain	xurä
enemy	bažü
woman	asï
unconscious	ňëëlbï
dawn	gëwa
moonlight	bëlta
insult	ërküwü
refuse	bëëlbübü
fly	giiluktu
riverbed	gïrï
seagull	kïtï
reed	pïpü
throat	bïlža
gift	sïïŋna
shovel	diirä
thirty	gütï
sturgeon	kuŋdu
cartilage	buksä
needle	xulmä
