eye	iso
they	ovo
study	tanga
I	ame
we	etu
dog	ombwa
tree	uti
Umbundu	úmbúndú
you	ove
you	ene
sky	ilu
egg	esala
snake	nyoka
belly	imo
cloud	elende
learn	lilongisa
alligator	ongandu
fat	osepo
hippopotamus	ongeve
window	ombando
person	omunu
messenger	omunga
ghost	ocilulu
bean	ocipoke
body	etimba
book	elivulu
finger	umwine
liver	omuma
skull	ekolokolo
star	olumbungululu
man	ulume
slave	upika
rope	ukolo
thigh	ocikalo
tooth	iyo
friend	ekamba
snake	onyohã
thing	ocina
heart	utima
crime	ekandu
knife	omoko
language	elimi
mountain	omunda
death	olufa
woman	ukãyi
grandson	onekulu
name	onduko
nape	onumbutwe
orphan	osiwe
bone	ekepa
word	ondaka
pan	ombya
bread	ombolo
foot	omahi
chest	onulo
fish	ekova
neck	osingo
door	epito
eagle	ongonga
hen	osanji
elephant	ondjamba
house	ondjo
soursop	onona
cat	ocinsue
grammar	etumbuluko
water	ovava
bee	nyihi
genet	simbe
