remember	จับ
rib	กก
superhuman	ซีดี
go	ปี
cooked	นาซี
mother	มะ
six	นัม
color	ซี
candle	แดด
pliers	คีม
hat	โมะ
lung	เซาะ
one	ซา
rattan	วี
father	ปะ
sweets	โกย
plate	ยับ
fishbone	แคะ
hammer	คอด
washing powder	แฟบ
know	ตาฮู
exist	อาดา
at	เดะ
jackfruit	นากา
horizontal	ซีตา
foot	กากี
eye	มาตา
wood	กายู
prawn	ฮูรัก
nail	กูกู
ghost	ฮาตู
ear	ตลีงา
cry	มือนาแงฮ
deep	ดาลับ
day	อารี
fault	ซาละฮ
forest	ฮูตัด
stingray	ปารี
dog	อาซู
wolf	อาซู ฮูตัด
sail	ลายัล
reach	ฮาดะ
fish	อีกัด
choose	ปีเลฮ
fowl	ฮายับ
deaf	ตูลี
veins	อูรัยจ
sea turtle	เปอญู
oil	มีญะ
finger	ยฺารี
life	ฮีโดะ
body	ญาวา
language	พาซา
parade	แฮ
monkey	กรา
cooked	มาซะ
rib	โกก
give	บรี
brave	บรานี
field	ปาดัก
jungle	ปารัก
crocodile	บาฮายา
chisel	ปาฮัจ
ground	ตานะฮ
desert	ปาดัก ตานัฮ
road	ยฺาลัด
man	อูรัก
sea	ลาโวยจ
worship	เซอมะฮ
stomach	โปรยจ
tree	ปูโฮด
face	มูคา
winnow	ตาปิฮ
share	ปาฮาฆิ
side	รูโซะ
two	ดูวา
three	ตีกฺา
four	ปัยจ
five	ลีมา
seven	ตูโยฺะฮ
eight	ลาปัด
nine	เซอมีลัด
ten	เซอปูโละฮ
shrine	บาลัย
country	นังกฺรี
world	ดือนียา
world	เบอนัว
wind	อาแงน
needle	ยฺารบ
god	ตูฮัด
fire	อาปี
water	อาเย
moon	บูลัด
fur	บูลู
bad	ยฺาฮัยจ
liver	ฮาตี
leaf	ดาโวด
burn up	ตูนู
blood	ดาระฮ
eat	มากัด
egg	เตอเลอ
handle	ฮูลู
nose	ฮีดก
rain	ฮูยฺัด
profit	อูตก
bear	บรูวัก
fish trap	บูบู
age	อูมอล
unhusked	ปาดี
husked	บรัยฮ
black	ฮีตับ
tiger	บรูตัด
pig	บาบี
wild boar	บาบี ฮูตัด
animal	เบอนาตัก
book	ซูรัยจ
sky	ลาแงะ
white	ปูเตะฮ
yellow	กูนิง
year	ตาฮด
cow	เลอมู
fly	ลาเงา
durian	เดียด
bee	มาทู
