naan	نان
bazaar	بازار
water	су
abacus	چوت
friend	دوست
goodbye	خوش
air	һава
one	бир
LaTeX	لەيتەكس
Bible	ئىنجىل
petroleum	نېفىت
garden	باغ
hand	قول
goose	غاز
forest	orman
ball	توپ
lemon	лимон
Uyghur	ئۇيغۇرچە
Uyghur	уйғурчә
America	ئامېرىكا
bed	كارۋات
monkey	مايمۇن
bear	ئېيىق
Western Sahara	غەربىي ساھارا
bicycle	ۋەلسىپىت
dog	ئىت
English	ئىنگلىزچە
grape	ئۈزۈم
well	قۇدۇق
vitamin	ۋىتامىن
tooth	چىش
church	چېركاۋ
cheese	پىشلاق
tea	چاي
train	پويىز
star	يۇلتۇز
snake	يىلان
wig	يالغان
volcano	يانار تاغ
week	ھەپتە
life	ھايات
story	ھېكايە
statue	ھەيكەل
cat	مۈشۈك
dictionary	لۇغەت
lake	كۆل
sand	قۇم
water	سۇ
milk	سۈت
peace	سۈلھ
Arab	ئەرەب
camel	تۆگە
fox	تۈلكە
squirrel	تىيىن
stone	تاش
food	تاماق
cow	بۇقا
house	ئۆي
war	ئۇرۇش
German	نېمىس
candle	شام
blood	قان
boiler	қазан
chalk	بور
all	بار
rest	ئارام
zero	نۆل
one	بىر
two	ئىككى
three	ئۈچ
head	باش
khan	خان
eye	كۆز
child	бала
numeral	سان
winter	قیش
man	ئادەم
plate	تەخسە
mug	چاشكا
chopstick	چوكا
notebook	دەپتەر
journal	ژۇرنال
paper	قەغەز
book	كىتاب
little	كىچىك
which	قايسى
who	كىم
newspaper	گېزىت
dictionary	луғәт
just	ئادىل
pen	قەلەم
translation	تەرجىمە
free	ئەركىن
copula	ئەمەس
particle	مۇ
төт	تۆت
second	ئىككىنچى
third	ئۈچىنچى
first	بىرىنچى
fourth	تۆتىنچى
I	مەن
we	بىز
he	ئۇ
they	ئۇلار
that	شۇ
that	ئاۋۇ
that	ئاشۇ
this	ماۋۇ
that	مۇشۇ
this	بۇ
good	ياخشى
February	فېۋرال
January	يانۋار
March	مارت
ear	قۇلاق
nose	بۇرۇن
tongue	تىل
hair	چاچ
skin	تېرە
bone	سۆڭەك
family	ئائىلە
meat	گۆش
olive	زەيتۇن
mountain	تاغ
school	مەكتەپ
white	ئاق
hour	سائەت
central	مەركىزىي
angle	بۇلۇڭ
university	ئۇنىۋېرسىتېتى
milletler	مىللەتلەر
mantou	مانتا
Uygur	ئۇيغۇر
look at	باقماق
very	بەك
page	بەت
snow	قار
English	ئىنگلىز
attribute	سۈپەت
breakfast	ناشتا
six	ئالتە
seven	يەتتە
eight	سەككىز
nine	توققۇز
sulphur	گۈڭگۈرت
sulphur	گۇگۇت
sorry	كەچۈرۈڭ
five	بەش
ten	ئون
fifth	بەشىنچى
sixth	ئالتىنچى
seventh	يەتتىنچى
eighth	سەككىزىنچى
ninth	توققۇزىنچى
tenth	ئونىنچى
banana	بانان
mother	ئانا
father	دادا
interrogative	ياخشىمۇسىز
what	نېمە
no	ياق
yes	ھەئە
hello	ياخشىمۇسىلەر
professor	پروفېسسور
soldier	جەڭچى
staff	خىزمەتچى
police	ساقچى
driver	شوپۇر
Muhammad	مەھەممەت
worker	ئىشچى
mouth	ئېغىز
foot	پۇت
homework	تاپشۇرۇق
telephone	تېلېفون
television	تېلېۋىزور
pager	چاقىرغۇ
photo	رەسىم
eyebrow	قاش
computer	كومپيۇتېر
office	ئىشخانا
cinema	كىنوخانا
hospital	دوختۇرخانا
cell phone	يانفون
Hami melon	قوغۇن
cumin	زىرە
teacher	مۇئەللىم
teacher	ئوقۇتقۇچى
teacher	مۇئەللىمە
table	جوزا
download	چۈشۈرمەك
cafeteria	ئاشخانا
tomorrow	ئەتە
today	بۈگۈن
pretty	چىرايلىق
classroom	دەرسخانا
tyubeteika	دوپپا
Saturday	شەنبە
Monday	دۈشەنبە
Tuesday	سەيشەنبە
Wednesday	چارشەنبە
Thursday	پەيشەنبە
Friday	جۈمە
Sunday	يەكشەنبە
how	قانداق
kebab	كاۋاپ
old	كونا
new	يېڭى
weather	ھاۋا
and	ھەم
clear	ئوچۇق
encyclopaedia	قامۇس
desert	چۆل
black	قارا
Han Chinese	خەنزۇ
Chinese	خەنزۇچە
excellent	ئېسىل
twenty	يىگىرمە
shop	ماگىزىن
prayer	ناماز
Nowruz	نورۇز
and	بىلەن
boy	ئوغۇل
girl	قىز
brick-tea	قاراچاي
first	ئاۋۋال
literature	ئەدەبىيات
spring	بۇلاق
friend	ئاغىنە
zero	نۆلىنچى
thirty	ئوتتۇز
forty	قىرىق
fifty	ئەللىك
sixty	ئاتمىش
seventy	يەتمىش
eighty	سەكسەن
ninety	توقسان
hundred	يۈز
thousand	مىڭ
million	مىليون
millionaire	مىلياردېر
billion	مىليارد
horticulture	باغۋەنچىلىك
shaking	زىلزىلە
earthquake	يەر تەۋرەش
lection	دەرس
pepper	لازا
chilli	قىزىلمۇچ
red	قىزىل
chilli	مۇرچ
not so	ئانچە
far	يىراق
near	يېقىن
company	شىركەت
friend	ئاداش
friend	ئۈلپەت
thermos	چايدان
thermos	تېرموس
almost	تاس
caravan	كارۋان
be	بولماق
tomato	شوخلا
tomato	پەمىدۇر
tandoor	تونۇر
elder brother	يەڭگە
young man	يىگىت
lovely	ئوماق
young girl	قىزچاق
calligraphy	خەتتاتلىق
funny	كۈلكىلىك
verb	پېئىل
Ohio	Oxayo
ice cream	ماروژنا
man	خىتاي
student	ئوقۇغۇچى
know	بىلمەك
die	ئۆلمەك
read	ئوقۇماق
build	ياسىماق
bird	قۇش
blue	көк
wall	تام
republic	جۇمھۇرىيەت
plane	رەندە
key	ئاچقۇچ
gate	دەرۋازا
forehead	پېشانە
mushroom	موگۇ
celery	چىڭسەي
word	سۆز
live	ياشىماق
overflow	تاشماق
pity	ئەپسۇس
summer	ياز
qanat	كارىز
comrade	يولداش
woman	ئايال
man	ئەر
island	ئارال
flower	گۈل
flower	چېچەك
milch cow	ئىنەك
sky	ئاسمان
knee	تىز
country	ئەل
answer	جاۋاب
green	يېشىل
us	بىزنىڭكىلەر
popsicle	بىڭگۇر
tandoor	سامسا
dutar	دۇتتار
tanbur	تەمبۈر
onion	پىياز
wolf	قۇرت
blue	كۆك
write	يازماق
study	ئۆگەنمەك
now	ھازىر
modern	ھازىرقى
Muslim	مۇسۇلمان
halal	مۇسۇلمانچە
economy	ئىقتىساد
qualification	لاياقەت
qualified	لاياقەتلىك
license	كىنىشكا
present	سوۋغا
money	پۇل
clean	پاكىز
clean	پاك
clean	پاك-پاكىز
useful	ئەسقاتماق
sea	деңиз
seek	ئ‍ىزدىمەك
understand	چۈشەنمەك
mosquito	پاشا
open syllable	ـش
rawap	راۋاپ
dap	داپ
satar	ساتار
sapayi	ساپايى
ghejek	غېجەك
sunay	سۇناي
naghra	ناغرا
balaman	بالىمان
sunflower	ئاپتاپپەرەس
love	مۇھەببەت
death	ۋاپات
editor	مۇھەررىر
place	ماكان
work	ئىش
knowledge	بىلىم
unsuitable	بىئەپ
technique	ئەپ
name	ئىسىم
Allah	ئاللاھ
ئېشىكى يوق موللامنىڭ قۇلىقى تىنچ	ئېشىكى يوق موللامنىڭ قۇلىقى تىنچ
donkey	ئېشەك
mullah	موللا
mullah	موللام
sun	كۈن
place	-خانا
doctor	دوختۇر
food	ئاش
room	خانا
mouthful	يۇتۇم
mouthful	ئوتلام
land	يەر
pronoun	ئالماش
nominative	باش كېلىش
come	كېلىش
come	كەلمەك
closed syllable unrounded	ـىش
closed syllable rounded	ـۇش
closed syllable rounded	ـۈش
1st person singular possessive suffix	ـىم
1st person singular possessive suffix	ـم
1st person singular possessive suffix	ـۇم
1st person singular possessive suffix	ـۈم
1st person plural possessive suffix	ـمىز
from door to door	ئۆيمۇئۆي
from street to street	كوچىمۇكوچا
street	كوچا
from house to house	ھويلىمۇھويلا
from village to village	يېزىمۇيېزا
hand in hand	قولمۇقول
woodcutter	ياغاچچى
blacksmith	تۆمۈرچى
herder	پادىچى
close friend	سىرداش
strong	كۈچلۈك
poor	بىچارە
hopeless	نائۈمىد
badly behaved	بەتقىلىق
compound	بىرىككەن سۆز
stomach	ئاشقازان
ostrich	تۆگىقۇش
owl	ھۇۋقۇش
aqsaqal	ئاقساقال
rose	قىزىلگۈل
sash	بەلباغ
bracelet	بىلەزۈك
summer	قىش-ياز
living	جانلىق
residing	تۇرۇشلۇق
genitive case suffix	ـنىڭ
accusative case suffix	ـنى
dative case suffix	ـغا
dative case suffix	ـگە
dative case suffix	ـقا
dative case suffix	ـكە
dative case suffix	ـقە
locative case suffix	ـدا
locative case suffix	ـدە
locative case suffix	ـتا
locative case suffix	ـتە
ablative case suffix	ـدىن
ablative case suffix	ـتىن
locative	ـدىكى
locative	ـتىكى
limitative case suffix	ـغىچە
limitative case suffix	ـگىچە
limitative case suffix	ـقىچە
limitative case suffix	ـكىچە
similitude case suffix	ـدەك
similitude case suffix	ـتەك
equivalence case suffix	ـچىلىك
equivalence case suffix	ـچە
Qur'an	قۇرئان
rain	يامغۇر
fish	بېلىق
see	كۆرمەك
World Trade Organization	دۇنيا سودا تەشكىلاتى
nation	دۆلەت
second person plural possessive suffix	ـڭىزلار
second person plural possessive suffix	ـڭىزلەر
second person plural possessive suffix	ـىڭىزلار
second person plural possessive suffix	ـىڭىزلەر
representative case suffix	ـنىڭكى
fuck	سىكمەك
honey bee	ھەسەل ھەرىسى
honey bee	بال ھەرىسى
مەن ئۇيغۇر	مەن ئۇيغۇر
مەن ئۇيغۇرمەن	مەن ئۇيغۇرمەن
kind	خىل
shoulder	غۇلاچ
span	غېرىچ
ئاش بولسۇن	ئاش بولسۇن
donkey	خىت
fruit	مېۋە
سىڭىشلىك بولسۇن	سىڭىشلىك بولسۇن
adjective decreasing degree suffix	ـراق
adjective decreasing degree suffix	ـرەك
decreasing	ئۇزۇنراق
decreasing	كىچىكرەك
emphatic	قىپقىزىل
adjective emphatic degree interfix	ـپـ
emphatic	سۈپسۈزۈك
brilliant white	ئاپئاق
exceedingly clear	ئاپئايان
very obvious	ئاپئاشكارا
obvious	ئاشكارا
tadpole	قۇمچاق
treasure	گۆھەر
moon	ـئاي
moon	ئاي
chef	ئاشپەز
Wikipedia	ۋىكىپېدىيە
province	ۋىلايەت
play	ئوينىماق
year	يىل
Islam	ئىسلام
and	ۋە
republic	җумһурийәт
cookie	پىرەنىك
animal	ھايۋان
hare	توشقان
elephant	پىل
fat	ماي
force	كۈچ
belief	ئېتىقاد
hoe	كەتمەن
lover	يار
China	Хитай
class	تۈركۈم
cake	تورت
segregation	ئايرىلىش
segregation	айрилиш
invisible	шәкилсиз
flight	пәрваз
pity	әпсус
clear	سۈزۈك
clear	сүзүк
light	يورۇقلۇق
light	йоруқлуқ
peer	تەڭداش
plant	ئۆسۈملۈكلەر
dirty	پاسكىنا
dark	قاراڭغۇ
moment	چاغدا
naked	يالىڭاچ
helper	ياردەمچى
world	ئالەم
all	پۈتكۈل
finished	تامام
shame	نومۇس
happy	خۇرسەن
existent	پەيدا
night	كېچە
daytime	كۈندۈز
sea	دېڭىز
season	پەسىل
strange	غارايىپ
large	چوڭ
wing	قانات
vegetable	كۆكتات
shape	شەكىل
invisible	شەكىلسىز
tree	دەرەخ
thus	مۇنداق
same	ئوخشاش
face	چىراي
command	بۇيرۇق
oral	ئاغزاكى
pressure	بېسىم
continuously	داۋاملىق
servitude	قۇللۇق
stand	تۇرماق
monster	مەخلۇق
man	ئىنسان
life	ھاياتلىق
unjust	ناھەق
statement	بايان
river	دەريا
defense	مۇداپىئەسى
boundary	چېگرا
time	ۋاقىت
very	تېخىمۇ
much	كۆپلىگەن
people	كىشىلەر
between	ئارىسىدا
only	بىردىن-بىر
right	دۇرۇس
person	كىشى
look	بايقىماق
male	ئەركەك
female	چىشى
pair	جۈپ
monthly	ئايلىق
food	ئوزۇق
food	ئوزۇق-تۈلۈك
biology	كۆپىيىش
realm	مەملىكەت
according to	بويىچە
abandoned	تاشلاندى
eastern	شەرقىي
instead	ئورنىغا
top	چوققىسى
hot	ئىسسىق
winter	زىمىستان
hygiene	سەھىيە
infected	گىرىپتار
emphasize	تەكىتلىمەك
express	بىلدۈرمەك
plague	ۋاباسى
city	شەھەر
farmer	دېھقان
compelled	مەجبۇر
political	سىياسىي
center	مەركىزى
research	تەتقىقات
world	دۇنيا
any	ھەرقايسى
examine	تەكشۈرۈش
straightness	توغرىلىق
prestigious	نوپۇزلۇق
sight	قاراش
negative	سەلبىي
west	غەرب
country	ئەللىرى
certain	مەلۇم
with all one's might	بولۇشىچە
report	دوكلات
positive	ئىجابىي
north	شىمالىي
weak	ناچار
economic	ئىقتىسادىي
relatively	نىسبەتەن
friendly	دوستانە
transportation	قاتناش
reason	ئەقىل
position	پوزىتسىيە
absolute	مۇتلەق
people	خەلق
collaboration	ھەمكارلىق
warm	مۆتىدىل
cause	سەۋەب
but	ئەمما
expressive	ئىپادىلىك
most	ئەڭ
thing	نەرسە
glass	ئىستاكان
classmate	ساۋاقداش
stoney	تاشلىق
high	ئېگىز
old	قېرى
yellow	سېرىق
bad	يامان
but	لېكىن
pretend	بولۇۋالماق
compare	سېلىشتۇرماق
building	قۇرۇلۇش
happen	تۇغۇلماق
brotherhood	قېرىنداشلىق
conscience	ۋىجدان
all	ھەممە
treatment	مۇئامىلە
relations	مۇناسىۋەت
go back	قايتماق
do	قىلماق
vegetable	سەي
straight	توغرا
foot	ئاياغ
say	دېمەك
easy	ئوڭاي
again	يەنە
full	تويماق
where	قەيەر
grass	ئوتخور
salmon	قايران
egg	تۇخۇم
slowly	ئاستا
speak	سۆزلىمەك
food	غىزا
evening	كەچلىك
banish	پالىماق
class	سىنىپ
pocket	يانچۇق
work	ئىشلىمەك
eat	يېمەك
usually	ئادەتتە
stick	كالتەك
why	نېمىشقا
together	بىرگە
peace	تىنچلىق
soft	يۇمشاق
after	كېيىن
when	قاچان
remark	ئەسكەرتمە
drunk	مەست
how many	قانچە
