day	kun
dog	it
thigh	son
bread	non
I	men
lamp	lampa
hajj	haj
color	rang
soul	jon
one	bir
flesh	et
elevator	lift
elephant	fil
that	u
most	eng
yes	ha
accusative case	ni
flour	un
bellows	dam
shop	sex
science	fan
in	da
place	joy
narrow	tor
candle	sham
film	film
theme	tema
mother	ona
raspberry	malina
adverb	hol
religion	din
eternity	abad
emperor	imperator
this	bu
and	va
foal	toy
namesake	adash
dream	tush
night	tun
not	emas
pants	shim
earth	yer
name	ism
brother	aka
month	oy
head	bosh
flower	gul
wool	jun
its	-i
snow	qor
few	oz
if	agar
tail	dum
Africa	Afrika
potassium	калий
giraffe	jirafa
week	hafta
North America	Amerika
medicine	tib
Monaco	Monako
Tatar	tatar
Slovak	slovak
mosque	masjid
stone	tosh
beer	pivo
barley	arpa
whiskey	viski
each	har
Ukraine	Ukraina
thousand	ming
oath	ont
tongue	til
Serb	serb
vase	vaza
ghost	ruh
term	atama
okrug	okrug
freedom	erk
oblast	oblast
quick	tez
bee	ari
system	sistema
now	endi
jack-knife	pakki
my	mening
hood	kapot
apple	olma
court	sud
cargo	yuk
Latvian	latish
Uzbek	ў
Uzbek Cyrillic	Ў
deaf	kar
Tajik	tojik
science	ilm
salt	tuz
cinema	kino
wind	yel
reject	brak
honey	asal
father	ota
work of art	asar
smoke	tutun
sailor	matros
rapping	duk
affliction	balo
Russian	rus
's	-ning
child	bola
cream	krem
Kurd	kurd
governor	hokim
water	сув
Oʻ	ʻ
Armenian	arman
orange	apelsin
student	talaba
Albanian	alban
university	universitet
skin	jild
temperature	temperatura
Vatican	Vatikan
metal	metall
one	бир
water	suv
urine	siydik
automobile	avtomobil
influence	nufuz
homeland	vatan
Englishman	ingliz
nerve	nerv
sink	rakovina
ocean	okean
broad	keng
equal	teng
two	ikki
this	shu
love	sevgi
biology	biologiya
sweater	sviter
playing card	karta
campaign	kampaniya
capitalism	kapitalizm
category	kategoriya
cinema	kinoteatr
film	kinofilm
classic	klassik
clinic	klinika
composition	kompozitsiya
communist	kommunist
constitution	konstitutsiya
energy	energiya
lemon	limon
money	pul
furniture	mebel
mission	missiya
fog	tuman
person	одам
slave	qul
snake	ilon
Romanian	rumin
soviet	sovet
Friday	juma
Lithuania	Litva
tobacco pipe	trubka
nose	burun
warehouse	sklad
bird	kush
power	kuch
ice	muz
homophone	homofon
or	yoki
poll	anketa
gymnastics	gimnastika
acrobatics	akrobatika
president	prezident
Lesotho	Lesoto
soap	sovun
holiday	bayram
Antarctica	Antarktida
law	zakon
cloud	bulut
factory	fabrika
pawn	garov
sarcophagus	sarkofag
sonnet	sonet
sun	shams
algorithm	algoritm
school	maktab
organism	organizm
will	iroda
black	qora
upright piano	pianino
parameter	parametr
island	orol
mother-in-law	qaynana
spectacle	spektakl
cantata	kantata
letter	harf
