road	te
hell	ad
tooth	pi
salt	sol
oar	air
under	al
swamp	so
bay	kara
blow	torta
word	sana
work	rata
milk	maid
bone	rod
shirt	paid
shit	sit
mild	ven
custom	vero
gall	sap
marry	naida
not	ni
tart	tort
paddle	mela
kilogram	kilo
chicken	kana
it	se
sea	meri
bone	lu
tree	pu
floor	lava
black	must
butter	voi
not	ei
he	hän
else	ika
put	panda
collar	rind
and	da
wall	sein
work	rad
coast	rand
fine	hen
who	ken
soap	muil
woodpecker	tik
sulfur	rik
stern	pera
fence	aid
help	abu
bean	babu
ceiling	lagi
I	minä
you	sinä
answer	vastata
blade	tera
wedding	sai
sleep	uni
ugly	ruma
money	raha
string	nor
quite	ani
snow	lumi
fish	kala
collar	seba
bad	paha
goat	koza
fun	ilo
blood	veri
kangaroo	kenguru
float	pullo
expression	kuva
pox	rok
test	testata
do	ala
bundle	vast
difference	ero
mouth	su
fight	tora
handle	pang
earth	ma
bench	part
petrol	benzin
stock	vara
take	veda
moist	märg
beer	olut
snake	gad
piece	pala
beard	bard
where	kuna
seed	semen
already	jo
spawn	kudo
end	lop
world	mir
face	mod
fishing line	sima
father	tat
adjective	adjektiv
swamp	nova
forest	mec
syllable	tavu
clearing	norm
boredom	tusk
ear	korv
under	alle
salmon	lohi
cow	lehm
wine	vin
belly	vac
genius	nero
paradise	rai
supplier	toi
chisel	taut
board	laud
be	olda
lie down	verda
yarn	lang
boat	laiv
shallow	lodo
fire	tuli
pine	hong
yes	ka
hard	kova
bridge	sild
flight	pago
conflagration	palo
furrow	vago
war	soda
plane	taza
fallen	hago
brook	oja
hurrah	ura
bribe	ot
three	koume
four	nel'l'
five	viž
seven	seičeme
eight	kahesa
nine	ühesa
ten	kümne
egg	muna
south	suvi
life	elo
stack	pino
for	täht
poem	runo
base	aug
perch	ahven
stone	kivi
or	vai
snot	rega
breast	povi
Kazakhstan	Kazahstan
brown	bur
sledge	regi
roller	tela
wave	ald
swallow	lainata
cut	leikata
blizzard	tuho
calf	vaza
choose	valita
photograph	foto
dew	kaste
taxi	taksi
touch	riža
here	naku
pit	kop
wool	vill
bird	lind
frost	hala
frame	rama
genus	sugu
nose	nena
stubble	säng
burrow	uru
where	kus
euro	evro
consonant	konsonant
long	amu
raft	laut
comb	suga
bring	sorta
delirious	horda
resin	ruga
aspen	hab
garment	soba
old	ak
bad	huba
dear	sula
visa	viza
behind	taga
teko	tego
smithy	paja
zander	kuha
louse	täi
salary	pauk
end	lopta
horn	sarv
copper	vask
blizzard	uho
pig	siga
ample	avar
trunk	tüvi
shy	arg
grass	hein
cinema	kino
flaw	viga
guide	satai
lion	lev
left	hura
navel	naba
spiral	puno
hindrance	sega
crumb	muru
gap	pilu
broom	lud
bring	toda
alder	lep
neighbor	sused
how	kut
crush	surda
reed	rogo
hearing	kulo
moment	kuro
grave	kaum
foot	laba
slurry	muda
fringe	ribu
pot	pada
stallion	oreh
thicket	korb
shepherd	paimen
meat	liha
cabin	koda
desire	himo
wax	vaha
worm	mado
smoke	savu
deed	teko
horn	torv
net	verk
mind	hama
sieve	segl
power	vald
will	taht
nail	nagl
before	edel
throat	kurk
thin	hoik
barren	maho
so	muga
nominative case	nominativ
genitive case	genitiv
ablative case	ablativ
smell	haju
cat	kaži
narrow	kaid
steam	puru
avocado	avokado
rise	nousta
place	parata
time	aig
eyelash	rips
smart	jalo
tight	kinged
sister-in-law	nado
go	aleta
price	arv
negative	negativ
forehead	oc
fashion	moda
strong	luja
in front	edes
hatred	viha
match	viri
scab	rubi
case	känd
many	äi
lake	järv
rub	hosta
line	rivi
Vatican	Vatikan
day	päiv
mountain	mägi
god	jumal
bread	leib
blue	sinine
orange	oranž
iron	raud
gold	kuld
clay	savi
dust	laho
skin	nahk
line	jono
give	jotta
