bone	luu
maternal uncle	uno
farm	talo
chicken	kana
sea	meri
black	must
beach	rand
twilight	ago
garden	aid
ceiling	lagi
earth	maa
fallow	kesä
water	vesi
arm	käsi
sheep	lammas
expensive	kallis
December	joulukuu
snow	lumi
fish	kala
tree	puu
without	ilma
sky	taivas
blood	veri
brother	veli
name	nimi
wolf	susi
way	tii
cow	lehm
fire	tuli
matter	asi
live	elämä
oven	ahi
body	iho
brook	oja
four	neli
ten	kümme
three	kolm
egg	muna
hundred	sada
summer	suvi
honey	mesi
eye	silm
head	pää
lynx	ilves
stone	kivi
branch	oss
part	osa
deed	tego
tooth	hammas
urine	kusi
nest	pesä
louse	täi
weather	ilm
smith	sepp
old	vana
help	abi
tin	tina
long	pikk
sour	hapu
meat	liha
house	koda
foot	jalg
back	perä
France	Prantsusmaa
Norway	Norra
step	astma
time	aig
sauna	sann
anger	viha
October	rehekuu
January	vahtsõaastakuu
February	radokuu
March	urbõkuu
April	mahlakuu
May	lehekuu
June	piimäkuu
July	hainakuu
August	põimukuu
September	süküskuu
November	märtekuu
year	aastak
week	nätäl'
day	päiv
second	sekond
know	tundma
hill	mägi
coat	kask
ear	kõrv
juice	mahl
blue	sinine
aluminium	alumiinium
iron	raud
gold	kuld
Saaremaa	Saarõmaa
Lithuania	Leedu
Russia	Vinnemaa
Greece	Kriika
Küprüsse	Küprüs
Macedonia	Makõdoonia
Sweden	Roodsi
Romania	Romaania
Germany	S'aksamaa
Slovenia	Sloveeniä
Finland	Soomõ
Czech Republic	Tsehhi
United Arab Emirates	Araabia Ütisemiraadiq
Egypt	Egüptüs
Philippines	Filipiiniq
Timor	Hummogu-Timor
Indonesia	Indoneesiä
Cameroon	Kamõrun
Kazakhstan	Kasastan
clay	savi
get	tuuma
Baltic Sea	Õdagumeri
Wikipedia	Vikipeediä
mathematics	matõmaatiga
nowadays	seo ilma aigo
father	esä
I	maq
barley	kesv
computer	puutri
animal	elläi
computer	kompuutri
happiness	ynn'
shadow	vari
hair	hius
hay	hain
drive	ajama
book	raamat
male dog	koir
hunger	nälg
son	poig
light	kerge
tar	tõrv
witch	nõid
get	saama
king	kuning
oats	kaar
field	põld
river	jõgi
rain	vihm
piece	tükk
beer	oluq
