Kayah Li	ꤊꤢ꤬ꤛꤢ꤭ꤜꤟꤤ꤬
climb	ꤓꤛꤢ꤬
sharp	ꤓꤛꤢ꤭
pig	ꤓꤛꤢ
husband	ꤠꤢꤧ꤬
I	ꤠꤢ꤭
water	ꤓꤛꤢꤩ꤭
sour	ꤏꤛꤢꤩ꤬
ten	ꤏꤛꤢꤩ
bamboo	ꤠꤟꤢꤧ꤬
ꤞꤢꤧ	ꤜꤝꤟꤤ꤭
one	ꤒꤣ꤬
zero	ꤚꤢ꤬ꤠꤟꤢ꤬
ꤞꤢꤧ	ꤔꤛꤢꤩ꤭
ꤞꤢꤧ	ꤑꤟꤢ꤭
democracy	ꤘꤟꤤ꤬ꤗꤥ꤬ꤊꤚꤢꤩ꤬ꤎꤤ꤬
Myanmar	ꤗꤟꤛꤢ꤬ꤊꤟꤢꤩ
Asia	ꤢ꤬ꤏꤛꤢꤊꤟꤢꤩ
Thailand	ꤕꤚꤟꤢꤩꤐꤝꤤ꤬ꤊꤟꤢꤩ
China	ꤟꤢꤩ꤭ꤊꤟꤢꤩ
India	ꤊꤢꤨ꤭ꤜꤤꤊꤟꤢꤩ
opium	ꤖꤤ꤭
crab	ꤏꤝꤥ꤬
moon	ꤜꤢꤧ꤭
bird	ꤓꤢꤨ꤬
snake	ꤚꤟꤢꤨ
bone	ꤊꤚꤝꤤ
horse	ꤒꤢ꤬ꤞꤤ
machine	ꤡꤢꤧ
flower	ꤖꤥ꤭
sleep	ꤥ꤬ꤗꤛꤢꤩ
leaf	ꤜꤢꤧ꤬
leaf	ꤞꤢꤪ꤬ꤜꤢꤧ꤬
tree	ꤞꤢꤪ꤬
knife	ꤘꤤ꤬ꤓꤥ
fire	ꤗꤤ꤬
give	ꤘꤛꤢꤩ
dog	ꤓꤝꤤ꤬
red	ꤜꤟꤤ꤬
white	ꤙꤢꤨ꤭
yellow	ꤙꤛꤢ꤭
pot	ꤕꤟꤢꤪ꤬
vagina	ꤜꤟꤤ
penis	ꤓꤤ꤬
book	ꤜꤤ꤬
he	ꤢ꤬
he	ꤢꤧ꤬
mother	ꤗꤟꤌꤣ
capital city	ꤠꤟꤤ꤭ꤗꤟꤌꤣ
money	ꤚꤢꤦ꤭
come	ꤟꤛꤢ꤭
want	ꤞꤢꤧ
want	ꤞꤢꤧꤐꤟꤢꤦ
needle	ꤓꤢꤧ
name	ꤗꤝꤟꤤ꤬
year	ꤔꤢ꤬
go	ꤡꤛꤣ
passport	ꤕꤢꤎꤕꤥ
telephone	ꤓꤢꤧ꤬ꤜꤤ꤬ꤖꤥ꤭
battery	ꤙꤢꤧ꤬ꤓꤚꤟꤤ꤬
beer	ꤙꤤ꤬ꤛꤢ꤬
Internet	ꤢꤩ꤬ꤓꤣ꤬ꤔꤢꤧ
hotel	ꤟꤢꤪ꤬ꤒꤢꤧ꤬
computer	ꤊꤢꤪ꤬ꤕꤛꤢꤨ꤬ꤒꤣ꤬
cigarette	ꤎꤤꤊꤚꤢꤧ
chocolate	ꤡꤛꤢꤪꤊꤜꤢꤧ
camera	ꤋꤢꤧ꤬ꤗꤣ꤬ꤚꤢ꤬
cancer	ꤋꤢꤧ꤬ꤎꤣ꤬
cat	ꤓꤛꤥ
follow	ꤊꤚꤝꤥ꤭
take	ꤖꤛꤢꤩ
you	ꤔꤟꤢꤧ꤬
you	ꤞꤤ꤭
we	ꤕꤟꤢꤧ꤬
lung	ꤞꤢꤨ꤬
send	ꤞꤢꤨ꤭
fat	ꤞꤢꤨ
father	ꤖꤢꤧ꤭
way	ꤊꤜꤛꤢ
run	ꤊꤜꤛꤢ꤬
thing	ꤒꤟꤢꤧ꤬
tax	ꤢ꤬ꤗꤥ꤬ꤢ꤬ꤚꤢ
sheep	ꤞꤤꤗꤟꤤ
frog	ꤘꤤ꤬
gold	ꤓꤢꤧ꤭
tail	ꤋꤢ꤭ꤗꤟꤤ
blood	ꤞꤝꤤ꤬
blood	ꤞꤝꤤ꤬ꤓꤛꤢꤩ꤭
eight	ꤞꤛꤥ
salty	ꤏꤢꤦ꤭ꤟꤢꤧ꤭
know	ꤞꤢꤧꤑꤢꤩ꤭
house	ꤟꤤ꤬
elephant	ꤒꤢ꤬ꤏꤛꤢ꤭
turtle	ꤒꤢ꤬ꤊꤜꤤ
