die	fa
tall	de
drink	sela
be	ba
lost	suka
swim	dada
rinse	pula
bad	bi
N	n
yes	ewe
stand	mela
four	ne
these	la
grind	cola
come	vela
knock down	gila
go	hamba
increase	anda
wrong	ona
dance	duda
refuse	ala
thing	into
those	abo
halt	ma
Zulu	isiZulu
brush hair	kama
come	za
farm	lima
fish	loba
stop	misa
head	singa
confiscate	thimba
clean	coca
learn	funda
stay	sala
brew	sila
sick	gula
cold	banda
naked	ze
cut up	viva
go	ya
bend	goba
light	basa
cut	sika
blame	sola
give	nika
pleasant	yola
wait	linda
naked	jaja
confess	bula
peel	kela
oh	awu
pick up	chola
dry	oma
clear	caca
this	eli
barbecue	oja
close	vala
that	elo
escape	sina
request	cela
it	kona
avoid	vika
corner	ikona
count	bala
expensive	duru
humaneness	ubuntu
that	eso
disappoint	dana
prickly pear	itolofiya
matter	indaba
fart	suza
fall	wa
boil	bila
wipe	sula
meeting	imbizo
mountain	intaba
when	xa
frown	jala
fetch	landa
stretch	naba
you	nina
admire	buka
eliminate	denda
shed	buna
pick	vuna
two	bini
army	impi
open	vula
blood	igazi
we	thina
know	azi
tea	iti
extinguish	cima
click	cofa
stir	bonda
he	sona
cross	wela
Xhosa	isiXhosa
bit	kancinci
speak	thetha
boyhood	ukoluka
report	bika
heal	mila
hello	molo
that	lowo
those	leyo
be like	fana
hug	wola
hungry	lamba
rot	bola
this	olu
cry	lila
post	posa
initiate	ikrwala
wild animal	isilo
tradition	isintu
Sotho	umSuthu
despise	dela
plan	ceba
vote	vota
dog	inja
bite	luma
establish	seka
so	nje
tempt	henda
cause	banga
knee	idolo
drop	wisa
right	lunga
hang	lenga
prohibit	alela
wet	manzi
rest	lala
sing	cula
tent	intente
that	olo
one	nye
circumcize	elusa
don't	musa
think	cinga
swear	funga
heal	onga
arrive	fika
pay attention	hoya
corrode	dla
touch	bamba
sharpen	lola
sister	idade
black	mnyama
flourish	chuma
suffice	anela
of	za-
oppose	chasa
put	faka
light	lula
eagle	ukhozi
grow	khula
accuse falsely	naka
cure	nyanga
those over there	abaya
this	esi
those over there	lawa
mother	unina
urinate	chama
win	wina
confess	xela
goodbye	hamba kahle
show	veza
gun	umpu
hang	jinga
earn	zuza
health	impilo
head	intloko
frighten	thusa
with	na-
surprise	zuma
want	funa
elephant	indlovu
forge	khanda
dread	nyanya
only	qha
class name	isibongo
smell	nuka
try	zama
that	obo
equal	lingana
who	ubani
dislocate	kruna
make	balisa
put	beka
gallop	phala
appease	zola
photograph	fota
turn	jika
house	indlu
cat	ikati
moon	inyanga
chop	canda
rot	vunda
leopard	ingwe
recover	chacha
knife	imela
owl	isikhova
hmm	mh
shave	cheba
give	pha
milk	senga
headman	induna
say	thi
herd	lusa
represent	zela
outstanding	mandla
exaggerate	baxa
taste	incasa
pretty	bukekela
I	mna
peel	chuba
tomorrow	umso
chief	inkosi
old	guga
recognize	chana
loose fitting	wakuwaku
greet	bulisa
dig	mba
bee	inyosi
invite	mema
swell	dumba
dose	seza
poor	sokola
thank	bonga
listen	mamela
give away	nikela
apex	incam
rejoice	giya
remove	susa
shape	bumba
well	phila
boy	umfana
Zulu	umZulu
don't	musani
draw	zoba
return	buya
big	khulu
hundred	ikhulu
sky	izulu
