evening	malam
language	bahasa
moon	bulan
famine	unus
folktale	kissa
time	waktu
ash	abu
salt	asin
harp	alpa
we	kite
far	tala
teacher	guru
Jew	Yahudi
rain	ulan
purple yam	ubi
fine	multa
sleep	tuli
eye	mata
peanut	mani
flute	suling
athlete's foot	abas
mosque	masjid
dog	asu
fish	kenna
suitcase	maleta
bark	uma
ivory	garing
face	harap
book	kitab
soap	sabun
salute	salam
glass	basu
pillowcase	punda
so that	supaya
mango	mangga
louse	kutu
hand	tangan
chicken	manuk
dragon	naga
breast	susu
plank	papan
profit	untung
sprout	tunas
glass	sawan
beeswax	talu
bucket	baldi
cholera	kolera
two	duwe
brain	utek
handcuffs	posas
tomorrow	sumu
hat	saruk
tickle	kirik
week	simana
buy	belli
pebble	pegge
shave	urut
document	sulat
sack	karut
crown	korona
milk	gatas
near	tapit
groomsman	unul
banana	uyat
flower	sumping
piggy bank	alkansiya
pig	bawi
gold	bulawan
mudfish	dalag
stain	mansa
morsel	koret
sweet	mamis
taste	kinam
guess	untuk
sand	umus
debt	utang
snake	sawe
pancake	apam
canistel	kisas
tassel	jambu
cucumber	maras
beauty	mannis
guide	malim
mangosteen	manggis
sour	lessem
tail	engko
from	amban
sin	duse
tree trunk	batang
umbrella	payung
Sunday	Ahad
mouth	behe
Monday	Isnin
rainbowfish	sulig
run	ubas
cut	tabas
conjunctivitis	belad
water	bohe'
chick	itik
six	ennem
yolk	igad
good	wajib
rice	bihun
brass	tumbaga
silver	pilak
flame	kayat
Tuesday	Salasa
Mecca	Makka
medicine	tambal
ladle	gayung
help	tabang
sun	ellew
albino	ugis
pomelo	lukban
little finger	kingking
corpse	mayat
walk	lengngan
coconut	lahing
livelihood	usaha
egg	pugad
towel	tuwalya
skin	kuwit
pickle	kilaw
young	beteng
taro	ubak
fingernail	kukku
chick	usuy
scratch	koles
clock	delos
fever	lemmun
eyebrow	kiley
armpit	ilek
watchman	unung
front	harapan
sugar	sokal
nickname	ugey
crow	owak
hermit crab	omang
mirror	sāmin
life	umul
voice	lagam
fishhook	pessi
Egypt	Misil
three	tellu
ten	sempū'
one	issa'
lullaby	yaya'
money	sīn
example	upama
compensation	ulul
joke	ulahan
floor	kāpan
worship	sumba
ride	sakey
crumb	keppe
cake	mamun
narrow	kiput
roof	sapew
nose	ūng
regret	susun
bracelet	gallang
lace	ingkahi
