borscht	борщ
carry	тас
hold	тут
Yakut	һ
Arctic	Арктика
giraffe	жирафа
earth	сир
grammar	грамматика
bus	автобус
bicycle	велосипед
wine	вино
doctor	врач
go	бар
grass	от
piebald	ала
who	ким
broth	мин
machine gun	пулемёт
stand	тур
hotel	гостиница
salmon	лосось
gram	грамм
kilometer	километр
suck	эм
you	эн
man	эр
copper	алтан
battery	батарея
mustard	горчица
code	код
engineer	инженер
horsehair	кыл
fish	балык
lawyer	юрист
hectare	гектар
milk	үүт
sand	кумах
nature	айылҕа
life	олох
death	өлүү
god	таҥара
religion	итэҕэл
dance	үҥкүү
neighbour	ыал
person	киһи
dirt	кир
room	хос
duck	кус
pour	кут
star	сулус
head	бас
food	ас
sea	далай
tongue	тыл
Kazakh	казах
meat	эт
horse	ат
other	атын
Russian	нуучча
one	биир
two	икки
four	түөрт
five	биэс
six	алта
three	үс
seven	сэттэ
eight	аҕыс
nine	тоҕус
ten	уон
twenty	сүүрбэ
thirty	отут
forty	түөрт уон
fifty	биэс уон
sixty	алта уон
seventy	сэттэ уон
eighty	аҕыс уон
ninety	тоҕус уон
frontal	сүүс
mind	өй
there is	баар
shoulder	сарын
song	ырыа
sun	күн
friend	доҕор
night	түүн
nettle	ытырыык от
mountain	хайа
cloud	былыт
salt	туус
sugar	саахар
Sakha	Саха
seed	туораах
know	бил
China	Кытай
fork	бииккэ
poison	дьаат
honey	мүөт
father	аҕа
neck	моой
crocodile	луобуйа
beer	пиибэ
name	аат
spring	саас
Нь	нь
fly	көт
mouth	айах
wolf	бөрө
hare	куобах
cow	ынах
bone	уҥуох
drop	таммах
smoke	буруо
sow	ыс
finger	тарбах
lick	салаа
louse	быт
river	өрүс
snow	хаар
rain	самыыр
wind	тыал
air	салгын
city	куорат
bread	килиэп
road	суол
recent	өтөр
dog	ыт
veterinarian	ветеринар
die	өл
kill	өлөр
knife	быһах
axe	сүгэ
table	остуол
iron	өтүүк
berry	отон
needle	иннэ
carrot	моркуоп
potato	хортуоппуй
flower	чэчик
house	дьиэ
window	түннүк
wave	долгун
elder	аҕас
younger	балыс
wife	ойох
son	уол
woman	дьахтар
heart	сүрэх
eye	харах
lip	уос
tooth	тиис
ear	кулгаах
chest	түөс
fist	сутурук
computer	көмпүүтэр
book	кинигэ
skin	тирии
true	кырдьык
brain	мэйии
lock	күлүүс
love	таптал
lie	сымыйа
boat	оҥочо
ice	муус
leaf	сэбирдэх
birch	хатыҥ
law	сокуон
slave	кулут
snake	моҕой
mirror	сиэркилэ
magazine	сурунаал
sky	халлаан
animal	кыыл
camel	тэбиэн
lynx	бэдэр
lynx	үүс
hail	тобурах
field	хонуу
sign	бэлиэ
ray	сардаҥа
bed	орон
fox	саһыл
article	ыстатыйа
news	сонун
war	сэрии
peace	эйэ
warrior	сэрииһит
ant	кымырдаҕас
threshold	модьоҕо
hat	бэргэһэ
silk	солко
letter	буукуба
dictionary	тылдьыт
wine	арыгы
light	сырдык
help	көмө
nail	тыҥырах
lake	күөл
summer	сайын
rainbow	кустук
evening	киэһэ
morning	сарсыарда
he	кини
we	биһиги
you	эһиги
they	кинилэр
paper	кумааҕы
