person	tao
foot	ai
silver	perak
fish	among
child	anak
river	ayo
great	azda
cat	koza
year	awan
salt	asin
watch	toki
hand	lima
who	sino
head	oo
younger	wari
they	sia
long	anaro
ash	avo
ball	bozo
he	ya
cow	baka
father	ama
eat	kan
eye	mata
fingernail	koko
termite	aod
village	ili
many	aro
sea	awa
edge	asked
wax	taro
thigh	opa
umbrella	payong
grandmother	akes
decorative	gaza
sour	langet
grandchild	apo
chicken	manok
sun	araw
mother	ina
egg	lisa
window	mado
forehead	zogo
flower	hana
tongue	lila
older	kaka
tree	kayo
kind	alimango
morning	dagdag
rock	mao
taro	soli
eel	tona
uncle	maran
bag	alavat
brain	etek
squid	anos
eating	akanan
fat	tava
strong	angin
pillow	tangen
you	kamo
salty	pait
spit	cipa
he	iya
pig	kois
right	wanan
dog	ino
trousers	abtan
button	azotan
flying fish	alibangbang
gall bladder	apdo
broth	asoy
liver	atay
duck	bibi
gill	arang
jaw	sangi
betel palm	avoa
pancreas	lilas
bat	panici
wrinkle	aget
cooked	kanen
sky	angit
sharp	matarem
fat	matava
sugarcane	onas
soap	siken
monkey	sazo
finger	kamay
moss	omot
Japan	Itpon
dance	ganam
lazy	malma
fork	tatari
scale	isis
mouse	karam
ear	talinga
fire	apoy
roof	atep
fate	alag
eagle	manai
grandfather	akay
weevil	mosi
small	likey
water	ranom
evil	anito
watermelon	somon
sand	anay
coral	ahan
tail	ipos
roe	apia
small	wasay
earwax	cilo
back	likod
smelly	angot
layer	tapil
dark	demdem
owl	totoo
name	ngaran
fart	atot
hat	sakop
menstruation	atoa
toy	lalam
sweet potato	wakay
cover	toong
pantropical	valino
house	vahay
buttocks	atang
tear	kaoo
pineapple	pinapo
pomelo	rahalap
banana	vineveh
egg	icioy
earthworm	kalkalten
caterpillar	kavokovokot
praying mantis	cilacilan
centipede	alilipoan
longhorn beetle	miozong
potter wasp	alalambang
fly	naned
goat	kagling
duck	kaemes
ram	avoag
boar	aviik
rooster	sasavongan
frog	tozatoza
snake	volay
sea cucumber	sadsadan
spider	aaraw
spicy	manongit
Bible	seysio
church	kiokay
crucifix	jiojika
spirit	pahad
rope	cingdasan
gift	azaw
straw	atpil
airplane	sikoki
money	nizpi
book	vakong
bird	lap'ik
hair	ovok
face	moing
tooth	ngepen
mouth	ngongoy
nose	momodan
telephone	dingwa
clothes	talili
table	pivatvatekan
afternoon	makoyab
night	maep
morning	pepnezak
tomorrow	simaraw
yesterday	nokakoyab
today	siciaraw
red	mabazangbang
white	malavang
corn	tomozokosi
leaf	voong
grass	tamek
doctor	koysang
student	mivatvatek
teacher	sinsi
friend	kagagan
coconut	anioy
here	jito
computer	tianaw
basket	yala
medicine	kosozi
pumpkin	piniaw
guava	vanselio
uncooked	mogis
mountain	tokon
rice	apseng
moon	vehan
star	mata no angit
cloud	cinalab
rainbow	rangirang
door	pangengneban
rain	cimoy
thank you	ayoy
short	alinged
light	mapaw
heavy	marehmet
few	apereh
small	alikey
big	arako
tall	makarang
low	maveveh
low	ma'ep'ep
happy	masaray
hardworking	maoyat
body	kataotao
aunt	kaminan
mandarin orange	vazacinok
woman	mavakes
man	mehakay
rain	kacikacicimoyin
stinky	mangot
bone	toang
you	kanio
western	kasarian
breakfast	ariagen
clothes	ayoayob
shadow	avong
boat	avavang
Manila hemp	avaka
middle	avak
stone	atoy
springwater	atbed
latch	aslet
meat	asisi
date	araraw
lung	apoaw
relative	apapnan
smoke	aob
song	anood
sweat	annget
wind	mapagpag
oil	aneng
vehicle	aleleh
belt	abtek
thunder	adey
Job's tears	agegey
fur	bobow
eyebrow	ciray
movie	paciracirayin
oblate	eraed
beach	evek
school	gako
knife	ipangan
sea snake	izabo
lizard	kagozagozang
woodworker	mikeykawaz
chair	lilisnan
small	lapiik
nasal	laktat
stern	maoji
ewe	mavinai
police	mikalsong
boar	miwanay
rice	mojis
chest	zagaw
axe	zaig
shark	zokang
end	zosok
ash	zoto
grasshopper	zozon
yawn	yoab
ant	vahao
oar	vavakong
flashlight	dingki
seek	kalaen
warship	gengkang
orchid	gociozang
hallelujah	haliloya
post office	ibingkiok
television	tizibi
ring	ibiwa
university	gaksi
slice	gagay
breadfruit	cipoo
intestines	cinai
cork	cilcil
lightning	cilat
corn	cilan
bowl	ciawang
clothes	ayob
thirsty	awaw
fire truck	matolatolang a aleleh
mole cricket	ahahawa
night	aep
tonight	simaep
yesterday	nokamaep
flower	savong
incisor	sangora
chin	tomid
shoe	tokap
ridge	tokad
letter	teygami
throat	tetehnan
towel	tengey
fishing	tawaz
bedbug	tatomok
caterpillar	tataroan
bee	tapipi
heart	taoz
side	tangked
mosquito	tamonong
walk	ngalam
Yami	ciriciring no tao
kid	kanakan
language	ciriciring
