them	aam
masculine	kun
about	abut
heat	het
day	die
husband	man
faggot	crap
and	an
whet	what
by	bee
be	ba
ere	ear
eat	slug
bear	ber
wearing	were
bread	breed
duck	dig
dog	dug
filled	felt
food	met
brave	bra
road	leet
hand	teach
dirt	ven
never	near
sorrow	sorry
know	note
last	lash
I	ich
with	wee
stick	bath
fairy	elf
wealth	grue
mill	mile
no	na
quoth	co
fat	vat
point	pint
weasel	vier
seven	zeven
life	lief
when	fan
frighten	fare
put	don
fool	mope
groat	grate
the	ee
sharp	keen
nine	neen
drawing	draught
drink	ty
chicken	chick
rib	rub
pie	pee
regard	ken
fault	fout
our	oor
set	zet
poor	boor
hedgehog	boar
meadow	mead
bawl	hol
faggot	blaze
red	reed
bone	bane
voice	vice
stewed	zed
sup	zap
dash	dab
ass	ess
pike	pick
could	cou
trees	tren
park	park
bank	patch
loss	lass
so	zo
big	mucha
stitch	grip
lump	pocket
just	gist
cake	busk
dead	deed
heart	hearth
fish	wish
give	gee
knife	spud
cold	cole
cross	cress
strip	doff
deal	dole
newt	eft
chance	hap
shod	shad
shut	tine
wheat	whet
white	whit
any	aught
physician	leech
pray	pry
rye	ree
shall	shell
slight	sleight
sod	thrive
roll	troll
greatcoat	capote
your	yer
holy	holly
boy	bye
rain	rhyne
awl	noll
hall	haul
shell	shawl
toss	kink
shoe	brogue
she	shoo
hunt	hint
wisp	wad
dwarf	amach
boil	bile
torn	runt
week	wick
unless	albeit
for	vor
far	var
old	yola
belly	jock
car	truckle
else	elles
ashes	ashen
tub	tib
the	a
smother	smore
die	dee
fog	fug
not	nat
dunghill	mizen
spider	attercop
smoke	smock
slip	slider
some	zim
heifer	hiver
quay	kie
of	af
quarter	ete
web	weft
can	koan
eve	eave
kid	titch
fill	vill
hollow	hel
hung	ung
God	Gud
talk	gabble
confusion	fash
lower	nether
all	aul
barrel	brail
soon	zoon
finger	vinger
fork	vork
tantalize	grig
sour	frump
ago	agone
fall	vall
plural	-es
call	clepe
beer	letch
idiot	gom
Irish whiskey	usquebaugh
meddle	mell
before	avar
covered	helt
broad	brode
bee	bumble-bee
button	knapp
amen	amain
glitter	shimmer
meal	mele
yes	yee
star	starr
over	ower
nap	nappe
table	borde
flags	levers
gorse	goss
fire	vire
not	no
draw	dra
put	pidh
one	oan
rod	rade
grey	gry
me	mee
sun	zin
song	zong
mass	messe
impede	balke
horn	hoorn
within	arum
able	boney
crown	pul
peevish	cornee
Joseph	Josef
hold	hend
us	ouse
way	wye
fist	hist
from	vrem
dumplings	kappas
should	shoulde
