stomach	ini
rabbit	iso
flower	ita
comb	kuka
rain	sau
deer	isu
moon	yoo
yesterday	iku
puppy	tele
horse	kuayu
dog	ina
fawn	mitu
come	kii
braid	lasu
aunt	xixi
woodpecker	liki
delicious	asun
plough	latu
pus	lakua
heart	añu
coyote	vaꞌu
ant	choko
night	jakuaa
opossum	jakoo
kid	litu
cat	vilu
quelite	yuva
belly	chii
fish	chaka
brain	meke
calf	chelu
water	nducha
bobcat	vilu yuku
squirrel	kuañu
rebozo	pañu
bone	yɨkɨ
tree	yujnu
sky	andɨvɨ
last year	andujin
pinecone	chɨꞌnkɨ
violin	yolii
raccoon	maꞌan
great-tailed grackle	saa jnuu
chachalaca	lajan
hummingbird	nchoꞌo
banana	ndika
crow	tɨkaka
orange	tɨkuaa
butterfly	tɨkuva
All Saints' Day	Viko Ndɨyɨ
sand	ñɨtɨ
bean	nduchi
arm	ndaꞌa
cloth	saꞌma
today	vijna
house	veꞌe
uncle	xito
brother	ñani
foot	ja'a
rooster	liꞌi
wasp	chijna
skunk	chɨꞌɨn
hen	chuun
fifteen	xia'un
