hail	bat
penis	keep
eye	ich
one	hun
spider	am
first-person singular	-en
fish	kay
one	jun
penis	toon
four	kan
eat	jan
drag	kool
get down	baan
avocado	oon
sit	kul
red	chak
six	wak
neck	kaal
pitahaya	woob
white	sak
snake	kaan
dry	tikin
papaya	puut
rain	chaak
chest	taan
hide	baal
wife	atan
bone	baak
butt	iit
speech	tʼaan
dog	peek’
sweet	chʼujuk
bitter	kʼaaj
hairy	tso’otsil
dead	kimen
alive	kuxa’an
dance	ookʼot
die	kiim
sing	k’aay
tree	cheʼ
sky	kaʼan
walk	xiimbal
laugh	cheʼej
kill	kiins
blood	kʼiʼikʼ
question	k’aat
tomato	pʼaak
fold	paak
rich	ayikʼal
poor	ootsil
nail	baaj
think	tuuk
dream	naay
eat	jaant
bite	chiʼ
sing	k’ay
shark	xok
teach	kaʼans
wet	chʼuul
handsome	ki’ichpam
handsome	ki’ichkelem
sit cross-legged	tsʼuk
lean	k’eb
descend	eem
house	otoch
man	xiib
star	eekʼ
sun	kʼiin
constellation	eekʼoʼob u tsolmubaoʼob
masculine	xiibil
armpit	xiikʼ
butterfly	peepem
baby	chaanpal
new	tuumben
name	kʼaabaʼ
wild animal	baʼalcheʼ
domestic animal	aalakʼ
urine	wiix
secret	mukul
mukul t’aan	mukul t’aan
eʼel keep	eʼel keep
navel	tuuch
skinny	sitil
thief	ookol
lagoon	aakʼal
hoe	tuhnkuy
rainbow	cheel
raven	joj
nose	niʼ
seven	uk
hummingbird	tsʼunuʼun
number	xook
semen	saʼil keep
lemon	muliix
orange	pakʼaal
apple	chak pakʼaal
thing	baʼal
small	chaan
slow	chaanbeel
egg	eʼel
saliva	tuub
beer	cheba
beer	seerbeesa
heat	ooxol
nipple	pool im
bag	chiim
cheese	keex
shoe	xanab
naked	chaknuul
undress	chaknuult
book	juʼun
freedom	jaalkʼab
appear	chiikpahal
well	maʼalob
chiʼibal kʼiin	chiʼibal kʼiin
chiʼibal uh	chiʼibal uh
eclipse	chiʼib
drunk	kala’an
idea	tuukul
say	aʼal
understand	na’at
fog	yeeb
cloud	muunyal
tortilla	waaj
kiss	ts’u’uts’
mound	muul
beautiful	jatsʼuts
irrigate	jooyab
now	bejlaʼeʼ
skull	tseek’
cheek	p’u’uk
fire	k’o’ox
puma	koj
tangle up	baakʼ
smooth	baats'
hit	baax
play	báaxal
eleven	buluk
not	ma'
water	jaʼ
corn	ixiʼim
abyss	julekʼ
accusation	takpoolil
needle	púutsʼ
godson	mejenilan
wing	aiikʼ
year	jaʼab
rooster	t’eel
husband	íicham
cloud	múuyal
knee	píix
hand	k’ab
leaf	le’
window	kalom kʼiin
forest	k’áax
stone	tuunich
body	wíinklil
door	jool naj
man	wíinik
garden	páakʼalnikteʼ
heart	puksiʼikʼal
soul	pixan
person	máak
house	naaj
house	naajil
priest	aj kʼiin
slave	palitsil
mirror	néen
gift	siibal
Baird's tapir	tsíimin
green	yaʼax
land	luʼum
stone	chʼiichʼ
you	teech
mouse	chʼoʼ
jaguar	báalam
black	boox
nine	bolon
very	paymun
river	uk’um
very	jach
banana	jaʼas
egg	e'el
opossum	ooch
parrot	t'uut'
butterfly	péepen
egg	jeʼ
turtle	áak
cenote	tsʼonot
rainbow	chéel
iguana	juuj
three	óox
ten	lajun
bus	buus
louse	ukʼ
ant	síinik
back	paach
rabbit	tʼuʼul
pinky finger	tʼuup
Ortalis vetula	baach
sugar	asukaar
vampire bat	chikoop
fire	kʼáakʼ
white-nosed coati	chiʼik
domestic cat	miztún
scorpion	síinaʼan
tick	peech
crocodile	áayin
monkey	maʼax
pig	kʼéekʼen
collared peccary	kitam
dog	peekʼ
toad	muuch
eight	waxak
ten	lahun
twelve	lahkaʼa
twenty	hun kʼáal
four hundred	hun bak
four thousand	hun pik
fingernail	íichʼak
hat	pʼok
knuckle	pʼik bakel
cheek	pʼuk
cockroach	xkʼuuruch
horn	xulub
cooked	takʼan
cattle	wakax
skunk	páay
skunk	páay ooch
writer	jtsʼíib
broom	míisib
bird	chʼíichʼ
association football	kóochakʼ boola
flamingo	méekʼ koj
howler monkey	baʼatsʼ
jaguar	chak moʼol
squash	kʼúum
swelling	siipʼ
comal	xamach
nostril	jool niʼ
elbow	kúuk
plain	chakʼan
blue marine	boox chʼooj
bat	sootsʼ
shadow	bo’oy
eagle	kóot
deer	kéej
coyote	utiúu
whale shark	kʼan xok
anteater	chab
tapir	tsíimin kʼáax
weasel	sáabin
bear	sam jo’ol
dolphin	pixan kay
guava	pichib
fox	chʼomak
tayra	sam pool
two	kaʼa
quail	beechʼ
canine tooth	tsʼaʼay
Mérida	Joʼ
five	joʼ
recognize	kʼajool
blue	chʼooj
anteater	sam ma’k’óol
turkey	úulum
turkey vulture	chʼoom
pelican	pʼontʼo
