hat	sombrero
garlic	ajo
rooster	gallo
book	libro
apple	manzana
shovel	pala
dog	itzcuintli
trousers	pantalon
orange	naranja
hammer	martillo
rabbit	tochtli
nail	clavo
shirt	camisa
sheep	ichcatl
child	piltzintli
moon	metztli
mouse	quimichin
man	tlacatl
spider	tocatl
dish	caxitl
coyote	itzcuincoyotl
axe	acha
hominy	nixtamal
corncob	olotl
fresh	elotl
house	kalli
avocado	auacatl
basket	tlaxcalchiquiuitl
corn tassel	miyauatl
raccoon	mapachin
chair	icpal
pig	lechon
deer	masatl
metate	mitlatl
woman	siuatl
sun	tonaltzin
turkey cock	uehxolotl
chicken	caxtil
cat	miston
girl	ichpocatl
boy	telpocatl
tumpline	micapal
mattock	tlalacha
fox	ostotl
opossum	tlacuatl
fly	sayolin
green bean	ixotl
bean	itl
corncob	sintli
skirt	cueyitl
dough	tixtli
guava	xalxocotl
dog	itzkwintli
tree	powitl
few	omeyeyi
also	noyiwki
malaria	atonahuistli
good evening	quiltitzinon
wind	ejecatl
mud	soquitl
Monday	lones
cassava	poucamojtli
lightning	tlapitlanil
turkey hen	totol ilamah
cow	cuapoueh
lamb	collelohtzin
caterpillar	techichini
mano	mamitlapil
food	tlacual
belt	cinturon
black sapote	tliltictzapotl
hair	itzon
corn	tlaol
heart	iyollo
mortar	ticaxitl
