reputation	name
he	o
nine	new
tree	dare
salt	sol
you	to
god	car
dome	ban
me	me
water	uwe
airan	do
bira	bra
color	rang
keki	kek
side	dust
today	ewro
yes	e
marriage	mare
village	dew
cow	manga
garlic	sir
top	cor
soul	con
aha	hah
ox	ga
how	se
lû	lu
leg	pa
yoghurt	mast
load	bar
thin	bari
lavash	los
this	ini
herf	herb
time	dem
page	per
dîk	dik
kam	kom
island	ada
ear	gos
kom	kam
father	bab
two	di
cheek	gum
opposite	over
warm	germ
popcorn	pap
yours	odo
camel	deva
asın	asin
felt	aba
mountain	ko
smoke	dû
snake	mar
we	ma
wind	va
one	yew
ten	des
patch	pine
taste	tam
Zazaki	Ç
money	pere
bottom	bin
tea	çay
if	eke
leader	imam
grey	bor
mam	ana
dol	dole
afternoon	ere
step	gam
son	lac
non	nan
child	tut
soldier	esker
feminine	maki
water	aw
I	ez
god	homa
spy	casus
buffoon	sut
state	hal
bone	este
candle	mum
rose	gul
same	ze
death	merde
face	ri
şeş	ses
brook	ro
palm	max
glass	com
daf	def
letter	a
Allah	Ala
God	Car
six	šest
hand	dest
iron	utu
breakfast	ara
maybe	belki
se	sed
friend	dost
driver	ramen
gırd	gird
roh	ruh
heşt	hest
member	aza
bacar	bajar
chassis	sas
beyond	ata
piece	kok
homeland	weten
knitting needle	sis
different	rar
blind	kor
verb	kar
sûr	sor
deaf	kerek
hage	hak
Sun	roj
meat	goşt
three	hiru
heart	zerri
dig	kenden
color	reng
head	sere
page	pele
rug	pasti
sin	guna
mêsi	mês
meat	gost
April	lisan
heart	qelb
there	uca
bottom	bine
ses	şeş
paternal uncle	ded
weight	graney
she 	aya
grasshopper	mele
suq	suk
wolf	varg
without	bê
eggplant	balcon
lilac	lila
list	liste
horse	aspa
rae	raye
sell	roten
rain	varan
call	venden
valley	dere
abandon	verden
bazaar	bazar
handle	deste
lame	leng
throat	qırıq
masculine	neri
intelligence	fam
war	ceng
after	henda
they	ê
narrow	teng
chestnut	kestane
north	vakur
sugar	şeker
lemon	limon
twenty	vist
sauce	sos
mouth	fek
chicken	kerge
see	vinen
air	hewa
wall	dîwar
May	gulan
seven	hewt
world	dinya
elegy	heval
goose	qaz
deaf	ker
garden	baxçe
maternal uncle	daye
uncooked	xox
knee	çoq
lord	ağa
here	inca
south	başûr
new	newe
fifty	pancas
doubt	şek
lip	lew
heavy	giron
horse	istor
dumb	lal
name	naman
the	ebe
amen	amin
pronoun	zamir
tomb	mezel
maternal grandmother	dade
everybody	herkes
arm	erme
present	amade
spoiled	nazan
subscriber	abone
mistake	şaş
dictionary	ferheng
gışt	gişt
bılbıl	bilbil
hak	hage
temple	heykel
pomegranate	henar
barley	cew
medieval	maqam
steel	polad
cheese	pendir
preposition	edat
air	ayam
flea	keki
full	pir
sea	dengiz
child	domon
olive	zeytun
church	dêr
windpipe	kırık
amoeba	amip
vay	vaye
long	derg
Europe	Ewropa
text message	sms
standstill	menden
wolf	verg
early	rew
where	kamca
wheat	genim
heaven	cenet
gunî	goni
throw	esten
stadium	stadyum
ninety	neway
ram	beron
estare	astare
boçik	poç
ground	erd
jasmine	yasemin
nut	goz
young	ciwan
epic	destan
mın	mı
homeland	memleket
five	poj
Fereydun	Feridun
enough	qim
tough	menem
river	çem
member	endam
cock	dîk
free	azad
divan	diwan
where	kuwari
Easter	paskalya
dark	tarî
good	delal
Bivalvia	midye
home	melem
prayer	duwa
raft	kelek
though	velev
hand	çeç
bajar	bacar
escape	vaz dayene
professor	ustad
-ism	-izm
colt	estor
debt	deyn
wall	dês
walnut	goze
diesel	mazot
feather	purte
sugar	seker
deva	dewe
adjective	sifet
envelope	zerf
time	zeman
unweaned	golık
abdest	ewdaz
address	edres
scorpion	demaşkul
tayn	tayn tayn
gam	gam gam
now	newke
rew	rew rew
reca	reca kena
her	her çı zano once buro
or	ya na
but	feqet
though	welewki
ombaz	embaz
spring	wesar
garden	héga
round	qılorek
knife	kardi
mill	arye
again	fına
tomorrow	şewra
feqîr	feqir
hele	hele baw
coarse	vistra
queer	qendaye
page	sehife
boy	weled
happy	berğudar
Czechoslovakia	Çekoslowakya
besmirch	gendnayene
lizard	malmalok
Japanese	Capon
pimp	pezwang
church	kılise
samovar	semawer
pastegh	bastêq
lavash	lewaş
duduk	dudık
pig	xoz
week	hefte
voice	veng
good	weso
work	kar kerdene
example	orneg
match	kıbrit
nergise	nergize
pain	derd
happy	hurrem
hookah	nargila
love	sinayene
umbrella	semsiya
grape	engur
north	zıme
south	veroc
akotene	akewtene
fly	perrayene
dry	wışk
omnon	amnan
autumn	payız
winter	zimistan
sickle	qaloç
gunny	cıl
smile	huwate
erdîş	erdiş
Cancer	Kerkınc
butterfly	pılpılık
Cyprus	Qıbris
Turkey	Tırkiya
prophet	peyğember
bilbil	bılbıl
shop	dukan
throat	qır
spinach	ıspenağ
balcon	bancan
fuck	cı nayene
cradle	hélık
moustache	zımbel
sweat	arıq
nose	zınci
nose	pırnık
kidney	vılkek
knee	saqe
çim	çım
ear	goş
gişt	gışt
bird	mıriçık
swallow	hachacık
eel	marmase
bat	şewşewık
cat	pısing
goat	bıze
badger	kurbeşık
turtle	qesa
ant	morcele
snail	şeytanok
kavir	kavırek
sheep	kavır
arrow	timkan
archer	timkar
quilt	werğan
onion	piyaz
sunflower	vılaroci
die	merdene
needle	derzin
pencil	qeleme
tongue	zıwan
dragon	ezderha
amayene	ameyene
cook	pewtene
worm	qırm
voice	awaz
rest	aresiyene
sew	deştene
tooth	dındon
bira	bıra
government	dewlet
nımro	numre
wash	şutene
çakut	çakuç
be ashamed	şermayene
shame	şermı
fire	adır
Bahram	Behram
chick	cucek
neck	mıl
beautiful	ğasek
elephant	fîl
death	merdıs
forest	mēse
playing card	qert
sour cherry	wişne
king	qral
jackboot	cızme
sumac	sımaq
ezman	azmin
bız	bizi
hest	heşt
crab	kerkınc
grasshopper	meleh
hill	gedug
gird	gırd
finger	engışt
why	çira
