he	de
pubic hair	mi
one	it
teach	son
two	song
white	beg
five	haj
eight	bet
cicada	bid
hug	got
big	hung
tall	sang
full	rim
weave	san
stone	rin
mountain slope	bo
gum	w
beg	㑢
you	孟
poetry	sei
carry	迟
thick	na
city	si
leg	ga
garlic	ho
add	dem
straight	soh
open	hai
iron	lik
mouse	nou
sand	sa
iron	diet
yoke	ek
foot	din
sky	fax
flower	va
exit	ok
county	yen
ask	cam
you	sou
otter	nag
die	dai
mother	meh
tower	dap
many	lai
wife	yah
iron	lek
horse	max
bicycle	danci
Han	Gun
three	sam
father	boh
tobacco	ien
white	hau
pier	sok
girl	sau
arm	gen
bean	duh
drinkware	boi
give birth	seng
place	giz
neck	hoz
fat	biz
fall	doek
green	heu
heart	sim
grandchild	lan
ginger	hing
few	noix
snow	siet
stream	rij
immortal	sien
meat	noh
pair	gouh
paddy field	naz
make	guh
earthly branch	maux
medicine	yw
dim	dava
frugal	𨳒
debt	nij
Zhuang	Bouxcuengh
ant	moed
pull	beng
have	miz
I	gou
pig	mou
guest	hek
thousand	cien
television	densi
grape	makit
pillow	swiz
great-aunt	anax
snow	nae
difficult	hoj
six	roek
clothes	buh
boat	ruz
bear	mui
tree	faex
deep	laeg
fart	roet
person	vunz
heavy	naek
road	roen
needle	cim
rope	cag
tongue	linx
bubble	baux
see	raen
kill	gaj
right	deng
jaw	hwk
forest	ndoeng
eat	gwn
soil	doem
brain	uk
butterfly	mbaj
below	laj
hot	manh
pangolin	linh
fire	feiz
this	neix
garden	suen
face	naj
dragonfly	biengzbeih
elder sister	beixsau
dragonfly	duzfix
rabbit	duzdoq
son	lwgvuengz
button	lwggaet
unlined upper garment	buhbeu
military uniform	buhbing
undershirt	buhdakhanh
road	loh
number	hauh
ten	cib
gold	gim
maternal uncle	alungz
dirty	asoi
must	ajaeu
wooden	ajcaeuz
flower	𡧳
chest	aek
plastic	suliu
up	𡗶
I	㕤
sink	caem
plantation	reih
Chinese character	Sawndip
rain	fwn
bow	gung
head	gyaeuj
water	raemx
vegetable	byaek
Zhuang	Cuengh
you	mwngz
milk	neq
Zhuang	Vahcuengh
shoes	haiz
coffee	gyahfeih
squid	byayouzyiz
mosquito	nyungz
bank	ngaenzhangz
spoken	vah
two	ngeih
people	boux
soccer	cukgiuz
be	dwg
wind	rumz
mooncake	nyued
meat	nwx
not	mbouj
water buffalo	vaiz
bedbug	rwed
ladybug	nengzgoemj
firefly	ronghrib
stinkbug	nengzgengz
cat	meuz
wildcat	nyaenmeuz
elder sister	cej
spoon	beuzgeng
tooth	heuj
key	yaekseiz
gallbladder	mbei
wing	fwed
house	ranz
chicken	gaeq
lend	ciq
autonomous region	swcigih
student	hagseng
python	nuem
music	yinhyoz
vocabulary	sawloih
Ashoka	Ayuzvuengz
monkey	maxlaeuz
four	seiq
six	loeg
seven	caet
nine	gouj
computer	dennauj
copyright	banjgienz
socialism	seveicujyi
Communist Party of China	Cungguek Gungcanjdangj
country	guek
country	guekgya
care	𫢉
in	ndaw
son	lwgsai
daughter	lwgsau
sun	daengngoenz
goldfish	byagim
moon	ronghndwen
airplane	feihgih
law	faplwd
Han	Bouxgun
Yao	Yauzcuz
Miao	Myauzcuz
Dong	Dungcuz
Maonan	Mauznanzcuz
Hui	Veizcuz
Kinh	Ginghcuz
Yi	Yizcuz
Mulao	Mulaujcuz
Gelao	Gwzlaujcuz
Sui	Suijcuz
number	vunzsoq
blood	lwed
forget	lumz
kilometre	goengleix
we	raeuz
they	gyoengqde
all kind	gakcungj
equal	bingzdaengj
right	genzli
nationality	gozciz
also	hix
sibling	beixnuengx
older sibling	beix
world	seiqgyaiq
hand	fwngz
and	caeuq
sentence	coenz
already	couh
arrive	daengz
king	vuengz
should	wngdang
one	ndeu
eleven	cib it
twelve	cib ngeih
thirteen	cib sam
fourteen	cib seiq
fifteen	cib haj
sixteen	cib loeg
seventeen	cib caet
eighteen	cib bet
nineteen	cib gouj
twenty	ngeih cib
silver	ngaenz
lung	bwt
light	mbaeu
anarchism	vuzcwngfujcujyi
democracy	minzcuj
dictatorship	ciencwng
carbohydrate	dansuijvahozvuz
minute	faencung
hour	cungdaeuz
dinosaur	hoengjlungz
carrot	lauxbaeghoengz
camel	lozdoz
egg	gyaeq
thing	doxgaiq
alcohol	laeuj
frog	goep
lion	saeceij
gouh	dawh
radish	lauxbaeg
red	hoengz
right	gvaz
sew	nyib
province	sengj
communist party	gungcanjdangj
praying mantis	daekmax
praying mantis	maxlangzgangz
sky	mbwn
star	ndaundeiq
longan	maknganx
snake	ngwz
dictionary	swzdenj
night	hwnz
night	ngwnz
⿺入立	𬮤
spring	mboq
grain	haeux
enter	haeuj
ten thousand	fanh
blind	mengz
lychee	laehcei
mango	makmanghgoj
pineapple	bohloz
mobile phone	soujgih
telephone	denva
mathematics	suyoz
download	aeuroengz
cow's milk	cijvaiz
black hole	conghlaep
smog	mokfaenx
mouse	aennou
stimulant	ywgikrengz
plastic surgery	coihnaj
Wi-Fi	vaihfaij
bat	vumzvauz
today	ngoenzneix
freedom	swyouz
university	dayoz
young person	hauxseng
every	moix
fly	mbin
Hakka	Maxgai
beard	mumh
beautiful	gyaeu
cheap	cienh
chair	eij
chain	lienh
cage	roengq
cheat	coemx
cheek	gemj
cloud	fwj
company	gunghswh
everyone	caezgya
cool	liengz
cotton	faiq
ox	cwz
culture	vwnzva
cushion	demh
sea	haij
deceive	yaeuh
goose	hanq
drum	gyong
drought	rengx
ear	rwz
electricity	dienh
emperor	vuengzdaeq
empty	hoengq
everyone	bouxboux
everyone	boux boux
everything	gaiqgaiq
everything	gaiq gaiq
grammar	yijfaz
grass	nywj
headhair	byoem
knife	cax
crow	roegga
money	cienzngaenz
landlord	dicuj
sweet	diemz
sour	soemj
lye	ndaengq
bitter	haemz
bitter melon	lwghaemz
eggplant	lwggwz
apple	makbinzgoj
red	nding
shoulder	mbaq
bread	menbauh
outer layer	naeng
sit	naengh
yogurt	naijsoemj
cream	naijyouz
bread	mienhbau
chopstick	guhduh
kidney	iucij
use	yungh
work	gunghcoz
teacher	lauxsae
safe	ancienz
jackfruit	maknam
banana	gyoij
hand	mwz
