die	fa
long	de
be	ba
go away	suka
bad	bi
four	ne
these	la
paradise	uve
which	phi
eye	iso
drag	hola
that	lobo
appear	vela
defecate	nya
go	hamba
increase	anda
ruin	ona
flatter	duda
weigh	kala
lay	deka
deny	ala
plait	luka
thing	into
divide	aba
rather bad	bana
stand	ma
come	za
farm	lima
concentrate	singa
lick	nyala
spell	pela
extract	tapa
thin	onda
remain	sala
order	oda
sick	gula
cold	banda
agent noun	-i
I	mina
go	ya
bend	goba
light	basa
cut	sika
suspect	sola
give	nika
wait	linda
letter	a
miss	geja
dry	oma
lump	isi
thorn	iva
close	vala
spray	chela
ask	cela
dance	dansa
beware	maye
impudent	ganga
after all	kanti
asleep	lele
count	bala
means	isu
cliff	iwa
humanity	ubuntu
if	uma
no	cha
become sad	dana
cannabis	insangu
matter	indaba
marry	gana
roast	osa
fart	suza
fall	wa
rather long	jana
boil	bila
sing	huba
dust	sula
assembly	imbizo
mountain	intaba
narrate	landa
dance	gida
you	nina
look	buka
two	bili
fish	doba
wilt	buna
harvest	vuna
these	laba
war	impi
stale	duva
open	vula
blood	igazi
we	thina
know	azi
extinguish	cima
he	sona
Xhosa	isiXhosa
nag	thetha
announce	bika
those	labo
those over there	labaya
be	fana
that	lolo
hungry	lamba
rot	bola
tongue	ulimi
long ago	kade
tire	dina
cry	lila
person	umuntu
leopard	isilo
human race	isintu
tree	umuthi
Bushman	umuThwa
Thembu	umThembu
Sotho	umSuthu
dissatisfied	eya
hijack	duna
abandon	dela
paint	penda
vote	vota
alone	dwa
dog	inja
bite	luma
say	sho
stand up	sukuma
like this	nje
cause	banga
knee	idolo
carve	baza
travel far	enda
drop	wisa
in order	lunga
this	lesi
that	leso
dangle	lenga
ooze	chicha
wet	manzi
examine	popola
rest	lala
sing	cula
one	nye
herd	elusa
don't	musa
look for	cinga
affair	incingo
goat	impongo
rock	tenga
frugal	onga
arrive	fika
Zululand	KwaZulu
nicely	kahle
far	kude
honey	uju
just	-nje
eat	dla
catch	bamba
although	noma
black	mnyama
suffice	anela
of	za-
species	incombo
put	faka
light	lula
eagle	ukhozi
barren	nyumba
grow	khula
notice	naka
park	paka
his	unina
urinate	chama
now	-ke
goodbye	hamba kahle
kiss	anga
bring	veza
truth	impela
handlebar	impondo
sarcastic	amba
last-ditch effort	izaba
expensive	dula
full stop	unzo
health	impilo
startle	thusa
with	na-
want	funa
circumcise	soka
elephant	indlovu
beat	khanda
traditional Zulu dance	indlamu
surname	isibongo
smell	nuka
try	zama
abound	vama
intoxicate	daka
equal	lingana
who	ubani
make	balisa
put	beka
hollowness	amala
now	manje
inheritance	ifa
hang	jika
house	indlu
cat	ikati
chop up	canda
leopard	ingwe
owl	isikhova
hello	sanibonani
give	pha
milk	senga
male animal	induna
doll	udoli
chief	inkosi
age	guga
root	impande
pay	lobola
kidney	inso
tax	intela
greet	bulisa
dig	mba
bee	inyosi
take out	giba
summon	mema
hello	sawubona
thank	bonga
dance	giya
grind	gaya
yes	yebo
mould	bumba
thank you	ngiyabonga
I'm fine	ngikhona
well	phila
well	ngiyaphila
boy	umfana
dowry animal	umumba
Zulu	umZulu
don't	musani
guard	gada
abstain	zila
return	buya
big	khulu
small	ncane
hundred	ikhulu
bride price	ilobolo
sky	izulu
leader	isikhulu
size	ubukhulu
length	ubude
smallness	ubuncane
woman	umfazi
man	umlisa
male	isilisa
child	umntwana
childhood	ubuntwana
wife	inkosikazi
bridegroom	umyeni
wife	umka
man	indoda
manhood	ubudoda
man	doda
my mother	umama
my father	ubaba
animal	isilwane
fish	ufishi
fish	inhlanzi
bird	inyoni
louse	intwala
snake	inyoka
maggot	isibungu
earthworm	umsundu
shrub	isihlahla
forest	ihlathi
stick	induku
stick	intonga
stick	uthi
poison	ubuthi
fruit	isithelo
grain	inhlamvu
