remain	ǃāo
surprise	hà
road	dào
love	tào
it	ǹ
next	ǃāhle
tree	ǃàhla
exploit	ǂɡàa
camelthorn	ǁáa
caterpillar	ʘgòõ
louse	ʘnó̰õ
seated	ʘqhòõ
dirt	ʘhòõ
spirit	ǃnáã
soften	gǃxàn
amount	ʻǁnàhã
scrape off	ǁxàa
person	tâa
thing	tháa
metal box	káa
dig out gum	gàõ
separate	khàla
rub	tshála
go	sâa
pass between	xáã
alone	ʻáa
edible cucumber	ʘnâ̰e
parasite	ʘnāha
burn	ʘʻáa
stiff	ʘʻòo
move	ǀàa
shelter	ǀgâa
visit	ǀkxʻàe
chase	gǀkxʻâã
small branch	gǀkxʻāa-kú
heart	ǀqʻàn
look into	ǀnâa
take care	ǃʻúĩ
powdered	ǀʻáa
rain	ǃáa
lean	ǃgàa
woody root	ǃkxʻái
leather thong	gǃkxʻāla
heat	ǃqʻóbi
container	ǃnàa
spirit	ǃnáã-sé
sit	ǃʻáã
fruit	ǃʻàa-ǃʻàa-sè
bone	ǂàã
east	ǂá̰ã
exploit	ǂgàa
warm up	ǂgáʻã
copper	ǂkxʻái
child	ǂkxʻân
tobacco	gǂkxʻàna
lie in wait	ǂqàa
slip	ǂqába kâ
moist sand	ǂqʻáa ká
ulna	ǂn̥áʻã
out of reach	ǂn̥ûʻã
and	ǂʻá
dry season	ǁgâa
hail	ǁgáã
finish	ǁkxʻāã
chew	ǁkxʻám
cloth	gǁkxʻàli
scratch	gǁkxʻālu kâ
drought	ǁqáa
ice	ǁqá̰ã
smile	ǁqʻàẽ
pupa	ǁqʻóe-sè
speed	ʻǁnā̰ã
threaten	ʻǁnà̰ha
whip	ǁn̥à̰m
just	ǁʻáa
not	ǁʻàa
goat	páli
pump	pàmpa
pump	pòmpa
pattern	bála
arrowshaft	bāhle
hear	tá̰ã
thank	dá̰ã
satisfaction	dà̰m
quadriceps femoris	tʻkxʻâa
squash	tʻkxʻām
dark	dtʻkxʻái
year	kúli
you	āh
you	āhʻā
you	ūh
you	ūhʻū
pair	ǂnûm
I	n̄
I	n̄ʻn̄
we	īh
we	īhʻī
we	īsî
we	īsîʻī
we	ǂnáĩ
he	èh
he	èhʻè
he	ãh
he	ã̀hʻã̀
it	ìh
they	ùh
they	ùhʻù
zigzag	ǂūbe
eye	ǃʻûĩ
work	ǀgáã
see	ǀnâã
hand	ǀkxʻàa
smooth	tshxâli
chase	ɡǀkxʻâã
track	ǀháa
dance	ǀxâã
faeces	gǀkxʻáã
careful	ǀn̥ûʻi
coeval	ǃnāã
slope	ǃāho
bone	gǁqhàã
dream	ʘôõ ǁnṵ́ã
louse	gǁkxʻóni
meat	ʘàje
shuffle	ʘxúũ
twirl	gʘxàle-sà
delicious	ʘkxʻúm
close	ʘqʻûm
tree	ʻʘnàje
woody	dà̰na
fly	gʘkxʻóõ
African wildcat	ʘqóu
concealment	ǃn̥áʻa
die	ǀʻâa
evaporate	ʻǀnô̰o
splatter	ɡǀxáʻa
accompany	ǃgàã
you	ǂnûmʻū
water	ǃqhàa
lay horizontal	ʻǃnàhã
cry incessantly	gǃkxʻáã
seek	ǃxáa
quill	gǃqhàẽ
hunt	ǃqāhe
grey	ɢǃqhâɲa
knock off	qái
pound	ǃqhāã
ahead	ǂhàã
grind	gǂkxʻàa
sever	gǂqháa
poison	ǁāã
sneeze	gǂxáʻã
beg	ǁgàã
grass	ǁkxʻâã
tumour	gǁkxʻáã
carry	ǁháa
calf	gǁxáʻn
leg	ǂqhàla
damp	ǁn̥âʻm
gun	thòbolò
tree	ǃúla
froth	tsàhã
call	kxʻāa
cause	dtshxâʻa
inflorescence	gkxʻâa-lá
surprise	hóo
gossip	ʘgāle
munch	gʘkxʻái
child	ʘqâ̰a
turn	ʘqá̰li
crossed	ʘqʻám ʘqʻáli
temple	ʘqʻûbe tshôe
sit	tshûu
ǃXóõ	ǃxóɲa ǂàã
conjunction	ʻàhn
be	ǀîi
here	táʻã
goodbye	ǁám ǃāo
surprise	kúu
ma̰ã ǁʻâe	kùu ǂèe
ma̰ã ǁʻâe	bīhi sà bòlo
ma̰ã ǁʻâe	ʻǀnòhã tàʻma
ma̰ã ǁʻâe	ʻǀnòhã tàã
ma̰ã ǁʻâe	ʻǁnùhã tàã
ma̰ã ǁʻâe	tóo-lôo ǃxàe
earth god	ūhbū-kú
wife	má̰ã ǁʻâe
but	xàbēkà
but	gúʻni tshòo
time	nàa kòo
this way	ʻáu
like that	ǃāhʻu
sun	ǁʻân
day after tomorrow	khúma
cool	khúbe
hot	gòhba
man	tâa à̰a
woman	tâa qáe
live	ǃnúm
alive	ǃnûɲa
place	ǂùã
locative	sīi
week	bìikì
point	ǀʻám
face	sàʻã
welcome	tàhʻa
food	ʻâã
drink	kxʻāhã
yes	ʻíi
yes	ʻée
yes	ʻē êh
exclamation	ʻájòo
no	'íĩ'ìĩ
biological mother	qáe
biological father	à̰a
spread out	ǃɢā̰n-ǃɢà̰n
large number	dzâa
love	tsāha
love	ǀnàm
thought	ǂʻán
have	ǂʻáu
penis	ǂʻàn
springbok	ǁûa
lone male springbok	ʻǃnò̰ho
lone male springbok	ǁgàʻã
springhare	ǀnṵ̀i
head	ǀnàn
fire	ǀʻàã
light	ǁgà̰e
wind	ǂqhùe
forgiveness	ǁʻúm
I'm sorry	ǀùa ǁʻúm ǀnān
magical power	gǁxài
lacrimal sack	ǃʻûĩ ǃkxʻái
vas deferens	ǂqhàn-tê ǃkxʻái
cloud	ǃqhàa gǀqhūã
wind	ǃqhàa ǀnàn
water	ǃqhàa ʻʘnāhã
medicine	ǃqhàa ǀè sòo
fruit	ǃnōo qùli
eland	ǁgúʻa sàʻã
eland	ʘàã
eland	ʻǀnān
African cucumber	ǃnô̰hm-tâ súbu-sùbu
corner	ǃʻûĩ ǂʻàn ǀàũ
corner	ǃʻûĩ ǂnṵ̂n
omasum	ǁkxʻân à̰a
predawn	kxʻāo
early predawn	kxʻāo à̰a
later predawn	kxʻāo qáe
cirrus	ǃqhàa gǀqhùã à̰a
raincloud	ǃqhàa gǀqhùã qáe
hair	gǀqhùã
spear	ǃōo à̰a
onset	ʻǁnāhu à̰a
rainy season	ʻǁnāhu
height	ʻǁnāhu qáe
this	ʻVV
that	tàʻa BV kV
there	tVʻVV-sà kV
there	tVjà kV
there	têʻàã
there	ǀáʻn-sà
there	ǀèʻẽ sà
earth	ǂkxʻûm
sleep	ʘân
